Parameter Name,Value
General Information,
Sample name:,
Start of measurement:,9*26*2018 3:01:33 PM
Stop of measurement:,10*1*2018 1:51:05 PM
Duration of Measurements:,4 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5.1
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,375
Empty soil sampling ring weight [g]:,212.12
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.15
Scale [g]:,0.05
Sensor Unit Information,
Busnumber:,1
Subaddress:,1
Serial number:,1640
Sensor unit name:,MY-HYPROP---
Firmware Version:,1.4
Scale Information,
Serial number:,184226046
Scale name:,HYPROP Balance
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,9*26*2018 3:01:33 PM
Stop,9*28*2018 12:18:49 PM
,
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.420302882339015
Dry soil weight [g]:,105.25
Additional Soil Paramters,
Density [g/cm3]:,1.06
Porosity [-]:,0.60
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,traditional constrained van Genuchten-Mualem model
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C],Gross weight [g],Net weight [g],Weight change [g]
9*26*2018 9:24:47 PM,0.53,2.85,19.49,731.2,144.08,-2.78
9*26*2018 9:34:48 PM,0.62,2.97,19.43,731.14,144.02,-2.84
9*26*2018 9:44:52 PM,0.65,3.01,19.38,731.09,143.97,-2.89
9*26*2018 9:54:53 PM,0.61,2.95,19.34,731.03,143.91,-2.95
9*26*2018 10:04:55 PM,0.71,3.08,19.31,730.98,143.86,-3
9*26*2018 10:14:56 PM,0.8,3.18,19.27,730.92,143.8,-3.06
9*26*2018 10:24:58 PM,0.86,3.25,19.24,730.87,143.75,-3.11
9*26*2018 10:35:03 PM,1,3.34,19.2,730.82,143.7,-3.16
9*26*2018 10:45:04 PM,1.07,3.42,19.17,730.77,143.65,-3.21
9*26*2018 10:55:07 PM,1.12,3.46,19.13,730.71,143.59,-3.27
9*26*2018 11:05:09 PM,1.25,3.58,19.1,730.66,143.54,-3.32
9*26*2018 11:15:09 PM,1.34,3.72,19.07,730.59,143.47,-3.39
9*26*2018 11:25:09 PM,1.23,3.55,19.05,730.54,143.42,-3.44
9*26*2018 11:35:13 PM,1.2,3.55,19.02,730.49,143.37,-3.49
9*26*2018 11:45:14 PM,1.38,3.76,19.01,730.44,143.32,-3.54
9*26*2018 11:55:15 PM,1.48,3.82,19,730.39,143.27,-3.59
9*27*2018 12:05:16 AM,1.17,3.51,18.99,730.34,143.22,-3.64
9*27*2018 12:15:17 AM,1.34,3.75,18.98,730.28,143.16,-3.7
9*27*2018 12:25:19 AM,1.51,3.9,18.97,730.22,143.1,-3.76
9*27*2018 12:35:23 AM,1.65,4,18.96,730.17,143.05,-3.81
9*27*2018 12:45:24 AM,1.67,4.06,18.95,730.11,142.99,-3.87
9*27*2018 12:55:25 AM,1.79,4.15,18.94,730.05,142.93,-3.93
9*27*2018 1:05:28 AM,1.9,4.26,18.92,730,142.88,-3.98
9*27*2018 1:15:29 AM,2,4.31,18.9,729.94,142.82,-4.04
9*27*2018 1:25:33 AM,2.1,4.45,18.87,729.89,142.77,-4.09
9*27*2018 1:35:35 AM,2.11,4.53,18.85,729.83,142.71,-4.15
9*27*2018 1:45:37 AM,2.17,4.6,18.82,729.78,142.66,-4.2
9*27*2018 1:55:37 AM,2.28,4.66,18.8,729.73,142.61,-4.25
9*27*2018 2:05:40 AM,2.17,4.57,18.78,729.67,142.55,-4.31
9*27*2018 2:15:40 AM,2.28,4.66,18.76,729.62,142.5,-4.36
9*27*2018 2:25:42 AM,2.39,4.74,18.74,729.57,142.45,-4.41
9*27*2018 2:35:42 AM,2.38,4.76,18.71,729.51,142.39,-4.47
9*27*2018 2:45:47 AM,2.55,4.96,18.68,729.46,142.34,-4.52
9*27*2018 2:55:47 AM,2.68,5.04,18.66,729.4,142.28,-4.58
9*27*2018 3:05:49 AM,2.76,5.18,18.64,729.36,142.24,-4.62
9*27*2018 3:15:49 AM,2.87,5.23,18.62,729.3,142.18,-4.68
9*27*2018 3:25:52 AM,2.66,4.99,18.61,729.26,142.14,-4.72
9*27*2018 3:35:56 AM,2.86,5.23,18.6,729.21,142.09,-4.77
9*27*2018 3:45:57 AM,2.97,5.36,18.59,729.16,142.04,-4.82
9*27*2018 3:55:59 AM,3.06,5.47,18.58,729.12,142,-4.86
9*27*2018 4:06:01 AM,3.15,5.52,18.56,729.06,141.94,-4.92
9*27*2018 4:16:05 AM,3.23,5.65,18.55,729.02,141.9,-4.96
9*27*2018 4:26:09 AM,3.33,5.76,18.53,728.97,141.85,-5.01
9*27*2018 4:36:14 AM,3.43,5.79,18.52,728.92,141.8,-5.06
9*27*2018 4:46:17 AM,3.55,5.9,18.51,728.87,141.75,-5.11
9*27*2018 4:56:19 AM,3.62,6.02,18.5,728.82,141.7,-5.16
9*27*2018 5:06:22 AM,3.72,6.11,18.49,728.77,141.65,-5.21
9*27*2018 5:16:24 AM,3.77,6.22,18.47,728.73,141.61,-5.25
9*27*2018 5:26:25 AM,3.52,5.85,18.45,728.68,141.56,-5.3
9*27*2018 5:42:12 AM,3.93,6.27,18.42,728.6,141.48,-5.38
9*27*2018 5:52:13 AM,4.08,6.43,18.4,728.55,141.43,-5.43
9*27*2018 6:02:13 AM,4.08,6.49,18.38,728.5,141.38,-5.48
9*27*2018 6:12:15 AM,4.19,6.6,18.37,728.45,141.33,-5.53
9*27*2018 6:22:18 AM,4.31,6.72,18.36,728.4,141.28,-5.58
9*27*2018 6:32:20 AM,4.39,6.78,18.35,728.35,141.23,-5.63
9*27*2018 6:42:21 AM,4.49,6.9,18.33,728.3,141.18,-5.68
9*27*2018 6:52:27 AM,4.54,6.92,18.31,728.25,141.13,-5.73
9*27*2018 7:02:29 AM,4.56,6.91,18.29,728.2,141.08,-5.78
9*27*2018 7:12:30 AM,4.65,7.04,18.27,728.15,141.03,-5.83
9*27*2018 7:22:31 AM,4.72,7.1,18.26,728.1,140.98,-5.88
9*27*2018 7:32:32 AM,4.81,7.19,18.25,728.05,140.93,-5.93
9*27*2018 7:42:33 AM,4.92,7.28,18.24,728,140.88,-5.98
9*27*2018 7:52:38 AM,4.97,7.38,18.24,727.95,140.83,-6.03
9*27*2018 8:02:39 AM,5.08,7.5,18.23,727.9,140.78,-6.08
9*27*2018 8:12:39 AM,4.98,7.56,18.23,727.85,140.73,-6.13
9*27*2018 8:22:44 AM,5.26,7.64,18.23,727.8,140.68,-6.18
9*27*2018 8:32:47 AM,5.35,7.79,18.24,727.76,140.64,-6.22
9*27*2018 8:42:50 AM,5.45,7.84,18.25,727.7,140.58,-6.28
9*27*2018 8:52:51 AM,5.53,8,18.27,727.66,140.54,-6.32
9*27*2018 9:02:51 AM,5.64,8.03,18.3,727.61,140.49,-6.37
9*27*2018 9:12:53 AM,5.63,8.03,18.34,727.57,140.45,-6.41
9*27*2018 9:22:55 AM,5.76,8.16,18.38,727.52,140.4,-6.46
9*27*2018 9:32:56 AM,5.9,8.36,18.42,727.47,140.35,-6.51
9*27*2018 9:45:05 AM,6.04,8.45,18.48,727.42,140.3,-6.56
9*27*2018 9:55:06 AM,6.12,8.56,18.53,727.37,140.25,-6.61
9*27*2018 10:05:06 AM,5.79,8.25,18.6,727.33,140.21,-6.65
9*27*2018 10:19:13 AM,6.09,8.55,18.7,727.27,140.15,-6.71
9*27*2018 10:29:19 AM,6.2,8.67,18.78,727.22,140.1,-6.76
9*27*2018 10:49:24 AM,6.47,8.89,18.93,727.13,140.01,-6.85
9*27*2018 11:03:24 AM,6.56,9.02,19.06,727.05,139.93,-6.93
9*27*2018 11:17:28 AM,6.64,9.12,19.19,726.99,139.87,-6.99
9*27*2018 11:17:33 AM,6.63,9.12,19.19,726.99,139.87,-6.99
9*27*2018 11:27:34 AM,6.79,9.25,19.3,726.95,139.83,-7.03
9*27*2018 11:41:34 AM,6.85,9.22,19.48,726.88,139.76,-7.1
9*27*2018 11:51:35 AM,6.92,9.39,19.63,726.84,139.72,-7.14
9*27*2018 12:01:37 PM,6.76,9.2,19.78,726.79,139.67,-7.19
9*27*2018 12:15:42 PM,6.97,9.42,20,726.72,139.6,-7.26
9*27*2018 12:17:47 PM,7.01,9.45,20.03,726.71,139.59,-7.27
9*27*2018 12:27:52 PM,7.04,9.5,20.18,726.67,139.55,-7.31
9*27*2018 12:41:56 PM,7.14,9.63,20.41,726.6,139.48,-7.38
9*27*2018 12:55:59 PM,7.22,9.71,20.62,726.54,139.42,-7.44
9*27*2018 1:02:03 PM,7.25,9.73,20.71,726.52,139.4,-7.46
9*27*2018 1:12:04 PM,7.41,9.81,20.85,726.47,139.35,-7.51
9*27*2018 1:22:05 PM,7.5,9.93,20.99,726.43,139.31,-7.55
9*27*2018 1:28:08 PM,7.48,9.93,21.06,726.4,139.28,-7.58
9*27*2018 1:42:10 PM,7.61,9.95,21.2,726.34,139.22,-7.64
9*27*2018 1:56:16 PM,7.7,10.09,21.28,726.27,139.15,-7.71
9*27*2018 2:10:20 PM,7.83,10.23,21.34,726.21,139.09,-7.77
9*27*2018 2:10:25 PM,7.82,10.24,21.34,726.21,139.09,-7.77
9*27*2018 2:20:28 PM,7.95,10.35,21.38,726.16,139.04,-7.82
9*27*2018 2:30:31 PM,8,10.46,21.43,726.11,138.99,-7.87
9*27*2018 2:40:37 PM,8.13,10.53,21.49,726.06,138.94,-7.92
9*27*2018 2:50:46 PM,8.21,10.6,21.55,726.01,138.89,-7.97
9*27*2018 3:01:02 PM,8.4,10.77,21.59,725.96,138.84,-8.02
9*27*2018 3:17:21 PM,8.57,11,21.67,725.87,138.75,-8.11
9*27*2018 3:27:21 PM,8.38,10.78,21.71,725.82,138.7,-8.16
9*27*2018 3:37:31 PM,8.43,10.78,21.75,725.77,138.65,-8.21
9*27*2018 3:47:44 PM,8.7,11.04,21.79,725.72,138.6,-8.26
9*27*2018 3:57:49 PM,8.8,11.15,21.83,725.66,138.54,-8.32
9*27*2018 4:07:54 PM,8.86,11.36,21.86,725.61,138.49,-8.37
9*27*2018 4:18:09 PM,9.03,11.44,21.89,725.56,138.44,-8.42
9*27*2018 4:28:25 PM,9.14,11.6,21.92,725.51,138.39,-8.47
9*27*2018 4:38:31 PM,9.25,11.7,21.95,725.47,138.35,-8.51
9*27*2018 4:54:51 PM,9.41,11.86,22,725.4,138.28,-8.58
9*27*2018 5:05:07 PM,9.53,11.95,22.03,725.35,138.23,-8.63
9*27*2018 5:15:11 PM,9.62,11.99,22.05,725.3,138.18,-8.68
9*27*2018 5:25:29 PM,9.78,12.14,22.07,725.24,138.12,-8.74
9*27*2018 5:35:43 PM,9.87,12.23,22.08,725.19,138.07,-8.79
9*27*2018 5:45:54 PM,9.98,12.37,22.09,725.15,138.03,-8.83
9*27*2018 5:58:14 PM,10.18,12.57,22.09,725.09,137.97,-8.89
9*27*2018 6:08:34 PM,10.32,12.73,22.07,725.04,137.92,-8.94
9*27*2018 6:18:47 PM,10.46,12.82,22.04,725,137.88,-8.98
9*27*2018 6:31:08 PM,10.57,12.98,21.98,724.95,137.83,-9.03
9*27*2018 6:41:10 PM,10.76,13.12,21.91,724.9,137.78,-9.08
9*27*2018 6:53:29 PM,10.78,13.19,21.82,724.85,137.73,-9.13
9*27*2018 7:03:47 PM,10.94,13.41,21.73,724.8,137.68,-9.18
9*27*2018 7:13:56 PM,11.15,13.54,21.63,724.75,137.63,-9.23
9*27*2018 7:24:01 PM,11.27,13.69,21.53,724.7,137.58,-9.28
9*27*2018 7:34:15 PM,11.42,13.86,21.42,724.64,137.52,-9.34
9*27*2018 7:44:32 PM,11.63,14.11,21.31,724.58,137.46,-9.4
9*27*2018 7:54:47 PM,11.79,14.15,21.19,724.52,137.4,-9.46
9*27*2018 8:11:07 PM,12.02,14.42,21.01,724.44,137.32,-9.54
9*27*2018 8:21:11 PM,12.06,14.55,20.9,724.39,137.27,-9.59
9*27*2018 8:31:30 PM,12.31,14.66,20.8,724.34,137.22,-9.64
9*27*2018 8:47:49 PM,12.6,15.03,20.61,724.25,137.13,-9.73
9*27*2018 8:57:56 PM,12.81,15.21,20.49,724.19,137.07,-9.79
9*27*2018 9:08:05 PM,13.01,15.41,20.38,724.14,137.02,-9.84
9*27*2018 9:18:21 PM,13.19,15.58,20.26,724.09,136.97,-9.89
9*27*2018 9:34:41 PM,13.53,15.9,20.08,724,136.88,-9.98
9*27*2018 9:44:55 PM,13.74,16.09,19.97,723.95,136.83,-10.03
9*27*2018 9:55:05 PM,13.84,16.27,19.85,723.9,136.78,-10.08
9*27*2018 10:11:25 PM,14.21,16.57,19.65,723.8,136.68,-10.18
9*27*2018 10:21:29 PM,14.41,16.83,19.54,723.75,136.63,-10.23
9*27*2018 10:31:36 PM,14.57,17.02,19.43,723.7,136.58,-10.28
9*27*2018 10:41:52 PM,14.82,17.22,19.32,723.65,136.53,-10.33
9*27*2018 10:52:10 PM,14.99,17.4,19.22,723.59,136.47,-10.39
9*27*2018 11:02:19 PM,15.2,17.7,19.14,723.54,136.42,-10.44
9*27*2018 11:12:25 PM,15.4,17.85,19.07,723.49,136.37,-10.49
9*27*2018 11:28:45 PM,15.76,18.15,18.96,723.4,136.28,-10.58
9*27*2018 11:39:01 PM,15.97,18.36,18.89,723.35,136.23,-10.63
9*27*2018 11:55:20 PM,16.26,18.71,18.79,723.27,136.15,-10.71
9*28*2018 12:05:35 AM,16.45,18.92,18.75,723.21,136.09,-10.77
9*28*2018 12:15:49 AM,16.72,19.15,18.7,723.16,136.04,-10.82
9*28*2018 12:26:06 AM,16.88,19.32,18.67,723.1,135.98,-10.88
9*28*2018 12:36:20 AM,17.11,19.54,18.65,723.06,135.94,-10.92
9*28*2018 12:46:30 AM,17.33,19.78,18.62,723,135.88,-10.98
9*28*2018 12:56:48 AM,17.54,19.97,18.59,722.94,135.82,-11.04
9*28*2018 1:06:49 AM,17.73,20.18,18.56,722.9,135.78,-11.08
9*28*2018 1:16:56 AM,17.82,20.25,18.52,722.85,135.73,-11.13
9*28*2018 1:27:11 AM,17.99,20.43,18.49,722.8,135.68,-11.18
9*28*2018 1:37:27 AM,18.26,20.67,18.46,722.75,135.63,-11.23
9*28*2018 1:47:30 AM,18.49,20.86,18.44,722.69,135.57,-11.29
9*28*2018 1:57:38 AM,18.64,21.06,18.42,722.65,135.53,-11.33
9*28*2018 2:07:38 AM,18.82,21.28,18.39,722.6,135.48,-11.38
9*28*2018 2:17:46 AM,19.02,21.45,18.36,722.55,135.43,-11.43
9*28*2018 2:27:56 AM,19.24,21.67,18.33,722.5,135.38,-11.48
9*28*2018 2:38:08 AM,19.37,21.86,18.3,722.45,135.33,-11.53
9*28*2018 2:48:26 AM,19.61,22.05,18.25,722.4,135.28,-11.58
9*28*2018 3:04:46 AM,19.98,22.4,18.19,722.33,135.21,-11.65
9*28*2018 3:14:56 AM,19.51,22.01,18.16,722.28,135.16,-11.7
9*28*2018 3:24:58 AM,19.97,22.42,18.13,722.24,135.12,-11.74
9*28*2018 3:35:14 AM,20.22,22.66,18.11,722.19,135.07,-11.79
9*28*2018 3:45:20 AM,20.47,22.91,18.08,722.15,135.03,-11.83
9*28*2018 3:55:36 AM,20.72,23.09,18.05,722.1,134.98,-11.88
9*28*2018 4:07:55 AM,20.99,23.46,18.01,722.04,134.92,-11.94
9*28*2018 4:18:00 AM,21.25,23.72,17.98,722,134.88,-11.98
9*28*2018 4:28:18 AM,21.52,23.95,17.95,721.95,134.83,-12.03
9*28*2018 4:38:36 AM,21.71,24.14,17.92,721.91,134.79,-12.07
9*28*2018 4:48:52 AM,21.97,24.43,17.89,721.86,134.74,-12.12
9*28*2018 4:58:56 AM,22.19,24.67,17.87,721.81,134.69,-12.17
9*28*2018 5:09:12 AM,22.46,24.91,17.84,721.76,134.64,-12.22
9*28*2018 5:19:28 AM,22.77,25.2,17.81,721.72,134.6,-12.26
9*28*2018 5:29:45 AM,23.01,25.47,17.78,721.67,134.55,-12.31
9*28*2018 5:39:52 AM,23.27,25.82,17.76,721.62,134.5,-12.36
9*28*2018 5:49:59 AM,23.59,26.08,17.75,721.58,134.46,-12.4
9*28*2018 6:00:15 AM,23.26,26.42,17.74,721.52,134.4,-12.46
9*28*2018 6:10:32 AM,24.14,26.57,17.74,721.47,134.35,-12.51
9*28*2018 6:26:52 AM,24.59,27.1,17.72,721.4,134.28,-12.58
9*28*2018 6:36:56 AM,24.95,27.36,17.71,721.35,134.23,-12.63
9*28*2018 6:47:05 AM,25.18,27.59,17.69,721.31,134.19,-12.67
9*28*2018 6:57:14 AM,25.44,27.91,17.68,721.26,134.14,-12.72
9*28*2018 7:07:29 AM,25.73,28.19,17.67,721.22,134.1,-12.76
9*28*2018 7:17:35 AM,26.03,28.53,17.66,721.17,134.05,-12.81
9*28*2018 7:27:37 AM,26.3,28.78,17.65,721.12,134,-12.86
9*28*2018 7:37:42 AM,26.56,29.06,17.65,721.06,133.94,-12.92
9*28*2018 7:47:43 AM,26.87,29.28,17.64,721.02,133.9,-12.96
9*28*2018 7:58:00 AM,27.12,29.62,17.63,720.97,133.85,-13.01
9*28*2018 8:08:17 AM,27.39,29.9,17.62,720.92,133.8,-13.06
9*28*2018 8:18:29 AM,27.7,30.16,17.61,720.87,133.75,-13.11
9*28*2018 8:28:29 AM,27.98,30.47,17.61,720.83,133.71,-13.15
9*28*2018 8:38:36 AM,28.32,30.82,17.63,720.8,133.68,-13.18
9*28*2018 8:48:43 AM,28.64,31.14,17.66,720.75,133.63,-13.23
9*28*2018 9:05:03 AM,29.06,31.54,17.74,720.68,133.56,-13.3
9*28*2018 9:15:05 AM,29.36,31.85,17.79,720.63,133.51,-13.35
9*28*2018 9:25:11 AM,29.66,32.16,17.84,720.59,133.47,-13.39
