Parameter Name,Value
General Information,
Sample name:,
Start of measurement:,9*26*2018 3:01:33 PM
Stop of measurement:,10*1*2018 1:51:05 PM
Duration of Measurements:,4 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5.1
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,375
Empty soil sampling ring weight [g]:,212.12
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.15
Scale [g]:,0.05
Sensor Unit Information,
Busnumber:,1
Subaddress:,1
Serial number:,1640
Sensor unit name:,MY-HYPROP---
Firmware Version:,1.4
Scale Information,
Serial number:,184226046
Scale name:,HYPROP Balance
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,9*26*2018 3:01:33 PM
Stop,9*28*2018 12:18:49 PM
,
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.420302882339015
Dry soil weight [g]:,105.25
Additional Soil Paramters,
Density [g/cm3]:,1.06
Porosity [-]:,0.60
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,traditional constrained van Genuchten-Mualem model
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C],Gross weight [g],Net weight [g],Weight change [g]
9*26*2018 3:01:33 PM,-1.21,1.82,19.29,733.98,146.86,0
9*26*2018 3:02:33 PM,-1.22,1.72,19.3,733.94,146.82,-0.04
9*26*2018 3:03:34 PM,-1.22,1.58,19.32,733.92,146.8,-0.06
9*26*2018 3:04:37 PM,-1.25,1.43,19.34,733.89,146.77,-0.09
9*26*2018 3:05:39 PM,-1.29,1.34,19.35,733.86,146.74,-0.12
9*26*2018 3:06:39 PM,-1.31,1.28,19.37,733.84,146.72,-0.14
9*26*2018 3:07:42 PM,-1.32,1.26,19.39,733.82,146.7,-0.16
9*26*2018 3:08:43 PM,-1.33,1.18,19.41,733.8,146.68,-0.18
9*26*2018 3:09:43 PM,-1.36,1.14,19.42,733.78,146.66,-0.2
9*26*2018 3:10:45 PM,-1.36,1.16,19.43,733.76,146.64,-0.22
9*26*2018 3:11:46 PM,-1.36,1.14,19.44,733.75,146.63,-0.23
9*26*2018 3:12:50 PM,-1.35,1.11,19.45,733.73,146.61,-0.25
9*26*2018 3:13:55 PM,-1.37,1.09,19.46,733.72,146.6,-0.26
9*26*2018 3:14:57 PM,-1.35,1.05,19.47,733.7,146.58,-0.28
9*26*2018 3:16:01 PM,-1.35,1.05,19.48,733.69,146.57,-0.29
9*26*2018 3:17:02 PM,-1.36,1.01,19.49,733.68,146.56,-0.3
9*26*2018 3:18:03 PM,-1.35,1.06,19.5,733.66,146.54,-0.32
9*26*2018 3:19:06 PM,-1.35,1.07,19.51,733.65,146.53,-0.33
9*26*2018 3:20:09 PM,-1.34,1.05,19.52,733.64,146.52,-0.34
9*26*2018 3:21:13 PM,-1.34,1.05,19.53,733.63,146.51,-0.35
9*26*2018 3:22:15 PM,-1.34,0.97,19.54,733.62,146.5,-0.36
9*26*2018 3:23:18 PM,-1.34,1.01,19.55,733.61,146.49,-0.37
9*26*2018 3:24:21 PM,-1.34,1.06,19.56,733.6,146.48,-0.38
9*26*2018 3:25:22 PM,-1.38,1.05,19.57,733.58,146.46,-0.4
9*26*2018 3:26:23 PM,-1.36,1,19.58,733.57,146.45,-0.41
9*26*2018 3:27:26 PM,-1.39,1.02,19.6,733.56,146.44,-0.42
9*26*2018 3:28:27 PM,-1.39,1.02,19.61,733.55,146.43,-0.43
9*26*2018 3:29:29 PM,-1.38,1.01,19.62,733.54,146.42,-0.44
9*26*2018 3:30:33 PM,-1.38,0.99,19.63,733.53,146.41,-0.45
9*26*2018 3:31:35 PM,-1.36,1.01,19.64,733.52,146.4,-0.46
9*26*2018 3:32:35 PM,-1.37,0.98,19.66,733.51,146.39,-0.47
9*26*2018 3:33:36 PM,-1.38,1.03,19.67,733.5,146.38,-0.48
9*26*2018 3:34:40 PM,-1.39,0.98,19.68,733.49,146.37,-0.49
9*26*2018 3:35:44 PM,-1.35,1,19.7,733.48,146.36,-0.5
9*26*2018 3:36:47 PM,-1.37,0.99,19.71,733.47,146.35,-0.51
9*26*2018 3:37:49 PM,-1.36,1.01,19.73,733.46,146.34,-0.52
9*26*2018 3:38:53 PM,-1.34,1.03,19.74,733.45,146.33,-0.53
9*26*2018 3:39:57 PM,-1.34,1.01,19.75,733.44,146.32,-0.54
9*26*2018 3:41:01 PM,-1.34,1.03,19.76,733.43,146.31,-0.55
9*26*2018 3:42:05 PM,-1.38,1.06,19.78,733.42,146.3,-0.56
9*26*2018 3:43:06 PM,-1.35,1.05,19.79,733.41,146.29,-0.57
9*26*2018 3:44:08 PM,-1.37,1.01,19.8,733.4,146.28,-0.58
9*26*2018 3:45:14 PM,-1.32,1.05,19.82,733.39,146.27,-0.59
9*26*2018 3:46:18 PM,-1.38,1.07,19.83,733.39,146.27,-0.59
9*26*2018 3:47:23 PM,-1.37,1.06,19.85,733.38,146.26,-0.6
9*26*2018 3:48:23 PM,-1.36,1.03,19.86,733.37,146.25,-0.61
9*26*2018 3:49:24 PM,-1.34,1.01,19.87,733.36,146.24,-0.62
9*26*2018 3:50:29 PM,-1.34,1.07,19.88,733.35,146.23,-0.63
9*26*2018 3:51:30 PM,-1.36,1.06,19.9,733.34,146.22,-0.64
9*26*2018 3:52:33 PM,-1.34,1.09,19.91,733.33,146.21,-0.65
9*26*2018 3:53:37 PM,-1.35,1.05,19.92,733.32,146.2,-0.66
9*26*2018 3:54:42 PM,-1.33,1.03,19.94,733.31,146.19,-0.67
9*26*2018 3:55:45 PM,-1.33,1.08,19.95,733.3,146.18,-0.68
9*26*2018 3:56:47 PM,-1.28,1.08,19.96,733.29,146.17,-0.69
9*26*2018 3:57:50 PM,-1.31,1.05,19.97,733.28,146.16,-0.7
9*26*2018 3:58:55 PM,-1.29,1.09,19.99,733.28,146.16,-0.7
9*26*2018 3:59:59 PM,-1.31,1.1,20,733.26,146.14,-0.72
9*26*2018 4:01:03 PM,-1.29,1.1,20.01,733.26,146.14,-0.72
9*26*2018 4:02:05 PM,-1.28,1.09,20.02,733.25,146.13,-0.73
9*26*2018 4:03:10 PM,-1.3,1.09,20.03,733.24,146.12,-0.74
9*26*2018 4:13:11 PM,-1.22,1.16,20.14,733.15,146.03,-0.83
9*26*2018 4:23:12 PM,-1.2,1.21,20.23,733.08,145.96,-0.9
9*26*2018 4:33:15 PM,-1.15,1.24,20.32,733.01,145.89,-0.97
9*26*2018 4:43:17 PM,-1.05,1.38,20.39,732.94,145.82,-1.04
9*26*2018 4:53:21 PM,-1.02,1.4,20.46,732.87,145.75,-1.11
9*26*2018 5:03:21 PM,-0.95,1.44,20.52,732.81,145.69,-1.17
9*26*2018 5:13:23 PM,-0.95,1.48,20.57,732.74,145.62,-1.24
9*26*2018 5:23:25 PM,-0.87,1.58,20.61,732.68,145.56,-1.3
9*26*2018 5:33:30 PM,-0.94,1.46,20.66,732.62,145.5,-1.36
9*26*2018 5:43:32 PM,-0.9,1.58,20.7,732.56,145.44,-1.42
9*26*2018 5:53:35 PM,-0.8,1.67,20.73,732.49,145.37,-1.49
9*26*2018 6:03:39 PM,-0.76,1.68,20.75,732.43,145.31,-1.55
9*26*2018 6:13:44 PM,-0.7,1.69,20.76,732.37,145.25,-1.61
9*26*2018 6:23:50 PM,-0.64,1.76,20.77,732.31,145.19,-1.67
9*26*2018 6:33:51 PM,-0.59,1.86,20.76,732.25,145.13,-1.73
9*26*2018 6:43:57 PM,-0.49,1.83,20.75,732.19,145.07,-1.79
9*26*2018 6:53:58 PM,-0.51,1.88,20.72,732.12,145,-1.86
9*26*2018 7:04:03 PM,-0.43,1.93,20.67,732.06,144.94,-1.92
9*26*2018 7:14:07 PM,-0.36,1.9,20.61,732,144.88,-1.98
9*26*2018 7:24:08 PM,-0.33,1.97,20.53,731.94,144.82,-2.04
9*26*2018 7:34:10 PM,-0.29,2.12,20.44,731.87,144.75,-2.11
9*26*2018 7:44:12 PM,-0.19,2.13,20.34,731.8,144.68,-2.18
9*26*2018 7:54:17 PM,-0.15,2.18,20.23,731.74,144.62,-2.24
9*26*2018 8:04:22 PM,-0.08,2.26,20.12,731.68,144.56,-2.3
9*26*2018 8:14:24 PM,0.02,2.37,20.01,731.62,144.5,-2.36
9*26*2018 8:24:28 PM,0.08,2.39,19.92,731.56,144.44,-2.42
9*26*2018 8:34:34 PM,0.16,2.56,19.83,731.49,144.37,-2.49
9*26*2018 8:44:37 PM,0.26,2.61,19.76,731.44,144.32,-2.54
9*26*2018 8:54:40 PM,0.31,2.69,19.69,731.38,144.26,-2.6
9*26*2018 9:04:40 PM,0.39,2.75,19.62,731.32,144.2,-2.66
9*26*2018 9:14:43 PM,0.4,2.75,19.55,731.26,144.14,-2.72
