Parameter Name,Value
General Information,
Sample name:,
Start of measurement:,10*19*2018 3:35:26 PM
Stop of measurement:,10*23*2018 2:00:40 PM
Duration of Measurements:,3 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5.1
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,375
Empty soil sampling ring weight [g]:,208
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.15
Scale [g]:,0.05
Sensor Unit Information,
Busnumber:,1
Subaddress:,1
Serial number:,1640
Sensor unit name:,MY-HYPROP---
Firmware Version:,1.4
Scale Information,
Serial number:,144226084
Scale name:,HYPROP Balance
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,10*19*2018 3:35:26 PM
Stop,10*23*2018 2:00:40 PM
,
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.56474758880307
Dry soil weight [g]:,109.1
Additional Soil Paramters,
Density [g/cm3]:,1.10
Porosity [-]:,0.58
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,traditional constrained van Genuchten-Mualem model
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C],Gross weight [g],Net weight [g],Weight change [g]
10*19*2018 3:57:20 PM,-1.48,1.58,18.27,747.73,164.73,-0.28
10*19*2018 3:58:21 PM,-1.48,1.53,18.28,747.72,164.72,-0.29
10*19*2018 3:59:23 PM,-1.51,1.5,18.29,747.71,164.71,-0.3
10*19*2018 4:00:27 PM,-1.46,1.54,18.29,747.7,164.7,-0.31
10*19*2018 4:01:28 PM,-1.47,1.55,18.3,747.69,164.69,-0.32
10*19*2018 4:02:33 PM,-1.43,1.55,18.31,747.69,164.69,-0.32
10*19*2018 4:03:35 PM,-1.43,1.62,18.31,747.68,164.68,-0.33
10*19*2018 4:04:39 PM,-1.41,1.6,18.32,747.67,164.67,-0.34
10*19*2018 4:05:45 PM,-1.43,1.55,18.32,747.66,164.66,-0.35
10*19*2018 4:06:47 PM,-1.4,1.56,18.33,747.65,164.65,-0.36
10*19*2018 4:07:47 PM,-1.39,1.55,18.33,747.64,164.64,-0.37
10*19*2018 4:08:49 PM,-1.38,1.55,18.34,747.64,164.64,-0.37
10*19*2018 4:09:51 PM,-1.37,1.57,18.34,747.63,164.63,-0.38
10*19*2018 4:10:53 PM,-1.37,1.6,18.35,747.62,164.62,-0.39
10*19*2018 4:11:57 PM,-1.36,1.56,18.36,747.61,164.61,-0.4
10*19*2018 4:13:00 PM,-1.36,1.61,18.36,747.6,164.6,-0.41
10*19*2018 4:14:04 PM,-1.32,1.58,18.37,747.59,164.59,-0.42
10*19*2018 4:15:08 PM,-1.32,1.6,18.38,747.58,164.58,-0.43
10*19*2018 4:16:12 PM,-1.35,1.59,18.38,747.57,164.57,-0.44
10*19*2018 4:17:12 PM,-1.29,1.6,18.39,747.56,164.56,-0.45
10*19*2018 4:18:15 PM,-1.3,1.6,18.39,747.55,164.55,-0.46
10*19*2018 4:19:19 PM,-1.32,1.61,18.4,747.54,164.54,-0.47
10*19*2018 4:20:22 PM,-1.3,1.61,18.4,747.54,164.54,-0.47
10*19*2018 4:21:26 PM,-1.3,1.6,18.41,747.53,164.53,-0.48
10*19*2018 4:22:28 PM,-1.28,1.62,18.41,747.52,164.52,-0.49
10*19*2018 4:23:31 PM,-1.28,1.61,18.42,747.51,164.51,-0.5
10*19*2018 4:24:33 PM,-1.27,1.6,18.43,747.51,164.51,-0.5
10*19*2018 4:25:37 PM,-1.27,1.63,18.43,747.5,164.5,-0.51
10*19*2018 4:26:39 PM,-1.25,1.63,18.44,747.49,164.49,-0.52
10*19*2018 4:27:42 PM,-1.25,1.62,18.44,747.48,164.48,-0.53
10*19*2018 4:28:42 PM,-1.23,1.64,18.45,747.47,164.47,-0.54
10*19*2018 4:29:43 PM,-1.25,1.66,18.45,747.46,164.46,-0.55
10*19*2018 4:30:47 PM,-1.24,1.65,18.46,747.46,164.46,-0.55
10*19*2018 4:31:52 PM,-1.23,1.64,18.46,747.45,164.45,-0.56
10*19*2018 4:32:56 PM,-1.23,1.62,18.47,747.44,164.44,-0.57
10*19*2018 4:33:58 PM,-1.22,1.68,18.47,747.43,164.43,-0.58
10*19*2018 4:34:58 PM,-1.21,1.65,18.48,747.42,164.42,-0.59
10*19*2018 4:36:00 PM,-1.17,1.69,18.49,747.42,164.42,-0.59
10*19*2018 4:37:01 PM,-1.18,1.69,18.49,747.41,164.41,-0.6
10*19*2018 4:47:03 PM,-1.11,1.75,18.55,747.33,164.33,-0.68
10*19*2018 4:57:06 PM,-1.01,1.76,18.59,747.25,164.25,-0.76
10*19*2018 5:07:07 PM,-0.93,1.9,18.63,747.17,164.17,-0.84
10*19*2018 5:17:13 PM,-0.86,1.91,18.66,747.1,164.1,-0.91
10*19*2018 5:27:15 PM,-0.75,2.01,18.7,747.03,164.03,-0.98
10*19*2018 5:37:15 PM,-0.69,2.07,18.73,746.96,163.96,-1.05
10*19*2018 5:47:20 PM,-0.64,2.19,18.76,746.9,163.9,-1.11
10*19*2018 5:57:26 PM,-0.57,2.23,18.78,746.83,163.83,-1.18
10*19*2018 6:07:28 PM,-0.46,2.33,18.81,746.75,163.75,-1.26
10*19*2018 6:17:33 PM,-0.26,2.51,18.83,746.68,163.68,-1.33
10*19*2018 6:27:35 PM,0.21,2.95,18.86,746.62,163.62,-1.39
10*19*2018 6:37:39 PM,0.77,3.53,18.88,746.56,163.56,-1.45
10*19*2018 6:47:39 PM,1.37,4.12,18.91,746.5,163.5,-1.51
10*19*2018 6:57:41 PM,1.89,4.64,18.93,746.45,163.45,-1.56
10*19*2018 7:07:42 PM,2.5,5.25,18.96,746.39,163.39,-1.62
10*19*2018 7:17:42 PM,3.22,5.94,18.99,746.34,163.34,-1.67
10*19*2018 7:27:46 PM,3.84,6.55,19.02,746.29,163.29,-1.72
10*19*2018 7:37:46 PM,4.45,7.18,19.04,746.24,163.24,-1.77
10*19*2018 7:47:48 PM,5.12,7.85,19.06,746.19,163.19,-1.82
10*19*2018 7:57:49 PM,5.84,8.54,19.08,746.13,163.13,-1.88
10*19*2018 8:07:51 PM,3.76,6.47,19.08,746.08,163.08,-1.93
10*19*2018 8:17:52 PM,5.49,8.2,19.08,746.03,163.03,-1.98
10*19*2018 8:27:53 PM,4.93,7.64,19.08,745.96,162.96,-2.05
10*19*2018 8:37:57 PM,3.85,6.57,19.06,745.9,162.9,-2.11
10*19*2018 8:48:00 PM,5.8,8.51,19.04,745.85,162.85,-2.16
10*19*2018 8:58:04 PM,6.92,9.62,19.03,745.79,162.79,-2.22
10*19*2018 9:08:05 PM,7.43,10.1,19.01,745.73,162.73,-2.28
10*19*2018 9:18:07 PM,8.04,10.69,18.99,745.68,162.68,-2.33
10*19*2018 9:28:07 PM,8.6,11.28,18.97,745.62,162.62,-2.39
10*19*2018 9:38:08 PM,9.07,11.76,18.95,745.55,162.55,-2.46
10*19*2018 9:48:10 PM,9.78,12.45,18.92,745.48,162.48,-2.53
10*19*2018 9:58:12 PM,10.3,12.93,18.88,745.42,162.42,-2.59
10*19*2018 10:08:13 PM,10.24,12.92,18.85,745.36,162.36,-2.65
10*19*2018 10:18:17 PM,11.1,13.8,18.83,745.3,162.3,-2.71
10*19*2018 10:28:19 PM,11.37,14.06,18.8,745.24,162.24,-2.77
10*19*2018 10:38:21 PM,11.79,14.47,18.77,745.17,162.17,-2.84
10*19*2018 10:48:23 PM,12.28,14.95,18.75,745.11,162.11,-2.9
10*19*2018 10:58:24 PM,12.62,15.29,18.72,745.04,162.04,-2.97
10*19*2018 11:08:27 PM,13.13,15.83,18.69,744.98,161.98,-3.03
10*19*2018 11:18:32 PM,13.4,16.1,18.67,744.91,161.91,-3.1
10*19*2018 11:28:35 PM,13.9,16.55,18.65,744.85,161.85,-3.16
10*19*2018 11:38:37 PM,13.94,16.65,18.62,744.79,161.79,-3.22
10*19*2018 11:48:41 PM,12.85,15.57,18.6,744.73,161.73,-3.28
10*19*2018 11:58:41 PM,14.05,16.76,18.57,744.66,161.66,-3.35
10*20*2018 12:08:46 AM,14.52,17.2,18.55,744.59,161.59,-3.42
10*20*2018 12:18:46 AM,14.8,17.49,18.52,744.53,161.53,-3.48
10*20*2018 12:28:49 AM,15.27,17.92,18.5,744.46,161.46,-3.55
10*20*2018 12:38:51 AM,15.69,18.35,18.48,744.4,161.4,-3.61
10*20*2018 12:48:51 AM,15.98,18.64,18.46,744.34,161.34,-3.67
10*20*2018 12:58:57 AM,16.23,18.86,18.43,744.27,161.27,-3.74
10*20*2018 1:08:57 AM,16.4,19.05,18.41,744.21,161.21,-3.8
10*20*2018 1:19:01 AM,16.57,19.24,18.4,744.15,161.15,-3.86
10*20*2018 1:29:05 AM,16.58,19.28,18.38,744.08,161.08,-3.93
10*20*2018 1:39:10 AM,16.66,19.34,18.35,744.02,161.02,-3.99
10*20*2018 1:49:13 AM,17.04,19.72,18.34,743.96,160.96,-4.05
10*20*2018 1:59:14 AM,17.3,20.01,18.32,743.89,160.89,-4.12
10*20*2018 2:09:16 AM,17.69,20.35,18.3,743.83,160.83,-4.18
10*20*2018 2:19:18 AM,17.81,20.51,18.29,743.77,160.77,-4.24
10*20*2018 2:29:18 AM,18.1,20.76,18.27,743.71,160.71,-4.3
10*20*2018 2:39:21 AM,18.25,20.98,18.25,743.65,160.65,-4.36
10*20*2018 2:49:22 AM,18.12,20.77,18.23,743.58,160.58,-4.43
10*20*2018 2:59:25 AM,17.01,19.73,18.22,743.52,160.52,-4.49
10*20*2018 3:09:27 AM,18.04,20.74,18.21,743.46,160.46,-4.55
10*20*2018 3:19:29 AM,16.9,19.52,18.2,743.4,160.4,-4.61
10*20*2018 3:29:34 AM,17.59,20.26,18.19,743.34,160.34,-4.67
10*20*2018 3:39:35 AM,18.49,21.15,18.18,743.28,160.28,-4.73
10*20*2018 3:49:38 AM,15.9,19.01,18.17,743.21,160.21,-4.8
10*20*2018 3:59:41 AM,16.41,19.07,18.16,743.16,160.16,-4.85
10*20*2018 4:09:47 AM,18.25,20.93,18.15,743.09,160.09,-4.92
10*20*2018 4:19:52 AM,19.04,21.73,18.15,743.03,160.03,-4.98
10*20*2018 4:29:55 AM,19.36,22.07,18.14,742.97,159.97,-5.04
10*20*2018 4:39:55 AM,20,22.61,18.13,742.91,159.91,-5.1
10*20*2018 4:49:57 AM,20.37,23.03,18.12,742.85,159.85,-5.16
10*20*2018 5:00:01 AM,20.47,23.1,18.1,742.79,159.79,-5.22
10*20*2018 5:10:02 AM,20.99,23.63,18.08,742.72,159.72,-5.29
10*20*2018 5:20:06 AM,20.86,23.54,18.07,742.66,159.66,-5.35
10*20*2018 5:30:10 AM,21.51,24.13,18.05,742.59,159.59,-5.42
10*20*2018 5:40:15 AM,21.81,24.48,18.02,742.52,159.52,-5.49
10*20*2018 5:50:21 AM,22,24.65,17.99,742.46,159.46,-5.55
10*20*2018 6:00:24 AM,21.65,24.28,17.96,742.4,159.4,-5.61
10*20*2018 6:10:30 AM,22.45,25.12,17.92,742.33,159.33,-5.68
10*20*2018 6:20:34 AM,22.62,25.25,17.9,742.26,159.26,-5.75
10*20*2018 6:30:36 AM,22.65,25.28,17.86,742.2,159.2,-5.81
10*20*2018 6:40:40 AM,22.83,25.46,17.84,742.13,159.13,-5.88
10*20*2018 6:50:41 AM,16.7,19.33,17.82,742.07,159.07,-5.94
10*20*2018 7:00:43 AM,18.42,21.02,17.81,742.01,159.01,-6
10*20*2018 7:10:48 AM,20.02,22.68,17.79,741.93,158.93,-6.08
10*20*2018 7:20:52 AM,21.24,23.85,17.78,741.87,158.87,-6.14
10*20*2018 7:30:53 AM,22.05,24.71,17.76,741.81,158.81,-6.2
10*20*2018 7:40:57 AM,22.71,25.35,17.74,741.74,158.74,-6.27
10*20*2018 7:51:00 AM,23.2,25.8,17.72,741.68,158.68,-6.33
10*20*2018 8:01:02 AM,23.39,26.09,17.72,741.62,158.62,-6.39
10*20*2018 8:11:06 AM,23.89,26.56,17.72,741.55,158.55,-6.46
10*20*2018 8:21:10 AM,24.33,27.03,17.71,741.49,158.49,-6.52
10*20*2018 8:31:10 AM,24.67,27.34,17.71,741.43,158.43,-6.58
10*20*2018 8:41:12 AM,24.8,27.47,17.7,741.37,158.37,-6.64
10*20*2018 8:51:13 AM,25.19,27.88,17.69,741.31,158.31,-6.7
10*20*2018 9:01:18 AM,25.29,27.96,17.68,741.25,158.25,-6.76
10*20*2018 9:11:18 AM,25.72,28.42,17.68,741.18,158.18,-6.83
10*20*2018 9:21:21 AM,26.04,28.75,17.7,741.11,158.11,-6.9
10*20*2018 9:31:25 AM,26.2,28.91,17.71,741.06,158.06,-6.95
10*20*2018 9:41:26 AM,26.54,29.25,17.71,741,158,-7.01
10*20*2018 9:51:27 AM,26.44,29.11,17.71,740.94,157.94,-7.07
10*20*2018 10:01:31 AM,26.45,29.2,17.71,740.89,157.89,-7.12
10*20*2018 10:11:32 AM,27.14,29.8,17.72,740.82,157.82,-7.19
10*20*2018 10:21:34 AM,27.54,30.23,17.74,740.77,157.77,-7.24
10*20*2018 10:31:36 AM,27.76,30.46,17.78,740.71,157.71,-7.3
10*20*2018 10:41:41 AM,27.08,29.72,17.82,740.66,157.66,-7.35
10*20*2018 10:51:44 AM,27.92,30.62,17.86,740.61,157.61,-7.4
10*20*2018 11:01:48 AM,28.12,30.77,17.91,740.56,157.56,-7.45
10*20*2018 11:11:48 AM,28.61,31.3,17.96,740.51,157.51,-7.5
10*20*2018 11:21:50 AM,28.84,31.57,18.02,740.46,157.46,-7.55
10*20*2018 11:31:51 AM,29.13,31.84,18.08,740.41,157.41,-7.6
10*20*2018 11:41:51 AM,29.38,32.06,18.15,740.36,157.36,-7.65
10*20*2018 11:51:57 AM,29.49,32.2,18.22,740.31,157.31,-7.7
10*20*2018 12:01:59 PM,29.81,32.58,18.3,740.26,157.26,-7.75
10*20*2018 12:12:01 PM,30.07,32.77,18.36,740.21,157.21,-7.8
10*20*2018 12:22:01 PM,30.36,33.07,18.43,740.16,157.16,-7.85
10*20*2018 12:32:03 PM,30.57,33.27,18.5,740.11,157.11,-7.9
10*20*2018 12:42:06 PM,30.74,33.47,18.57,740.07,157.07,-7.94
10*20*2018 12:52:10 PM,30.85,33.54,18.63,740.02,157.02,-7.99
10*20*2018 1:02:12 PM,31.09,33.79,18.71,739.97,156.97,-8.04
10*20*2018 1:12:15 PM,31.18,33.87,18.78,739.93,156.93,-8.08
10*20*2018 1:22:17 PM,31.41,34.11,18.86,739.89,156.89,-8.12
10*20*2018 1:32:20 PM,31.61,34.32,18.94,739.85,156.85,-8.16
10*20*2018 1:42:21 PM,31.79,34.44,19.01,739.81,156.81,-8.2
10*20*2018 1:52:23 PM,31.97,34.66,19.09,739.77,156.77,-8.24
10*20*2018 2:02:25 PM,32.29,35,19.17,739.72,156.72,-8.29
10*20*2018 2:12:28 PM,32.55,35.23,19.24,739.68,156.68,-8.33
10*20*2018 2:22:29 PM,32.68,35.4,19.31,739.64,156.64,-8.37
10*20*2018 2:32:31 PM,32.8,35.48,19.38,739.6,156.6,-8.41
10*20*2018 2:42:35 PM,32.77,35.48,19.45,739.56,156.56,-8.45
10*20*2018 2:52:40 PM,32.83,35.52,19.52,739.52,156.52,-8.49
10*20*2018 3:02:42 PM,33.25,35.97,19.59,739.47,156.47,-8.54
10*20*2018 3:12:43 PM,33.27,35.94,19.64,739.43,156.43,-8.58
10*20*2018 3:22:44 PM,33.46,36.14,19.69,739.39,156.39,-8.62
10*20*2018 3:32:48 PM,33.47,36.13,19.75,739.35,156.35,-8.66
10*20*2018 3:42:50 PM,33.54,36.2,19.8,739.31,156.31,-8.7
10*20*2018 3:52:53 PM,33.58,36.23,19.86,739.27,156.27,-8.74
10*20*2018 4:02:56 PM,33.9,36.56,19.91,739.22,156.22,-8.79
10*20*2018 4:13:02 PM,33.88,36.51,19.95,739.18,156.18,-8.83
10*20*2018 4:23:02 PM,34.04,36.71,20,739.14,156.14,-8.87
10*20*2018 4:33:06 PM,34.19,36.88,20.04,739.09,156.09,-8.92
10*20*2018 4:43:06 PM,34.47,37.15,20.09,739.05,156.05,-8.96
10*20*2018 4:53:11 PM,34.75,37.41,20.14,739.01,156.01,-9
10*20*2018 5:03:16 PM,35.06,37.78,20.17,738.96,155.96,-9.05
10*20*2018 5:13:22 PM,35.2,37.86,20.2,738.92,155.92,-9.09
10*20*2018 5:23:22 PM,35.41,38.07,20.23,738.88,155.88,-9.13
10*20*2018 5:33:24 PM,35.55,38.22,20.26,738.83,155.83,-9.18
10*20*2018 5:43:24 PM,35.84,38.57,20.28,738.79,155.79,-9.22
10*20*2018 5:53:29 PM,36.12,38.79,20.31,738.75,155.75,-9.26
10*20*2018 6:03:32 PM,36.64,39.35,20.33,738.69,155.69,-9.32
10*20*2018 6:13:37 PM,36.85,39.59,20.33,738.65,155.65,-9.36
10*20*2018 6:23:41 PM,37.09,39.75,20.33,738.61,155.61,-9.4
10*20*2018 6:33:46 PM,37.22,39.88,20.32,738.56,155.56,-9.45
10*20*2018 6:43:49 PM,37.34,40.03,20.31,738.52,155.52,-9.49
10*20*2018 6:53:51 PM,37.59,40.25,20.3,738.47,155.47,-9.54
10*20*2018 7:03:55 PM,38,40.66,20.29,738.42,155.42,-9.59
10*20*2018 7:14:00 PM,38.2,40.86,20.26,738.38,155.38,-9.63
10*20*2018 7:24:04 PM,38.56,41.23,20.24,738.33,155.33,-9.68
10*20*2018 7:34:06 PM,38.91,41.58,20.21,738.29,155.29,-9.72
10*20*2018 7:44:07 PM,39.48,42.16,20.18,738.23,155.23,-9.78
10*20*2018 7:54:08 PM,39.91,42.57,20.15,738.17,155.17,-9.84
10*20*2018 8:04:13 PM,40.08,42.75,20.1,738.11,155.11,-9.9
10*20*2018 8:14:16 PM,40.42,43.07,20.06,738.07,155.07,-9.94
10*20*2018 8:24:18 PM,40.8,43.47,20.02,738.02,155.02,-9.99
10*20*2018 8:34:19 PM,41.14,43.85,19.98,737.97,154.97,-10.04
10*20*2018 8:44:22 PM,41.67,44.33,19.94,737.91,154.91,-10.1
10*20*2018 8:54:26 PM,42.11,44.9,19.89,737.86,154.86,-10.15
10*20*2018 9:04:26 PM,42.61,45.35,19.83,737.8,154.8,-10.21
10*20*2018 9:14:28 PM,42.91,45.58,19.79,737.75,154.75,-10.26
10*20*2018 9:24:31 PM,43.24,46.01,19.74,737.69,154.69,-10.32
10*20*2018 9:34:34 PM,43.64,46.34,19.69,737.64,154.64,-10.37
10*20*2018 9:44:36 PM,43.79,46.51,19.65,737.58,154.58,-10.43
10*20*2018 9:54:38 PM,44.4,47.13,19.61,737.53,154.53,-10.48
10*20*2018 10:04:43 PM,44.92,47.65,19.57,737.47,154.47,-10.54
10*20*2018 10:14:43 PM,45.42,48.16,19.53,737.41,154.41,-10.6
10*20*2018 10:24:44 PM,45.87,48.6,19.49,737.36,154.36,-10.65
10*20*2018 10:34:46 PM,46.24,48.96,19.45,737.3,154.3,-10.71
10*20*2018 10:44:49 PM,46.61,49.31,19.42,737.25,154.25,-10.76
10*20*2018 10:54:50 PM,47.06,49.78,19.39,737.2,154.2,-10.81
10*20*2018 11:04:51 PM,47.37,50.08,19.35,737.14,154.14,-10.87
10*20*2018 11:14:55 PM,47.79,50.45,19.33,737.09,154.09,-10.92
10*20*2018 11:24:58 PM,48.25,51.03,19.3,737.04,154.04,-10.97
10*20*2018 11:35:00 PM,48.58,51.35,19.28,736.98,153.98,-11.03
10*20*2018 11:45:01 PM,49.16,51.92,19.26,736.93,153.93,-11.08
10*20*2018 11:55:06 PM,49.56,52.31,19.23,736.88,153.88,-11.13
10*21*2018 12:05:08 AM,49.87,52.62,19.2,736.83,153.83,-11.18
10*21*2018 12:15:08 AM,50.44,53.2,19.19,736.77,153.77,-11.24
10*21*2018 12:25:09 AM,50.93,53.69,19.16,736.73,153.73,-11.28
10*21*2018 12:35:13 AM,51.44,54.23,19.14,736.67,153.67,-11.34
10*21*2018 12:45:15 AM,51.81,54.63,19.12,736.62,153.62,-11.39
10*21*2018 12:55:16 AM,52.28,55,19.11,736.56,153.56,-11.45
10*21*2018 1:05:19 AM,52.66,55.43,19.09,736.51,153.51,-11.5
10*21*2018 1:15:20 AM,53.13,55.91,19.07,736.46,153.46,-11.55
10*21*2018 1:25:21 AM,53.54,56.29,19.06,736.41,153.41,-11.6
10*21*2018 1:35:22 AM,53.99,56.76,19.05,736.37,153.37,-11.64
10*21*2018 1:45:26 AM,54.61,57.43,19.03,736.31,153.31,-11.7
10*21*2018 1:55:27 AM,55.29,58.1,19,736.26,153.26,-11.75
10*21*2018 2:05:28 AM,55.75,58.53,18.97,736.2,153.2,-11.81
10*21*2018 2:15:32 AM,56.29,59.09,18.94,736.15,153.15,-11.86
10*21*2018 2:25:34 AM,56.84,59.64,18.92,736.09,153.09,-11.92
10*21*2018 2:35:35 AM,57.19,59.99,18.88,736.05,153.05,-11.96
10*21*2018 2:45:40 AM,57.74,60.57,18.85,735.99,152.99,-12.02
10*21*2018 2:55:43 AM,58.22,61.05,18.82,735.94,152.94,-12.07
10*21*2018 3:05:47 AM,58.64,61.49,18.79,735.88,152.88,-12.13
10*21*2018 3:15:48 AM,59.16,61.97,18.77,735.83,152.83,-12.18
10*21*2018 3:25:50 AM,59.65,62.48,18.76,735.78,152.78,-12.23
10*21*2018 3:35:53 AM,60.2,63.04,18.73,735.72,152.72,-12.29
10*21*2018 3:45:56 AM,60.66,63.46,18.71,735.67,152.67,-12.34
10*21*2018 3:55:58 AM,61.27,64.09,18.68,735.62,152.62,-12.39
10*21*2018 4:05:58 AM,61.7,64.55,18.65,735.56,152.56,-12.45
10*21*2018 4:16:02 AM,62.26,65.15,18.64,735.51,152.51,-12.5
10*21*2018 4:26:04 AM,62.74,65.62,18.62,735.46,152.46,-12.55
10*21*2018 4:36:04 AM,63.3,66.17,18.6,735.41,152.41,-12.6
10*21*2018 4:46:08 AM,63.76,66.56,18.58,735.35,152.35,-12.66
10*21*2018 4:56:13 AM,64.46,67.31,18.55,735.3,152.3,-12.71
10*21*2018 5:06:16 AM,65.07,67.89,18.52,735.24,152.24,-12.77
10*21*2018 5:16:16 AM,65.55,68.49,18.5,735.19,152.19,-12.82
10*21*2018 5:26:20 AM,66.08,69.02,18.48,735.14,152.14,-12.87
10*21*2018 5:36:23 AM,66.55,69.38,18.47,735.09,152.09,-12.92
10*21*2018 5:46:24 AM,67.03,69.9,18.45,735.04,152.04,-12.97
10*21*2018 5:56:24 AM,67.5,70.36,18.44,734.99,151.99,-13.02
10*21*2018 6:06:25 AM,68.2,71.11,18.42,734.93,151.93,-13.08
10*21*2018 6:16:30 AM,68.69,71.57,18.4,734.88,151.88,-13.13
10*21*2018 6:26:31 AM,69.23,72.12,18.38,734.83,151.83,-13.18
10*21*2018 6:36:33 AM,69.88,72.85,18.36,734.78,151.78,-13.23
10*21*2018 6:46:34 AM,70.53,73.51,18.34,734.73,151.73,-13.28
10*21*2018 6:56:40 AM,70.98,73.87,18.33,734.69,151.69,-13.32
10*21*2018 7:06:44 AM,71.77,74.75,18.31,734.63,151.63,-13.38
10*21*2018 7:16:47 AM,72.28,75.21,18.3,734.58,151.58,-13.43
10*21*2018 7:26:50 AM,72.83,75.8,18.28,734.53,151.53,-13.48
10*21*2018 7:36:50 AM,73.42,76.4,18.26,734.48,151.48,-13.53
10*21*2018 7:46:55 AM,74.06,77.03,18.24,734.43,151.43,-13.58
10*21*2018 7:56:58 AM,74.6,77.63,18.22,734.38,151.38,-13.63
10*21*2018 8:06:59 AM,75.32,78.28,18.2,734.32,151.32,-13.69
