Parameter Name,Value
General Information,
Sample name:,
Start of measurement:,10*19*2018 3:35:26 PM
Stop of measurement:,10*23*2018 2:00:40 PM
Duration of Measurements:,3 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5.1
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,375
Empty soil sampling ring weight [g]:,208
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.15
Scale [g]:,0.05
Sensor Unit Information,
Busnumber:,1
Subaddress:,1
Serial number:,1640
Sensor unit name:,MY-HYPROP---
Firmware Version:,1.4
Scale Information,
Serial number:,144226084
Scale name:,HYPROP Balance
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,10*19*2018 3:35:26 PM
Stop,10*23*2018 2:00:40 PM
,
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.56474758880307
Dry soil weight [g]:,109.1
Additional Soil Paramters,
Density [g/cm3]:,1.10
Porosity [-]:,0.58
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,traditional constrained van Genuchten-Mualem model
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C],Gross weight [g],Net weight [g],Weight change [g]
10*19*2018 3:35:26 PM,-1.74,2.08,17.9,748.01,165.01,0
10*19*2018 3:36:29 PM,-1.57,2.23,17.92,747.99,164.99,-0.02
10*19*2018 3:37:31 PM,-1.55,2.21,17.97,747.96,164.96,-0.05
10*19*2018 3:38:33 PM,-1.54,2.13,18,747.94,164.94,-0.07
10*19*2018 3:39:34 PM,-1.55,2.05,18.03,747.92,164.92,-0.09
10*19*2018 3:40:38 PM,-1.56,1.95,18.06,747.9,164.9,-0.11
10*19*2018 3:41:40 PM,-1.57,1.9,18.09,747.89,164.89,-0.12
10*19*2018 3:42:44 PM,-1.55,1.82,18.11,747.87,164.87,-0.14
10*19*2018 3:43:48 PM,-1.56,1.79,18.14,747.86,164.86,-0.15
10*19*2018 3:44:51 PM,-1.56,1.74,18.16,747.85,164.85,-0.16
10*19*2018 3:45:51 PM,-1.57,1.69,18.17,747.83,164.83,-0.18
10*19*2018 3:46:54 PM,-1.56,1.67,18.19,747.82,164.82,-0.19
10*19*2018 3:47:54 PM,-1.55,1.65,18.2,747.81,164.81,-0.2
10*19*2018 3:48:58 PM,-1.57,1.61,18.21,747.81,164.81,-0.2
10*19*2018 3:50:00 PM,-1.56,1.6,18.23,747.8,164.8,-0.21
10*19*2018 3:51:04 PM,-1.55,1.61,18.24,747.78,164.78,-0.23
10*19*2018 3:52:04 PM,-1.53,1.56,18.24,747.78,164.78,-0.23
10*19*2018 3:53:08 PM,-1.56,1.52,18.25,747.77,164.77,-0.24
10*19*2018 3:54:10 PM,-1.54,1.55,18.26,747.76,164.76,-0.25
10*19*2018 3:55:12 PM,-1.52,1.54,18.26,747.75,164.75,-0.26
10*19*2018 3:56:16 PM,-1.52,1.55,18.27,747.74,164.74,-0.27
