Parameter Name,Value
General Information,
Sample name:,
Start of measurement:,10*14*2018 6:13:55 PM
Stop of measurement:,10*18*2018 11:27:19 AM
Duration of Measurements:,3 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5.1
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,375
Empty soil sampling ring weight [g]:,208
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.15
Scale [g]:,0.05
Sensor Unit Information,
Busnumber:,1
Subaddress:,1
Serial number:,1640
Sensor unit name:,MY-HYPROP---
Firmware Version:,1.4
Scale Information,
Serial number:,184226046
Scale name:,HYPROP Balance
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,10*14*2018 6:13:55 PM
Stop,10*16*2018 3:44:10 AM
,
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.566262293343592
Dry soil weight [g]:,-93.7
Additional Soil Paramters,
Density [g/cm3]:,-0.95
Porosity [-]:,1.36
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,traditional constrained van Genuchten-Mualem model
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C],Gross weight [g],Net weight [g],Weight change [g]
10*14*2018 6:13:55 PM,-1.37,-0.8,16.46,773.66,190.66,0
10*14*2018 6:14:58 PM,-0.81,1,16.47,773.63,190.63,-0.03
10*14*2018 6:15:59 PM,-0.42,1.66,16.47,773.59,190.59,-0.07
10*14*2018 6:17:03 PM,-0.13,2.02,16.48,773.56,190.56,-0.1
10*14*2018 6:18:08 PM,-0.02,2.18,16.48,773.53,190.53,-0.13
10*14*2018 6:19:10 PM,0.02,2.29,16.48,773.51,190.51,-0.15
10*14*2018 6:20:11 PM,0.08,2.35,16.48,773.49,190.49,-0.17
10*14*2018 6:21:13 PM,0.18,2.43,16.47,773.47,190.47,-0.19
10*14*2018 6:22:15 PM,0.17,2.53,16.46,773.45,190.45,-0.21
10*14*2018 6:23:21 PM,0.28,2.57,16.45,773.42,190.42,-0.24
10*14*2018 6:24:24 PM,0.31,2.67,16.45,773.41,190.41,-0.25
10*14*2018 6:25:27 PM,0.36,2.76,16.44,773.39,190.39,-0.27
10*14*2018 6:26:28 PM,0.41,2.8,16.43,773.37,190.37,-0.29
10*14*2018 6:27:32 PM,0.46,2.84,16.42,773.35,190.35,-0.31
10*14*2018 6:28:35 PM,0.47,2.91,16.41,773.34,190.34,-0.32
10*14*2018 6:29:35 PM,0.51,2.97,16.4,773.32,190.32,-0.34
10*14*2018 6:30:37 PM,0.57,3.05,16.39,773.31,190.31,-0.35
10*14*2018 6:31:42 PM,0.67,3.09,16.38,773.3,190.3,-0.36
10*14*2018 6:32:45 PM,0.67,3.16,16.37,773.28,190.28,-0.38
10*14*2018 6:33:46 PM,0.79,3.23,16.36,773.27,190.27,-0.39
10*14*2018 6:34:48 PM,0.76,3.3,16.36,773.26,190.26,-0.4
10*14*2018 6:35:52 PM,0.86,3.34,16.35,773.24,190.24,-0.42
10*14*2018 6:36:54 PM,0.94,3.44,16.35,773.23,190.23,-0.43
10*14*2018 6:37:55 PM,1,3.53,16.35,773.22,190.22,-0.44
10*14*2018 6:38:58 PM,1.11,3.57,16.34,773.21,190.21,-0.45
10*14*2018 6:40:00 PM,1.16,3.66,16.34,773.19,190.19,-0.47
10*14*2018 6:41:01 PM,-0.16,3.22,16.34,773.18,190.18,-0.48
10*14*2018 6:42:03 PM,-0.12,2.72,16.34,773.17,190.17,-0.49
10*14*2018 6:43:04 PM,0.09,2.67,16.33,773.16,190.16,-0.5
10*14*2018 6:44:06 PM,0.22,2.77,16.33,773.14,190.14,-0.52
10*14*2018 6:45:09 PM,0.33,2.88,16.33,773.13,190.13,-0.53
10*14*2018 6:46:11 PM,0.48,3.01,16.33,773.12,190.12,-0.54
10*14*2018 6:47:11 PM,0.65,3.08,16.33,773.11,190.11,-0.55
10*14*2018 6:48:14 PM,0.73,3.23,16.33,773.09,190.09,-0.57
10*14*2018 6:49:15 PM,0.82,3.36,16.33,773.08,190.08,-0.58
10*14*2018 6:50:16 PM,1.04,3.45,16.33,773.07,190.07,-0.59
10*14*2018 6:51:16 PM,1.11,3.57,16.33,773.06,190.06,-0.6
10*14*2018 6:52:16 PM,1.24,3.71,16.33,773.04,190.04,-0.62
10*14*2018 6:53:17 PM,-0.23,2.88,16.33,773.03,190.03,-0.63
10*14*2018 6:54:20 PM,-0.02,2.68,16.33,773.02,190.02,-0.64
10*14*2018 6:55:21 PM,0.13,2.76,16.33,773.01,190.01,-0.65
10*14*2018 6:56:22 PM,0.32,2.83,16.33,773,190,-0.66
10*14*2018 6:57:26 PM,0.51,2.94,16.33,772.99,189.99,-0.67
10*14*2018 6:58:26 PM,0.6,3.07,16.33,772.97,189.97,-0.69
10*14*2018 6:59:28 PM,0.77,3.24,16.33,772.97,189.97,-0.69
10*14*2018 7:00:30 PM,0.95,3.38,16.33,772.95,189.95,-0.71
10*14*2018 7:01:35 PM,1.1,3.54,16.33,772.94,189.94,-0.72
10*14*2018 7:02:37 PM,-0.69,3.32,16.33,772.93,189.93,-0.73
10*14*2018 7:03:37 PM,-0.51,2.46,16.33,772.92,189.92,-0.74
10*14*2018 7:04:37 PM,-0.31,2.37,16.33,772.9,189.9,-0.76
10*14*2018 7:05:39 PM,-0.13,2.4,16.33,772.9,189.9,-0.76
10*14*2018 7:06:40 PM,-0.02,2.5,16.33,772.88,189.88,-0.78
10*14*2018 7:07:44 PM,0.07,2.65,16.32,772.87,189.87,-0.79
10*14*2018 7:08:48 PM,0.27,2.77,16.32,772.86,189.86,-0.8
10*14*2018 7:09:49 PM,0.45,2.88,16.32,772.85,189.85,-0.81
10*14*2018 7:10:54 PM,0.54,2.99,16.32,772.84,189.84,-0.82
10*14*2018 7:11:58 PM,0.72,3.12,16.32,772.83,189.83,-0.83
10*14*2018 7:13:00 PM,0.86,3.26,16.32,772.82,189.82,-0.84
10*14*2018 7:14:00 PM,0.92,3.42,16.32,772.81,189.81,-0.85
10*14*2018 7:15:04 PM,-0.5,3.8,16.32,772.8,189.8,-0.86
10*14*2018 7:25:06 PM,0.89,3.34,16.32,772.69,189.69,-0.97
10*14*2018 7:35:07 PM,0.72,3.18,16.31,772.59,189.59,-1.07
10*14*2018 7:45:10 PM,0.6,3.13,16.31,772.49,189.49,-1.17
10*14*2018 7:55:11 PM,0.36,2.93,16.3,772.4,189.4,-1.26
10*14*2018 8:05:13 PM,0.19,2.76,16.29,772.31,189.31,-1.35
10*14*2018 8:15:17 PM,-0.12,2.5,16.27,772.23,189.23,-1.43
10*14*2018 8:25:21 PM,-0.36,2.38,16.27,772.14,189.14,-1.52
10*14*2018 8:35:25 PM,-0.48,2.48,16.26,772.05,189.05,-1.61
