Parameter Name,Value
General Information,
Sample name:,
Start of measurement:,11*7*2018 2:35:33 PM
Stop of measurement:,11*13*2018 7:12:35 AM
Duration of Measurements:,5 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5.1
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,388
Empty soil sampling ring weight [g]:,205
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.15
Scale [g]:,0.05
Sensor Unit Information,
Busnumber:,29
Subaddress:,3
Serial number:,2082
Sensor unit name:,MY-HYPROP---
Firmware Version:,1.4
Scale Information,
Serial number:,144226084
Scale name:,HYPROP Balance
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,11*7*2018 2:35:33 PM
Stop,11*13*2018 7:12:35 AM
,
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.365252408114347
Dry soil weight [g]:,151.39
Additional Soil Paramters,
Density [g/cm3]:,1.53
Porosity [-]:,0.42
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,traditional constrained van Genuchten-Mualem model
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C],Gross weight [g],Net weight [g],Weight change [g]
11*7*2018 3:38:45 PM,8.34,12.81,18.23,780.17,187.17,-0.38
11*7*2018 3:39:52 PM,8.5,12.99,18.21,780.16,187.16,-0.39
11*7*2018 3:40:58 PM,8.74,13.15,18.19,780.15,187.15,-0.4
11*7*2018 3:51:18 PM,10.73,15,18.06,780.09,187.09,-0.46
11*7*2018 4:01:37 PM,12.84,16.78,17.96,780.03,187.03,-0.52
11*7*2018 4:11:57 PM,14.47,18.77,17.88,779.97,186.97,-0.58
11*7*2018 4:22:18 PM,16.1,20.58,17.81,779.91,186.91,-0.64
11*7*2018 4:32:39 PM,17.65,22.31,17.77,779.87,186.87,-0.68
11*7*2018 4:43:00 PM,19.34,23.96,17.73,779.8,186.8,-0.75
11*7*2018 4:53:21 PM,21.04,25.67,17.68,779.75,186.75,-0.8
11*7*2018 5:03:41 PM,23.7,27.19,17.62,779.7,186.7,-0.85
11*7*2018 5:14:02 PM,24.31,29.07,17.55,779.64,186.64,-0.91
11*7*2018 5:24:22 PM,24.93,30.18,17.47,779.58,186.58,-0.97
11*7*2018 5:34:41 PM,20.31,30.08,17.39,779.52,186.52,-1.03
11*7*2018 5:45:02 PM,20.41,29.78,17.32,779.47,186.47,-1.08
11*7*2018 5:55:22 PM,18.55,30.05,17.26,779.42,186.42,-1.13
11*7*2018 6:05:42 PM,23.25,30.72,17.19,779.37,186.37,-1.18
11*7*2018 6:16:03 PM,24.37,32.27,17.12,779.32,186.32,-1.23
11*7*2018 6:26:23 PM,25.38,32.86,17.06,779.26,186.26,-1.29
11*7*2018 6:36:43 PM,26.05,33.9,16.99,779.21,186.21,-1.34
11*7*2018 6:47:03 PM,27.93,35.26,16.93,779.15,186.15,-1.4
11*7*2018 6:57:24 PM,29.06,36.55,16.86,779.08,186.08,-1.47
11*7*2018 7:07:44 PM,30.34,37.69,16.81,779.02,186.02,-1.53
11*7*2018 7:18:06 PM,31.33,38.74,16.76,778.97,185.97,-1.58
11*7*2018 7:28:27 PM,32.41,39.76,16.73,778.92,185.92,-1.63
11*7*2018 7:38:47 PM,33.42,40.91,16.69,778.87,185.87,-1.68
11*7*2018 7:49:07 PM,34.77,41.99,16.65,778.82,185.82,-1.73
11*7*2018 7:59:28 PM,36,43.2,16.61,778.76,185.76,-1.79
11*7*2018 8:09:49 PM,36.82,44.24,16.57,778.71,185.71,-1.84
11*7*2018 8:20:09 PM,38.01,45.44,16.53,778.66,185.66,-1.89
11*7*2018 8:30:30 PM,39.29,46.67,16.49,778.61,185.61,-1.94
11*7*2018 8:40:49 PM,40.51,47.83,16.45,778.55,185.55,-2
11*7*2018 8:51:10 PM,41.27,48.93,16.42,778.51,185.51,-2.04
11*7*2018 9:01:29 PM,42.56,50.04,16.39,778.45,185.45,-2.1
11*7*2018 9:11:50 PM,43.43,50.98,16.36,778.41,185.41,-2.14
11*7*2018 9:22:10 PM,44.1,52.03,16.33,778.35,185.35,-2.2
11*7*2018 9:32:32 PM,45.2,52.92,16.31,778.3,185.3,-2.25
11*7*2018 9:42:53 PM,46.22,54.73,16.28,778.26,185.26,-2.29
11*7*2018 9:53:12 PM,47.14,55.27,16.26,778.2,185.2,-2.35
11*7*2018 10:03:33 PM,48.41,56.67,16.23,778.15,185.15,-2.4
11*7*2018 10:13:53 PM,49.68,57.54,16.2,778.1,185.1,-2.45
11*7*2018 10:24:14 PM,50.97,58.63,16.19,778.05,185.05,-2.5
11*7*2018 10:34:35 PM,52.15,59.82,16.17,778.01,185.01,-2.54
11*7*2018 10:44:56 PM,45.56,59.77,16.16,777.96,184.96,-2.59
11*7*2018 10:55:17 PM,49.2,58.57,16.13,777.9,184.9,-2.65
11*7*2018 11:05:38 PM,50,57.34,16.1,777.85,184.85,-2.7
11*7*2018 11:15:59 PM,52.34,60.39,16.07,777.8,184.8,-2.75
11*7*2018 11:26:20 PM,54.06,62.26,16.04,777.75,184.75,-2.8
11*7*2018 11:36:41 PM,55.59,63.77,16.01,777.7,184.7,-2.85
11*7*2018 11:47:02 PM,55.61,65.04,15.99,777.65,184.65,-2.9
11*7*2018 11:57:23 PM,57.37,66.03,15.97,777.61,184.61,-2.94
11*8*2018 12:07:44 AM,58.7,67.18,15.95,777.56,184.56,-2.99
11*8*2018 12:18:05 AM,59.34,67.68,15.93,777.51,184.51,-3.04
11*8*2018 12:28:26 AM,60.76,68.86,15.91,777.47,184.47,-3.08
11*8*2018 12:38:46 AM,61.89,70,15.9,777.42,184.42,-3.13
11*8*2018 12:49:06 AM,63.02,71.13,15.88,777.37,184.37,-3.18
11*8*2018 12:59:25 AM,63.95,71.9,15.86,777.32,184.32,-3.23
11*8*2018 1:09:46 AM,65.03,72.96,15.84,777.27,184.27,-3.28
11*8*2018 1:20:06 AM,66.15,74,15.83,777.22,184.22,-3.33
11*8*2018 1:30:24 AM,67.14,75.03,15.82,777.17,184.17,-3.38
11*8*2018 1:40:42 AM,68.02,75.94,15.81,777.13,184.13,-3.42
11*8*2018 1:50:57 AM,68.95,77.13,15.81,777.09,184.09,-3.46
11*8*2018 2:01:15 AM,69.43,78.07,15.8,777.04,184.04,-3.51
11*8*2018 2:11:16 AM,71.05,79.22,15.8,777,184,-3.55
11*8*2018 2:21:34 AM,72.05,80.33,15.79,776.95,183.95,-3.6
11*8*2018 2:31:51 AM,73.19,81.49,15.78,776.91,183.91,-3.64
11*8*2018 2:42:09 AM,74.11,82.79,15.78,776.86,183.86,-3.69
11*8*2018 2:52:27 AM,75.37,83.96,15.77,776.82,183.82,-3.73
11*8*2018 3:02:44 AM,76.17,85.11,15.77,776.77,183.77,-3.78
11*8*2018 3:12:49 AM,77.06,85.1,15.76,776.73,183.73,-3.82
11*8*2018 3:23:08 AM,77.83,85.75,15.76,776.69,183.69,-3.86
11*8*2018 3:33:25 AM,78.76,86.64,15.76,776.64,183.64,-3.91
11*8*2018 3:43:43 AM,79.44,87.22,15.76,776.6,183.6,-3.95
11*8*2018 3:54:02 AM,80.05,87.87,15.75,776.56,183.56,-3.99
11*8*2018 4:04:17 AM,80.88,88.02,15.74,776.51,183.51,-4.04
11*8*2018 4:14:36 AM,81.95,89.74,15.73,776.47,183.47,-4.08
11*8*2018 4:24:53 AM,82.91,90.62,15.72,776.42,183.42,-4.13
11*8*2018 4:35:12 AM,83.7,91.53,15.71,776.37,183.37,-4.18
11*8*2018 4:45:28 AM,84.53,92.42,15.71,776.33,183.33,-4.22
11*8*2018 4:55:45 AM,85.36,93.62,15.71,776.3,183.3,-4.25
11*8*2018 5:06:04 AM,86.56,94.86,15.7,776.25,183.25,-4.3
11*8*2018 5:16:22 AM,87.53,95.24,15.69,776.21,183.21,-4.34
11*8*2018 5:26:39 AM,88.68,97.33,15.68,776.16,183.16,-4.39
11*8*2018 5:36:57 AM,89.59,98.55,15.67,776.12,183.12,-4.43
11*8*2018 5:47:16 AM,90.76,99.9,15.66,776.07,183.07,-4.48
11*8*2018 5:57:34 AM,92,101.57,15.65,776.03,183.03,-4.52
11*8*2018 6:07:53 AM,93.16,102.89,15.63,775.98,182.98,-4.57
11*8*2018 6:18:13 AM,94.38,104.43,15.61,775.94,182.94,-4.61
11*8*2018 6:28:33 AM,95.56,105.85,15.6,775.89,182.89,-4.66
11*8*2018 6:38:52 AM,96.69,107.17,15.59,775.85,182.85,-4.7
11*8*2018 6:49:11 AM,97.96,108.63,15.57,775.8,182.8,-4.75
11*8*2018 6:59:31 AM,99.14,110.01,15.55,775.76,182.76,-4.79
11*8*2018 7:09:51 AM,100.31,111.55,15.53,775.72,182.72,-4.83
11*8*2018 7:20:11 AM,101.6,113.15,15.52,775.67,182.67,-4.88
11*8*2018 7:30:30 AM,103,114.9,15.5,775.63,182.63,-4.92
11*8*2018 7:40:50 AM,104.46,116.66,15.49,775.57,182.57,-4.98
11*8*2018 7:51:11 AM,104.42,118.4,15.47,775.53,182.53,-5.02
11*8*2018 8:01:31 AM,106.55,119.88,15.47,775.48,182.48,-5.07
11*8*2018 8:11:51 AM,108.07,120.47,15.47,775.44,182.44,-5.11
11*8*2018 8:22:11 AM,109.33,122.38,15.48,775.4,182.4,-5.15
11*8*2018 8:32:31 AM,110.48,124.12,15.48,775.35,182.35,-5.2
11*8*2018 8:42:51 AM,111.9,125.71,15.49,775.3,182.3,-5.25
11*8*2018 8:53:11 AM,113.31,127.3,15.5,775.26,182.26,-5.29
11*8*2018 9:03:32 AM,114.64,128.61,15.52,775.21,182.21,-5.34
11*8*2018 9:13:49 AM,116,130.88,15.53,775.16,182.16,-5.39
11*8*2018 9:24:09 AM,117.5,132.87,15.56,775.11,182.11,-5.44
11*8*2018 9:34:28 AM,118.76,134.76,15.61,775.05,182.05,-5.5
11*8*2018 9:44:48 AM,120.13,136.53,15.67,774.99,181.99,-5.56
11*8*2018 9:55:08 AM,121.18,138.24,15.74,774.96,181.96,-5.59
11*8*2018 10:05:27 AM,122.21,139.36,15.88,774.9,181.9,-5.65
11*8*2018 10:15:47 AM,123.21,140.61,16.13,774.84,181.84,-5.71
11*8*2018 10:26:06 AM,124.19,141.95,16.43,774.78,181.78,-5.77
11*8*2018 10:36:25 AM,125.02,143.31,16.79,774.72,181.72,-5.83
11*8*2018 10:46:45 AM,126.02,144.82,17.15,774.65,181.65,-5.9
11*8*2018 10:57:05 AM,127,146.36,17.56,774.58,181.58,-5.97
11*8*2018 11:07:25 AM,128.06,147.83,17.95,774.51,181.51,-6.04
11*8*2018 11:17:45 AM,129.51,149.67,18.36,774.44,181.44,-6.11
11*8*2018 11:28:06 AM,130.75,151.76,18.74,774.37,181.37,-6.18
11*8*2018 11:38:27 AM,132.08,153.92,19.09,774.3,181.3,-6.25
11*8*2018 11:48:47 AM,133.54,156.29,19.46,774.23,181.23,-6.32
11*8*2018 11:59:06 AM,135.2,158.8,19.77,774.17,181.17,-6.38
11*8*2018 12:09:24 PM,137,161.63,20.06,774.1,181.1,-6.45
11*8*2018 12:19:45 PM,138.89,164.62,20.32,774.03,181.03,-6.52
11*8*2018 12:30:05 PM,140.78,167.52,20.53,773.96,180.96,-6.59
11*8*2018 12:40:26 PM,142.75,170.33,20.72,773.89,180.89,-6.66
11*8*2018 12:50:46 PM,144.63,173.45,20.89,773.81,180.81,-6.74
11*8*2018 1:01:05 PM,146.65,176.82,21.06,773.74,180.74,-6.81
11*8*2018 1:11:27 PM,148.83,180.47,21.22,773.65,180.65,-6.9
11*8*2018 1:21:47 PM,149.44,184.23,21.38,773.57,180.57,-6.98
11*8*2018 1:32:08 PM,152.81,187.94,21.54,773.49,180.49,-7.06
11*8*2018 1:42:29 PM,155.21,191.55,21.69,773.41,180.41,-7.14
11*8*2018 1:52:48 PM,157.43,195.51,21.84,773.33,180.33,-7.22
11*8*2018 2:03:07 PM,159.45,199.39,21.97,773.25,180.25,-7.3
11*8*2018 2:13:27 PM,162,203.46,22.11,773.18,180.18,-7.37
11*8*2018 2:23:48 PM,164.39,207.74,22.23,773.09,180.09,-7.46
11*8*2018 2:34:08 PM,166.71,211.89,22.35,773.01,180.01,-7.54
11*8*2018 2:44:28 PM,168.82,212.85,22.47,772.95,179.95,-7.6
11*8*2018 2:54:48 PM,171.21,216.7,22.51,772.9,179.9,-7.65
11*8*2018 3:05:08 PM,174.02,220.4,22.46,772.86,179.86,-7.69
11*8*2018 3:15:28 PM,177.01,224.66,22.34,772.81,179.81,-7.74
11*8*2018 3:25:46 PM,179.93,228.73,22.19,772.76,179.76,-7.79
11*8*2018 3:36:06 PM,182.82,233.01,22.02,772.71,179.71,-7.84
11*8*2018 3:46:26 PM,184.25,236.95,21.86,772.66,179.66,-7.89
11*8*2018 3:56:46 PM,188.02,240.89,21.7,772.61,179.61,-7.94
11*8*2018 4:07:07 PM,190.49,245.03,21.53,772.56,179.56,-7.99
11*8*2018 4:17:27 PM,193.2,248.87,21.35,772.51,179.51,-8.04
11*8*2018 4:27:45 PM,196.1,252.09,21.16,772.46,179.46,-8.09
11*8*2018 4:38:05 PM,198.78,256.5,20.98,772.4,179.4,-8.15
11*8*2018 4:48:24 PM,201.58,260.62,20.77,772.35,179.35,-8.2
11*8*2018 4:58:43 PM,204.19,265.31,20.57,772.31,179.31,-8.24
11*8*2018 5:09:03 PM,206.87,269.47,20.35,772.26,179.26,-8.29
11*8*2018 5:19:22 PM,209.44,273.46,20.16,772.21,179.21,-8.34
11*8*2018 5:29:39 PM,211.88,277.74,19.95,772.15,179.15,-8.4
11*8*2018 5:39:59 PM,214.39,282.35,19.77,772.1,179.1,-8.45
11*8*2018 5:50:19 PM,216.78,287.08,19.6,772.05,179.05,-8.5
11*8*2018 6:00:38 PM,219.36,291.74,19.43,772.01,179.01,-8.54
11*8*2018 6:10:57 PM,221.71,296.21,19.27,771.95,178.95,-8.6
11*8*2018 6:21:17 PM,224.21,300.54,19.11,771.9,178.9,-8.65
11*8*2018 6:31:37 PM,226.57,304.74,18.97,771.85,178.85,-8.7
11*8*2018 6:41:56 PM,229.01,308.45,18.83,771.79,178.79,-8.76
11*8*2018 6:52:17 PM,231.29,313.01,18.69,771.74,178.74,-8.81
11*8*2018 7:02:38 PM,233.53,317.87,18.56,771.69,178.69,-8.86
11*8*2018 7:12:57 PM,235.65,322.24,18.45,771.63,178.63,-8.92
11*8*2018 7:23:17 PM,238.08,326.78,18.35,771.58,178.58,-8.97
11*8*2018 7:33:38 PM,240.53,331.37,18.25,771.53,178.53,-9.02
11*8*2018 7:43:58 PM,242.66,335.94,18.14,771.49,178.49,-9.06
11*8*2018 7:54:18 PM,245.08,340.73,18.04,771.44,178.44,-9.11
11*8*2018 8:04:38 PM,247.63,345.19,17.94,771.39,178.39,-9.16
11*8*2018 8:14:58 PM,249.91,349.8,17.85,771.34,178.34,-9.21
11*8*2018 8:25:19 PM,252.07,354.47,17.77,771.29,178.29,-9.26
11*8*2018 8:35:39 PM,254.11,358.97,17.69,771.25,178.25,-9.3
11*8*2018 8:45:59 PM,256.38,363.8,17.63,771.2,178.2,-9.35
11*8*2018 8:56:18 PM,258.54,368.46,17.56,771.15,178.15,-9.4
11*8*2018 9:06:35 PM,260.87,373.17,17.49,771.11,178.11,-9.44
11*8*2018 9:16:55 PM,263.26,377.53,17.42,771.06,178.06,-9.49
11*8*2018 9:27:13 PM,265.43,382.62,17.36,771.02,178.02,-9.53
11*8*2018 9:37:33 PM,267.58,387.47,17.29,770.97,177.97,-9.58
11*8*2018 9:47:54 PM,269.52,392.08,17.22,770.92,177.92,-9.63
11*8*2018 9:58:13 PM,271.56,397.18,17.16,770.88,177.88,-9.67
11*8*2018 10:08:33 PM,273.86,401.84,17.09,770.83,177.83,-9.72
11*8*2018 10:18:53 PM,276.1,406.72,17.03,770.79,177.79,-9.76
11*8*2018 10:29:13 PM,278.2,411.54,16.98,770.74,177.74,-9.81
11*8*2018 10:39:32 PM,280.55,416.34,16.93,770.69,177.69,-9.86
11*8*2018 10:49:49 PM,282.79,421.26,16.89,770.64,177.64,-9.91
11*8*2018 11:00:09 PM,285.05,426.19,16.84,770.59,177.59,-9.96
11*8*2018 11:10:27 PM,287.38,430.68,16.8,770.55,177.55,-10
11*8*2018 11:20:47 PM,289.69,435.78,16.75,770.51,177.51,-10.04
11*8*2018 11:31:07 PM,291.99,440.47,16.71,770.46,177.46,-10.09
11*8*2018 11:41:25 PM,294.15,446.08,16.66,770.42,177.42,-10.13
11*8*2018 11:51:45 PM,296.56,450.9,16.61,770.37,177.37,-10.18
11*9*2018 12:02:05 AM,297.95,455.83,16.56,770.32,177.32,-10.23
11*9*2018 12:12:25 AM,300.63,461.03,16.5,770.28,177.28,-10.27
11*9*2018 12:22:45 AM,302.99,466.15,16.46,770.23,177.23,-10.32
11*9*2018 12:33:04 AM,305.3,471.46,16.42,770.19,177.19,-10.36
11*9*2018 12:43:24 AM,307.61,476.55,16.37,770.14,177.14,-10.41
11*9*2018 12:53:45 AM,309.8,481.98,16.33,770.1,177.1,-10.45
11*9*2018 1:04:06 AM,312.05,487.37,16.29,770.05,177.05,-10.5
11*9*2018 1:14:25 AM,314.21,492.55,16.25,770.01,177.01,-10.54
11*9*2018 1:24:44 AM,316.57,497.96,16.2,769.96,176.96,-10.59
11*9*2018 1:34:47 AM,318.53,502.73,16.16,769.92,176.92,-10.63
11*9*2018 1:44:48 AM,320.31,508.46,16.12,769.87,176.87,-10.68
11*9*2018 1:55:10 AM,322.47,514.43,16.09,769.83,176.83,-10.72
11*9*2018 2:05:30 AM,324.82,519.99,16.06,769.79,176.79,-10.76
11*9*2018 2:15:36 AM,327.05,525.67,16.03,769.75,176.75,-10.8
11*9*2018 2:25:37 AM,329.26,530.74,16.01,769.71,176.71,-10.84
11*9*2018 2:35:44 AM,331.57,536.26,15.98,769.67,176.67,-10.88
11*9*2018 2:45:59 AM,333.81,541.43,15.96,769.63,176.63,-10.92
11*9*2018 2:56:16 AM,335.96,546.76,15.93,769.58,176.58,-10.97
11*9*2018 3:06:34 AM,338.13,552.91,15.9,769.54,176.54,-11.01
11*9*2018 3:16:53 AM,340.25,558.58,15.88,769.49,176.49,-11.06
11*9*2018 3:27:09 AM,342.09,564.25,15.85,769.46,176.46,-11.09
11*9*2018 3:37:27 AM,344.48,569.94,15.82,769.42,176.42,-11.13
11*9*2018 3:47:45 AM,346.99,575.84,15.79,769.37,176.37,-11.18
11*9*2018 3:58:01 AM,349.13,581.41,15.75,769.34,176.34,-11.21
11*9*2018 4:08:20 AM,351.63,587.19,15.72,769.29,176.29,-11.26
11*9*2018 4:18:36 AM,353.86,592.68,15.68,769.25,176.25,-11.3
11*9*2018 4:28:55 AM,356.03,598.33,15.64,769.21,176.21,-11.34
11*9*2018 4:39:16 AM,358.07,604.93,15.61,769.17,176.17,-11.38
11*9*2018 4:49:34 AM,359.69,610.99,15.59,769.13,176.13,-11.42
11*9*2018 4:59:52 AM,361.23,616.89,15.56,769.09,176.09,-11.46
11*9*2018 5:10:12 AM,363.69,622.75,15.54,769.05,176.05,-11.5
11*9*2018 5:20:33 AM,365.99,629.21,15.51,769.01,176.01,-11.54
11*9*2018 5:30:52 AM,368.28,634.81,15.49,768.97,175.97,-11.58
11*9*2018 5:41:12 AM,370.54,640.91,15.47,768.92,175.92,-11.63
11*9*2018 5:51:33 AM,372.82,645.88,15.44,768.88,175.88,-11.67
11*9*2018 6:01:53 AM,374.87,651.64,15.41,768.84,175.84,-11.71
11*9*2018 6:12:13 AM,377.14,658.22,15.39,768.79,175.79,-11.76
11*9*2018 6:22:33 AM,379.41,665.1,15.37,768.75,175.75,-11.8
11*9*2018 6:32:53 AM,381.72,671.08,15.35,768.71,175.71,-11.84
11*9*2018 6:43:12 AM,383.96,677.4,15.33,768.67,175.67,-11.88
11*9*2018 6:53:32 AM,386.08,683.48,15.31,768.63,175.63,-11.92
11*9*2018 7:03:52 AM,388.41,690.04,15.28,768.6,175.6,-11.95
11*9*2018 7:14:13 AM,390.8,696.59,15.25,768.56,175.56,-11.99
11*9*2018 7:24:33 AM,393.14,702.36,15.23,768.52,175.52,-12.03
11*9*2018 7:34:50 AM,395.33,708.53,15.2,768.47,175.47,-12.08
11*9*2018 7:45:10 AM,397.54,715.13,15.18,768.43,175.43,-12.12
11*9*2018 7:55:30 AM,399.56,722.25,15.16,768.39,175.39,-12.16
11*9*2018 8:05:49 AM,401.74,729.25,15.15,768.35,175.35,-12.2
11*9*2018 8:16:07 AM,403.93,736.29,15.15,768.32,175.32,-12.23
11*9*2018 8:26:27 AM,406.1,742.97,15.15,768.28,175.28,-12.27
11*9*2018 8:36:47 AM,408.27,751.49,15.16,768.26,175.26,-12.29
