Parameter Name,Value
General Information,
Sample name:,
Start of measurement:,11*7*2018 2:35:33 PM
Stop of measurement:,11*13*2018 7:12:35 AM
Duration of Measurements:,5 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5.1
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,388
Empty soil sampling ring weight [g]:,205
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.15
Scale [g]:,0.05
Sensor Unit Information,
Busnumber:,29
Subaddress:,3
Serial number:,2082
Sensor unit name:,MY-HYPROP---
Firmware Version:,1.4
Scale Information,
Serial number:,144226084
Scale name:,HYPROP Balance
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,11*7*2018 2:35:33 PM
Stop,11*13*2018 7:12:35 AM
,
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.365252408114347
Dry soil weight [g]:,151.39
Additional Soil Paramters,
Density [g/cm3]:,1.53
Porosity [-]:,0.42
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,traditional constrained van Genuchten-Mualem model
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C],Gross weight [g],Net weight [g],Weight change [g]
11*7*2018 2:35:33 PM,3.57,13.58,18.72,780.55,187.55,0
11*7*2018 2:36:39 PM,3.4,12.42,18.73,780.58,187.58,0.03
11*7*2018 2:37:46 PM,3.23,11.51,18.73,780.57,187.57,0.02
11*7*2018 2:38:52 PM,3.12,10.73,18.73,780.57,187.57,0.02
11*7*2018 2:39:59 PM,3.02,10.21,18.72,780.56,187.56,0.01
11*7*2018 2:41:05 PM,2.95,9.76,18.72,780.55,187.55,0
11*7*2018 2:42:12 PM,2.83,9.49,18.71,780.54,187.54,-0.01
11*7*2018 2:43:18 PM,2.85,9.12,18.71,780.54,187.54,-0.01
11*7*2018 2:44:25 PM,2.83,8.84,18.7,780.51,187.51,-0.04
11*7*2018 2:45:32 PM,2.81,8.67,18.69,780.48,187.48,-0.07
11*7*2018 2:46:38 PM,2.83,8.46,18.69,780.48,187.48,-0.07
11*7*2018 2:47:45 PM,2.81,8.33,18.68,780.47,187.47,-0.08
11*7*2018 2:48:51 PM,2.84,8.22,18.68,780.46,187.46,-0.09
11*7*2018 2:49:58 PM,2.85,8.14,18.67,780.46,187.46,-0.09
11*7*2018 2:51:04 PM,2.89,8.21,18.67,780.45,187.45,-0.1
11*7*2018 2:52:11 PM,3.09,8.17,18.66,780.45,187.45,-0.1
11*7*2018 2:53:17 PM,3.16,8.19,18.65,780.44,187.44,-0.11
11*7*2018 2:54:24 PM,3.16,8.2,18.65,780.43,187.43,-0.12
11*7*2018 2:55:30 PM,3.18,8.27,18.64,780.43,187.43,-0.12
11*7*2018 2:56:37 PM,3.29,8.32,18.63,780.42,187.42,-0.13
11*7*2018 2:57:44 PM,3.36,8.37,18.63,780.42,187.42,-0.13
11*7*2018 2:58:50 PM,3.48,8.41,18.62,780.41,187.41,-0.14
11*7*2018 2:59:57 PM,2.73,8.52,18.61,780.41,187.41,-0.14
11*7*2018 3:01:03 PM,4.37,8.39,18.61,780.4,187.4,-0.15
11*7*2018 3:02:10 PM,4.35,8.58,18.6,780.39,187.39,-0.16
11*7*2018 3:03:16 PM,4.05,8.56,18.59,780.39,187.39,-0.16
11*7*2018 3:04:23 PM,3.79,8.82,18.59,780.38,187.38,-0.17
11*7*2018 3:05:29 PM,3.99,8.91,18.58,780.38,187.38,-0.17
11*7*2018 3:06:36 PM,4.11,9,18.57,780.37,187.37,-0.18
11*7*2018 3:07:42 PM,4.22,9.13,18.56,780.37,187.37,-0.18
11*7*2018 3:08:49 PM,4.32,9.27,18.55,780.36,187.36,-0.19
11*7*2018 3:09:56 PM,4.47,9.3,18.54,780.36,187.36,-0.19
11*7*2018 3:11:02 PM,4.51,9.48,18.53,780.35,187.35,-0.2
11*7*2018 3:12:09 PM,4.65,9.59,18.52,780.34,187.34,-0.21
11*7*2018 3:13:16 PM,4.77,9.69,18.51,780.34,187.34,-0.21
11*7*2018 3:14:22 PM,4.93,9.81,18.5,780.33,187.33,-0.22
11*7*2018 3:15:28 PM,5.05,9.94,18.49,780.32,187.32,-0.23
11*7*2018 3:16:34 PM,5.17,10.06,18.48,780.32,187.32,-0.23
11*7*2018 3:17:41 PM,5.3,10.18,18.47,780.31,187.31,-0.24
11*7*2018 3:18:47 PM,5.49,10.25,18.46,780.3,187.3,-0.25
11*7*2018 3:19:54 PM,5.62,10.37,18.45,780.3,187.3,-0.25
11*7*2018 3:21:01 PM,5.75,10.51,18.43,780.29,187.29,-0.26
11*7*2018 3:22:07 PM,5.83,10.67,18.42,780.28,187.28,-0.27
11*7*2018 3:23:14 PM,5.99,10.76,18.41,780.27,187.27,-0.28
11*7*2018 3:24:20 PM,6.12,10.89,18.4,780.27,187.27,-0.28
11*7*2018 3:25:26 PM,6.26,11.01,18.39,780.26,187.26,-0.29
11*7*2018 3:26:33 PM,6.38,11.13,18.38,780.25,187.25,-0.3
11*7*2018 3:27:40 PM,6.56,11.29,18.36,780.25,187.25,-0.3
11*7*2018 3:28:46 PM,6.73,11.43,18.35,780.24,187.24,-0.31
11*7*2018 3:29:53 PM,6.86,11.6,18.33,780.23,187.23,-0.32
11*7*2018 3:31:00 PM,7.03,11.75,18.32,780.23,187.23,-0.32
11*7*2018 3:32:06 PM,7.21,11.87,18.31,780.22,187.22,-0.33
11*7*2018 3:33:13 PM,7.4,12,18.29,780.21,187.21,-0.34
11*7*2018 3:34:19 PM,7.58,12.15,18.28,780.2,187.2,-0.35
11*7*2018 3:35:26 PM,7.72,12.32,18.27,780.19,187.19,-0.36
11*7*2018 3:36:32 PM,7.95,12.44,18.25,780.19,187.19,-0.36
11*7*2018 3:37:39 PM,8.12,12.66,18.24,780.18,187.18,-0.37
