Parameter Name,Value
General Information,
Sample name:,
Start of measurement:,11*16*2018 3:01:25 PM
Stop of measurement:,11*21*2018 1:41:29 PM
Duration of Measurements:,4 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5.1
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,388
Empty soil sampling ring weight [g]:,204.6
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.15
Scale [g]:,0.05
Sensor Unit Information,
Busnumber:,29
Subaddress:,3
Serial number:,2082
Sensor unit name:,MY-HYPROP---
Firmware Version:,1.4
Scale Information,
Serial number:,184226046
Scale name:,HYPROP Balance
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,11*16*2018 3:01:25 PM
Stop,11*20*2018 1:46:54 PM
,
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.495050295434817
Dry soil weight [g]:,116
Additional Soil Paramters,
Density [g/cm3]:,1.17
Porosity [-]:,0.56
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,traditional constrained van Genuchten-Mualem model
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C],Gross weight [g],Net weight [g],Weight change [g]
11*16*2018 8:19:50 PM,2.82,5.79,16.61,755.23,162.63,-2.38
11*16*2018 8:30:06 PM,3.45,6.38,16.51,755.16,162.56,-2.45
11*16*2018 8:40:20 PM,3.8,6.77,16.42,755.09,162.49,-2.52
11*16*2018 8:50:35 PM,3.36,6.29,16.35,755.04,162.44,-2.57
11*16*2018 9:00:51 PM,4.36,7.33,16.29,754.97,162.37,-2.64
11*16*2018 9:11:08 PM,4.82,7.75,16.23,754.9,162.3,-2.71
11*16*2018 9:21:09 PM,5.04,7.96,16.17,754.84,162.24,-2.77
11*16*2018 9:31:27 PM,5.14,8.03,16.11,754.78,162.18,-2.83
11*16*2018 9:41:45 PM,4.5,7.47,16.04,754.71,162.11,-2.9
11*16*2018 9:52:02 PM,5.35,8.28,15.97,754.65,162.05,-2.96
11*16*2018 10:02:19 PM,5.38,8.31,15.91,754.59,161.99,-3.02
11*16*2018 10:12:36 PM,6.05,8.97,15.87,754.52,161.92,-3.09
11*16*2018 10:22:53 PM,6.42,9.38,15.81,754.45,161.85,-3.16
11*16*2018 10:33:09 PM,6.81,9.71,15.76,754.38,161.78,-3.23
11*16*2018 10:43:23 PM,7.06,9.97,15.69,754.32,161.72,-3.29
11*16*2018 10:53:40 PM,7.09,10.04,15.62,754.26,161.66,-3.35
11*16*2018 11:03:51 PM,7.13,9.99,15.53,754.2,161.6,-3.41
11*16*2018 11:13:53 PM,6.43,9.36,15.45,754.14,161.54,-3.47
11*16*2018 11:24:09 PM,7.41,10.34,15.39,754.09,161.49,-3.52
11*16*2018 11:34:24 PM,7.88,10.79,15.33,754.02,161.42,-3.59
11*16*2018 11:44:42 PM,8.12,11.05,15.28,753.95,161.35,-3.66
11*16*2018 11:54:59 PM,8.43,11.31,15.22,753.88,161.28,-3.73
11*17*2018 12:05:16 AM,8.49,11.42,15.17,753.83,161.23,-3.78
11*17*2018 12:15:28 AM,7.38,10.62,15.11,753.78,161.18,-3.83
11*17*2018 12:25:32 AM,8.03,10.94,15.06,753.71,161.11,-3.9
11*17*2018 12:35:49 AM,8.86,11.81,15.02,753.65,161.05,-3.96
11*17*2018 12:46:05 AM,9.32,12.28,14.98,753.59,160.99,-4.02
11*17*2018 12:56:18 AM,9.31,12.23,14.95,753.54,160.94,-4.07
11*17*2018 1:06:34 AM,8.43,11.39,14.94,753.48,160.88,-4.13
11*17*2018 1:16:38 AM,9.49,12.46,14.92,753.42,160.82,-4.19
11*17*2018 1:26:46 AM,9.89,12.82,14.9,753.36,160.76,-4.25
11*17*2018 1:37:02 AM,9.8,12.75,14.88,753.3,160.7,-4.31
11*17*2018 1:47:07 AM,9.12,12.05,14.86,753.23,160.63,-4.38
11*17*2018 1:57:11 AM,9.89,12.86,14.84,753.17,160.57,-4.44
11*17*2018 2:07:18 AM,10.33,13.3,14.81,753.1,160.5,-4.51
11*17*2018 2:17:27 AM,10.6,13.53,14.8,753.06,160.46,-4.55
11*17*2018 2:27:39 AM,10.22,13.13,14.8,753,160.4,-4.61
11*17*2018 2:37:57 AM,10.86,13.82,14.79,752.94,160.34,-4.67
11*17*2018 2:48:01 AM,11.06,14.04,14.77,752.88,160.28,-4.73
11*17*2018 2:58:06 AM,10.74,13.68,14.75,752.81,160.21,-4.8
11*17*2018 3:08:08 AM,11.37,14.29,14.73,752.75,160.15,-4.86
11*17*2018 3:18:15 AM,11.19,14.15,14.71,752.69,160.09,-4.92
11*17*2018 3:28:19 AM,11.81,14.71,14.69,752.63,160.03,-4.98
11*17*2018 3:38:27 AM,12.02,14.96,14.68,752.58,159.98,-5.03
11*17*2018 3:48:28 AM,12.2,15.18,14.66,752.51,159.91,-5.1
11*17*2018 3:58:37 AM,12.43,15.39,14.64,752.46,159.86,-5.15
11*17*2018 4:08:42 AM,12.67,15.56,14.62,752.41,159.81,-5.2
11*17*2018 4:18:45 AM,12.71,15.63,14.61,752.34,159.74,-5.27
11*17*2018 4:28:47 AM,12.99,15.9,14.59,752.29,159.69,-5.32
11*17*2018 4:38:50 AM,13.18,16.08,14.57,752.23,159.63,-5.38
11*17*2018 4:48:52 AM,13.34,16.26,14.54,752.17,159.57,-5.44
11*17*2018 4:59:11 AM,13.58,16.5,14.51,752.1,159.5,-5.51
11*17*2018 5:09:28 AM,13.63,16.62,14.5,752.04,159.44,-5.57
11*17*2018 5:19:28 AM,13.88,16.83,14.49,751.98,159.38,-5.63
11*17*2018 5:29:47 AM,14.14,17.07,14.47,751.92,159.32,-5.69
