Parameter Name,Value
General Information,
Sample name:,
Start of measurement:,10*5*2018 3:30:49 PM
Stop of measurement:,10*10*2018 11:55:53 AM
Duration of Measurements:,4 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5.1
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,375
Empty soil sampling ring weight [g]:,208.6
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.15
Scale [g]:,0.05
Sensor Unit Information,
Busnumber:,1
Subaddress:,1
Serial number:,1640
Sensor unit name:,MY-HYPROP---
Firmware Version:,1.4
Scale Information,
Serial number:,144226084
Scale name:,HYPROP Balance
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,10*5*2018 3:30:49 PM
Stop,10*7*2018 6:04:41 PM
,
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.466464495418048
Dry soil weight [g]:,125.9
Additional Soil Paramters,
Density [g/cm3]:,1.27
Porosity [-]:,0.52
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,traditional constrained van Genuchten-Mualem model
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C],Gross weight [g],Net weight [g],Weight change [g]
10*5*2018 3:30:49 PM,-2.25,-0.84,18.02,755.68,172.08,0
10*5*2018 3:31:49 PM,-1.61,0.53,18.06,755.66,172.06,-0.02
10*5*2018 3:32:50 PM,-1.34,1.08,18.09,755.64,172.04,-0.04
10*5*2018 3:33:53 PM,-1.2,1.45,18.13,755.61,172.01,-0.07
10*5*2018 3:34:56 PM,-1.11,1.61,18.15,755.6,172,-0.08
10*5*2018 3:36:01 PM,-1.04,1.66,18.18,755.59,171.99,-0.09
10*5*2018 3:37:02 PM,-1,1.71,18.2,755.57,171.97,-0.11
10*5*2018 3:38:03 PM,-0.99,1.71,18.21,755.56,171.96,-0.12
10*5*2018 3:39:05 PM,-0.98,1.75,18.22,755.55,171.95,-0.13
10*5*2018 3:40:06 PM,-0.96,1.74,18.23,755.54,171.94,-0.14
10*5*2018 3:41:11 PM,-0.94,1.78,18.24,755.53,171.93,-0.15
10*5*2018 3:42:15 PM,-0.91,1.78,18.25,755.52,171.92,-0.16
10*5*2018 3:43:17 PM,-0.92,1.77,18.25,755.51,171.91,-0.17
10*5*2018 3:44:18 PM,-0.91,1.77,18.25,755.5,171.9,-0.18
10*5*2018 3:45:23 PM,-0.91,1.73,18.26,755.49,171.89,-0.19
10*5*2018 3:46:24 PM,-0.88,1.76,18.26,755.48,171.88,-0.2
10*5*2018 3:47:29 PM,-0.89,1.77,18.26,755.47,171.87,-0.21
10*5*2018 3:48:30 PM,-0.9,1.78,18.27,755.47,171.87,-0.21
10*5*2018 3:49:33 PM,-0.88,1.84,18.27,755.46,171.86,-0.22
10*5*2018 3:50:33 PM,-0.84,1.81,18.28,755.45,171.85,-0.23
10*5*2018 3:51:37 PM,-0.82,1.8,18.28,755.44,171.84,-0.24
10*5*2018 3:52:39 PM,-0.81,1.84,18.28,755.43,171.83,-0.25
10*5*2018 3:53:43 PM,-0.81,1.84,18.29,755.43,171.83,-0.25
10*5*2018 3:54:43 PM,-0.8,1.84,18.3,755.42,171.82,-0.26
10*5*2018 3:55:48 PM,-0.79,1.83,18.3,755.41,171.81,-0.27
10*5*2018 3:56:50 PM,-0.76,1.83,18.31,755.4,171.8,-0.28
10*5*2018 3:57:50 PM,-0.78,1.87,18.32,755.4,171.8,-0.28
10*5*2018 3:58:54 PM,-0.71,1.86,18.32,755.39,171.79,-0.29
10*5*2018 3:59:57 PM,-0.71,1.93,18.33,755.38,171.78,-0.3
10*5*2018 4:00:59 PM,-0.69,1.92,18.34,755.37,171.77,-0.31
10*5*2018 4:02:03 PM,-0.67,1.95,18.34,755.37,171.77,-0.31
10*5*2018 4:03:06 PM,-0.68,1.97,18.35,755.36,171.76,-0.32
