Parameter Name,Value
General Information,
Sample name:,
Start of measurement:,10*4*2018 2:55:20 PM
Stop of measurement:,10*7*2018 6:14:07 PM
Duration of Measurements:,3 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5.1
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,388
Empty soil sampling ring weight [g]:,208.6
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.15
Scale [g]:,0.05
Sensor Unit Information,
Busnumber:,29
Subaddress:,3
Serial number:,2082
Sensor unit name:,MY-HYPROP---
Firmware Version:,1.4
Scale Information,
Serial number:,184226046
Scale name:,HYPROP Balance
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,10*4*2018 2:55:20 PM
Stop,10*7*2018 6:04:04 PM
,
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.570302943990688
Dry soil weight [g]:,101.5
Additional Soil Paramters,
Density [g/cm3]:,1.03
Porosity [-]:,0.61
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,traditional constrained van Genuchten-Mualem model
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C],Gross weight [g],Net weight [g],Weight change [g]
10*4*2018 3:33:32 PM,-0.77,2.64,20.36,754.25,157.65,-0.31
10*4*2018 3:34:48 PM,-0.71,2.69,20.34,754.24,157.64,-0.32
10*4*2018 3:36:04 PM,-0.75,2.73,20.33,754.24,157.64,-0.32
10*4*2018 3:37:19 PM,-0.7,2.82,20.31,754.23,157.63,-0.33
10*4*2018 3:38:34 PM,-0.72,2.74,20.3,754.22,157.62,-0.34
10*4*2018 3:39:49 PM,-0.7,2.76,20.29,754.22,157.62,-0.34
10*4*2018 3:41:04 PM,-0.64,2.88,20.28,754.21,157.61,-0.35
10*4*2018 3:42:19 PM,-0.55,2.89,20.27,754.2,157.6,-0.36
10*4*2018 3:43:34 PM,-0.52,2.89,20.26,754.2,157.6,-0.36
10*4*2018 3:44:51 PM,-0.48,2.95,20.25,754.19,157.59,-0.37
10*4*2018 3:46:06 PM,-0.45,3.02,20.24,754.18,157.58,-0.38
10*4*2018 3:47:17 PM,-0.56,2.85,20.24,754.18,157.58,-0.38
10*4*2018 3:48:29 PM,-0.56,2.92,20.23,754.17,157.57,-0.39
10*4*2018 3:49:43 PM,-0.47,3.05,20.22,754.16,157.56,-0.4
10*4*2018 3:50:53 PM,-0.41,3.13,20.22,754.16,157.56,-0.4
10*4*2018 3:52:08 PM,-0.28,3.17,20.21,754.15,157.55,-0.41
10*4*2018 3:53:20 PM,-0.26,3.25,20.2,754.14,157.54,-0.42
10*4*2018 3:54:33 PM,-0.21,3.31,20.19,754.14,157.54,-0.42
10*4*2018 3:55:45 PM,-0.12,3.36,20.19,754.13,157.53,-0.43
10*4*2018 3:56:56 PM,-0.07,3.41,20.18,754.13,157.53,-0.43
10*4*2018 3:58:07 PM,0,3.47,20.18,754.12,157.52,-0.44
