Parameter Name,Value
General Information,
Sample name:,
Start of measurement:,10*4*2018 2:55:20 PM
Stop of measurement:,10*7*2018 6:14:07 PM
Duration of Measurements:,3 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5.1
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,388
Empty soil sampling ring weight [g]:,208.6
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.15
Scale [g]:,0.05
Sensor Unit Information,
Busnumber:,29
Subaddress:,3
Serial number:,2082
Sensor unit name:,MY-HYPROP---
Firmware Version:,1.4
Scale Information,
Serial number:,184226046
Scale name:,HYPROP Balance
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,10*4*2018 2:55:20 PM
Stop,10*7*2018 6:04:04 PM
,
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.570302943990688
Dry soil weight [g]:,101.5
Additional Soil Paramters,
Density [g/cm3]:,1.03
Porosity [-]:,0.61
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,traditional constrained van Genuchten-Mualem model
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C],Gross weight [g],Net weight [g],Weight change [g]
10*5*2018 5:20:26 PM,59.68,63.41,19.27,746.84,150.24,-7.72
10*5*2018 5:30:29 PM,60.47,64.25,19.23,746.79,150.19,-7.77
10*5*2018 5:40:29 PM,61.36,65.14,19.17,746.74,150.14,-7.82
10*5*2018 5:50:31 PM,62.32,66.18,19.1,746.7,150.1,-7.86
10*5*2018 6:00:36 PM,63.1,66.9,19.03,746.66,150.06,-7.9
10*5*2018 6:10:42 PM,63.81,67.71,18.96,746.61,150.01,-7.95
10*5*2018 6:20:43 PM,65.01,69.02,18.9,746.55,149.95,-8.01
10*5*2018 6:30:48 PM,66.11,70.13,18.81,746.5,149.9,-8.06
10*5*2018 6:40:49 PM,67.13,71.26,18.71,746.45,149.85,-8.11
10*5*2018 6:50:51 PM,68.24,72.33,18.6,746.4,149.8,-8.16
10*5*2018 7:00:55 PM,69.23,73.35,18.5,746.36,149.76,-8.2
10*5*2018 7:11:00 PM,70.28,74.65,18.4,746.31,149.71,-8.25
10*5*2018 7:21:02 PM,71.45,75.7,18.3,746.25,149.65,-8.31
10*5*2018 7:31:07 PM,72.48,76.65,18.21,746.2,149.6,-8.36
10*5*2018 7:41:10 PM,73.5,77.83,18.11,746.15,149.55,-8.41
10*5*2018 7:51:14 PM,74.52,79.1,18.03,746.1,149.5,-8.46
10*5*2018 8:01:18 PM,75.78,80.27,17.95,746.05,149.45,-8.51
10*5*2018 8:11:25 PM,76.93,81.41,17.88,746,149.4,-8.56
10*5*2018 8:21:28 PM,78.02,82.61,17.82,745.96,149.36,-8.6
10*5*2018 8:31:32 PM,79.14,83.73,17.77,745.91,149.31,-8.65
10*5*2018 8:41:36 PM,80.25,84.95,17.72,745.86,149.26,-8.7
10*5*2018 8:51:38 PM,81.34,85.95,17.67,745.81,149.21,-8.75
10*5*2018 9:01:43 PM,82.35,87.08,17.63,745.76,149.16,-8.8
10*5*2018 9:11:47 PM,83.39,88.15,17.59,745.72,149.12,-8.84
10*5*2018 9:21:49 PM,84.55,89.46,17.55,745.68,149.08,-8.88
10*5*2018 9:31:53 PM,85.77,90.8,17.51,745.63,149.03,-8.93
10*5*2018 9:41:56 PM,87.01,92.11,17.48,745.59,148.99,-8.97
10*5*2018 9:51:56 PM,88.13,93.24,17.45,745.54,148.94,-9.02
10*5*2018 10:01:57 PM,89.29,94.53,17.43,745.49,148.89,-9.07
10*5*2018 10:12:00 PM,90.53,95.84,17.4,745.44,148.84,-9.12
10*5*2018 10:22:02 PM,91.75,97.14,17.38,745.4,148.8,-9.16
10*5*2018 10:32:05 PM,93.01,98.61,17.35,745.35,148.75,-9.21
10*5*2018 10:42:10 PM,94.37,99.96,17.32,745.31,148.71,-9.25
10*5*2018 10:52:12 PM,95.62,101.37,17.3,745.27,148.67,-9.29
10*5*2018 11:02:12 PM,96.94,102.8,17.28,745.22,148.62,-9.34
10*5*2018 11:12:15 PM,98.12,103.97,17.26,745.18,148.58,-9.38
10*5*2018 11:22:17 PM,99.32,105.13,17.25,745.13,148.53,-9.43
10*5*2018 11:32:19 PM,100.61,106.73,17.24,745.09,148.49,-9.47
10*5*2018 11:42:22 PM,102.04,108.34,17.22,745.05,148.45,-9.51
10*5*2018 11:52:26 PM,103.44,109.82,17.2,745,148.4,-9.56
10*6*2018 12:02:27 AM,104.8,111.46,17.18,744.96,148.36,-9.6
10*6*2018 12:12:29 AM,106.3,113.05,17.17,744.92,148.32,-9.64
10*6*2018 12:22:33 AM,107.76,114.62,17.15,744.87,148.27,-9.69
10*6*2018 12:32:36 AM,109.21,116.28,17.14,744.83,148.23,-9.73
10*6*2018 12:42:39 AM,110.67,117.84,17.13,744.78,148.18,-9.78
10*6*2018 12:52:45 AM,112.14,119.35,17.11,744.73,148.13,-9.83
10*6*2018 1:02:48 AM,113.49,120.77,17.11,744.69,148.09,-9.87
10*6*2018 1:12:52 AM,114.92,122.45,17.1,744.65,148.05,-9.91
10*6*2018 1:22:52 AM,116.57,124.46,17.09,744.6,148,-9.96
10*6*2018 1:32:56 AM,118.22,126.44,17.08,744.55,147.95,-10.01
10*6*2018 1:42:59 AM,119.92,128.41,17.06,744.51,147.91,-10.05
10*6*2018 1:53:05 AM,121.72,130.19,17.05,744.46,147.86,-10.1
10*6*2018 2:03:09 AM,123.29,132.09,17.03,744.42,147.82,-10.14
10*6*2018 2:13:11 AM,125.18,134.43,17.02,744.37,147.77,-10.19
10*6*2018 2:23:14 AM,127.02,136.52,17,744.32,147.72,-10.24
10*6*2018 2:33:16 AM,128.61,138.68,17,744.27,147.67,-10.29
10*6*2018 2:43:20 AM,130.68,140.72,16.99,744.22,147.62,-10.34
10*6*2018 2:53:20 AM,132.48,142.7,16.99,744.17,147.57,-10.39
10*6*2018 3:03:24 AM,134.39,144.99,16.99,744.12,147.52,-10.44
10*6*2018 3:13:25 AM,136.28,147.21,16.98,744.08,147.48,-10.48
10*6*2018 3:23:28 AM,138.26,149.6,16.97,744.03,147.43,-10.53
10*6*2018 3:33:32 AM,140.33,152.18,16.96,743.98,147.38,-10.58
10*6*2018 3:43:36 AM,142.49,154.59,16.96,743.94,147.34,-10.62
10*6*2018 3:53:39 AM,144.49,156.7,16.95,743.89,147.29,-10.67
10*6*2018 4:03:40 AM,146.48,159.07,16.95,743.85,147.25,-10.71
10*6*2018 4:13:43 AM,148.52,161.39,16.95,743.8,147.2,-10.76
10*6*2018 4:23:45 AM,150.51,163.56,16.95,743.76,147.16,-10.8
10*6*2018 4:33:48 AM,152.51,165.9,16.95,743.71,147.11,-10.85
10*6*2018 4:43:53 AM,154.57,168.67,16.95,743.67,147.07,-10.89
10*6*2018 4:53:56 AM,156.88,171.93,16.94,743.62,147.02,-10.94
10*6*2018 5:03:58 AM,159.35,174.89,16.93,743.58,146.98,-10.98
10*6*2018 5:14:00 AM,161.68,177.35,16.92,743.53,146.93,-11.03
10*6*2018 5:24:01 AM,163.89,179.59,16.92,743.48,146.88,-11.08
10*6*2018 5:34:06 AM,166.09,182.24,16.92,743.44,146.84,-11.12
10*6*2018 5:44:07 AM,168.36,185.08,16.92,743.4,146.8,-11.16
10*6*2018 5:54:08 AM,170.83,188.22,16.92,743.35,146.75,-11.21
10*6*2018 6:04:10 AM,173.44,191.92,16.91,743.3,146.7,-11.26
10*6*2018 6:14:11 AM,176.13,195.3,16.9,743.26,146.66,-11.3
10*6*2018 6:24:15 AM,178.71,198.09,16.89,743.21,146.61,-11.35
10*6*2018 6:34:16 AM,181.14,200.99,16.89,743.17,146.57,-11.39
10*6*2018 6:44:19 AM,183.75,204.16,16.89,743.13,146.53,-11.43
10*6*2018 6:54:21 AM,186.41,207.19,16.89,743.09,146.49,-11.47
10*6*2018 7:04:23 AM,188.97,210.28,16.88,743.04,146.44,-11.52
10*6*2018 7:14:28 AM,191.61,213.71,16.88,743,146.4,-11.56
10*6*2018 7:24:28 AM,194.4,217.76,16.87,742.95,146.35,-11.61
10*6*2018 7:34:33 AM,197.38,221.45,16.86,742.91,146.31,-11.65
10*6*2018 7:44:35 AM,200.16,224.38,16.86,742.86,146.26,-11.7
10*6*2018 7:54:39 AM,202.92,227.99,16.86,742.82,146.22,-11.74
10*6*2018 8:04:44 AM,205.82,231.35,16.86,742.78,146.18,-11.78
10*6*2018 8:14:48 AM,208.79,235.09,16.86,742.74,146.14,-11.82
10*6*2018 8:24:50 AM,211.75,238.84,16.85,742.7,146.1,-11.86
10*6*2018 8:34:54 AM,214.8,243.21,16.86,742.65,146.05,-11.91
10*6*2018 8:44:56 AM,217.99,247.47,16.86,742.61,146.01,-11.95
10*6*2018 8:54:58 AM,221.09,250.89,16.88,742.57,145.97,-11.99
10*6*2018 9:05:01 AM,224.06,254.4,16.91,742.53,145.93,-12.03
10*6*2018 9:15:04 AM,227.14,258.3,16.94,742.49,145.89,-12.07
10*6*2018 9:25:05 AM,230.16,261.91,16.97,742.45,145.85,-12.11
10*6*2018 9:35:09 AM,233.31,265.89,17.02,742.42,145.82,-12.14
10*6*2018 9:45:09 AM,236.53,269.91,17.07,742.38,145.78,-12.18
10*6*2018 9:55:14 AM,239.74,274.47,17.13,742.34,145.74,-12.22
10*6*2018 10:05:19 AM,243.07,279,17.2,742.29,145.69,-12.27
10*6*2018 10:15:20 AM,246.53,283.83,17.29,742.25,145.65,-12.31
10*6*2018 10:25:21 AM,250.16,288.36,17.39,742.21,145.61,-12.35
10*6*2018 10:35:23 AM,253.78,292.51,17.49,742.16,145.56,-12.4
10*6*2018 10:45:26 AM,257.45,297.03,17.58,742.12,145.52,-12.44
10*6*2018 10:55:30 AM,261.17,301.6,17.66,742.08,145.48,-12.48
10*6*2018 11:05:32 AM,264.89,308.13,17.72,742.03,145.43,-12.53
10*6*2018 11:15:36 AM,268.82,312.51,17.8,741.99,145.39,-12.57
10*6*2018 11:25:39 AM,272.82,318.64,17.88,741.94,145.34,-12.62
10*6*2018 11:35:44 AM,277,323.48,17.95,741.9,145.3,-12.66
10*6*2018 11:45:45 AM,281.01,327.86,18.03,741.85,145.25,-12.71
10*6*2018 11:55:49 AM,285.12,333.24,18.11,741.81,145.21,-12.75
10*6*2018 12:05:53 PM,289.27,338.15,18.18,741.76,145.16,-12.8
10*6*2018 12:15:55 PM,293.49,344.02,18.26,741.72,145.12,-12.84
10*6*2018 12:26:00 PM,297.79,349.56,18.33,741.68,145.08,-12.88
10*6*2018 12:36:04 PM,302.23,355.55,18.4,741.63,145.03,-12.93
10*6*2018 12:46:07 PM,306.78,362.47,18.47,741.59,144.99,-12.97
10*6*2018 12:56:09 PM,311.52,368.37,18.53,741.54,144.94,-13.02
10*6*2018 1:06:11 PM,316.32,374.85,18.59,741.5,144.9,-13.06
10*6*2018 1:16:13 PM,321.13,381.38,18.66,741.45,144.85,-13.11
10*6*2018 1:26:14 PM,326.06,387.59,18.71,741.4,144.8,-13.16
10*6*2018 1:36:18 PM,330.98,394.28,18.77,741.36,144.76,-13.2
10*6*2018 1:46:18 PM,335.99,400.74,18.84,741.32,144.72,-13.24
10*6*2018 1:56:19 PM,341.31,407.86,18.89,741.27,144.67,-13.29
10*6*2018 2:06:24 PM,346.88,415.99,18.93,741.23,144.63,-13.33
10*6*2018 2:16:25 PM,352.52,423.72,18.96,741.19,144.59,-13.37
10*6*2018 2:26:31 PM,358.29,431.64,18.99,741.14,144.54,-13.42
10*6*2018 2:36:31 PM,363.87,439.56,19.04,741.1,144.5,-13.46
10*6*2018 2:46:35 PM,369.58,447.05,19.11,741.05,144.45,-13.51
10*6*2018 2:56:37 PM,375.45,455.22,19.17,741.01,144.41,-13.55
10*6*2018 3:06:40 PM,381.6,463.85,19.23,740.96,144.36,-13.6
10*6*2018 3:16:44 PM,387.78,471.45,19.27,740.92,144.32,-13.64
10*6*2018 3:26:48 PM,394.08,479.77,19.32,740.88,144.28,-13.68
10*6*2018 3:36:52 PM,400.18,487.92,19.38,740.83,144.23,-13.73
10*6*2018 3:46:52 PM,406.45,497,19.46,740.78,144.18,-13.78
10*6*2018 3:56:54 PM,413.09,506.19,19.52,740.74,144.14,-13.82
10*6*2018 4:06:57 PM,419.98,514.8,19.57,740.69,144.09,-13.87
10*6*2018 4:17:01 PM,427.07,524.15,19.58,740.65,144.05,-13.91
10*6*2018 4:27:04 PM,434.52,534.29,19.58,740.61,144.01,-13.95
10*6*2018 4:37:06 PM,442.17,544.64,19.57,740.56,143.96,-14
10*6*2018 4:47:08 PM,450,555.11,19.55,740.52,143.92,-14.04
10*6*2018 4:57:12 PM,457.96,565.68,19.53,740.47,143.87,-14.09
10*6*2018 5:07:16 PM,466.09,576.39,19.49,740.43,143.83,-14.13
10*6*2018 5:17:21 PM,474.39,586.71,19.45,740.39,143.79,-14.17
10*6*2018 5:27:25 PM,482.7,598.3,19.4,740.35,143.75,-14.21
10*6*2018 5:37:28 PM,491.15,612.47,19.35,740.3,143.7,-14.26
10*6*2018 5:47:30 PM,500.13,627.95,19.27,740.24,143.64,-14.32
10*6*2018 5:57:36 PM,509.49,643.17,19.17,740.2,143.6,-14.36
10*6*2018 6:07:40 PM,519.14,658.74,19.07,740.15,143.55,-14.41
10*6*2018 6:17:45 PM,528.93,674.72,18.96,740.11,143.51,-14.45
10*6*2018 6:27:46 PM,538.96,690.37,18.84,740.06,143.46,-14.5
10*6*2018 6:37:51 PM,548.89,695.9,18.73,740.02,143.42,-14.54
10*6*2018 6:47:54 PM,559.16,704.13,18.62,739.98,143.38,-14.58
10*6*2018 6:57:58 PM,569.5,715.69,18.53,739.93,143.33,-14.63
10*6*2018 7:08:00 PM,580.27,735.64,18.43,739.89,143.29,-14.67
10*6*2018 7:18:04 PM,591,751.07,18.34,739.85,143.25,-14.71
10*6*2018 7:28:06 PM,601.69,763.47,18.26,739.81,143.21,-14.75
10*6*2018 7:38:07 PM,612.36,771.45,18.19,739.77,143.17,-14.79
10*6*2018 7:48:07 PM,623.21,773.01,18.13,739.73,143.13,-14.83
10*6*2018 7:58:07 PM,634.03,778.56,18.07,739.69,143.09,-14.87
10*6*2018 8:08:11 PM,644.84,782.25,18.01,739.65,143.05,-14.91
10*6*2018 8:18:11 PM,655.94,795.13,17.96,739.61,143.01,-14.95
10*6*2018 8:28:15 PM,667.57,804.83,17.91,739.57,142.97,-14.99
10*6*2018 8:38:15 PM,679.74,805.14,17.87,739.53,142.93,-15.03
10*6*2018 8:48:17 PM,691.38,804.67,17.83,739.48,142.88,-15.08
10*6*2018 8:58:19 PM,703.05,803.47,17.8,739.45,142.85,-15.11
10*6*2018 9:08:24 PM,714.97,802.28,17.77,739.4,142.8,-15.16
10*6*2018 9:18:29 PM,727.23,801.52,17.74,739.36,142.76,-15.2
10*6*2018 9:28:32 PM,739.71,801.16,17.72,739.32,142.72,-15.24
10*6*2018 9:38:32 PM,752.57,800.99,17.69,739.29,142.69,-15.27
10*6*2018 9:48:37 PM,765.91,800.4,17.66,739.24,142.64,-15.32
10*6*2018 9:58:42 PM,779.36,799.07,17.64,739.2,142.6,-15.36
10*6*2018 10:08:44 PM,792.74,797.7,17.62,739.16,142.56,-15.4
10*6*2018 10:18:48 PM,806.35,792.25,17.6,739.12,142.52,-15.44
10*6*2018 10:28:53 PM,820.23,785.89,17.59,739.09,142.49,-15.47
10*6*2018 10:38:55 PM,833.91,778.95,17.57,739.05,142.45,-15.51
10*6*2018 10:48:58 PM,847.87,775.81,17.56,739.01,142.41,-15.55
10*6*2018 10:59:02 PM,862.84,772.24,17.54,738.96,142.36,-15.6
10*6*2018 11:09:02 PM,878.13,768.75,17.52,738.92,142.32,-15.64
10*6*2018 11:19:05 PM,893.63,768.11,17.5,738.88,142.28,-15.68
10*6*2018 11:29:10 PM,908.7,767.58,17.49,738.84,142.24,-15.72
10*6*2018 11:39:12 PM,924.04,767.07,17.48,738.8,142.2,-15.76
10*6*2018 11:49:17 PM,835,766.48,17.48,738.77,142.17,-15.79
10*6*2018 11:59:20 PM,853.18,766.14,17.46,738.73,142.13,-15.83
10*7*2018 12:09:22 AM,858.03,765.7,17.45,738.69,142.09,-15.87
10*7*2018 12:19:24 AM,859.94,765.27,17.44,738.65,142.05,-15.91
10*7*2018 12:29:26 AM,858.3,764.91,17.43,738.61,142.01,-15.95
10*7*2018 12:39:29 AM,856.54,764.39,17.42,738.57,141.97,-15.99
10*7*2018 12:49:31 AM,854.43,763.88,17.41,738.53,141.93,-16.03
10*7*2018 12:59:34 AM,851.77,763.48,17.41,738.5,141.9,-16.06
10*7*2018 1:09:38 AM,848.07,763.06,17.4,738.46,141.86,-16.1
10*7*2018 1:19:38 AM,843.96,762.61,17.39,738.42,141.82,-16.14
10*7*2018 1:29:40 AM,839.06,762.22,17.39,738.39,141.79,-16.17
10*7*2018 1:39:44 AM,833.99,761.92,17.37,738.35,141.75,-16.21
10*7*2018 1:49:46 AM,829.49,761.54,17.36,738.3,141.7,-16.26
10*7*2018 1:59:49 AM,824.69,761.03,17.36,738.26,141.66,-16.3
10*7*2018 2:09:53 AM,820.62,760.54,17.36,738.22,141.62,-16.34
10*7*2018 2:19:53 AM,816.84,760.18,17.35,738.18,141.58,-16.38
10*7*2018 2:29:57 AM,813.21,759.8,17.34,738.14,141.54,-16.42
10*7*2018 2:40:02 AM,809.7,759.34,17.34,738.1,141.5,-16.46
10*7*2018 2:50:06 AM,807.12,758.99,17.33,738.06,141.46,-16.5
10*7*2018 3:00:08 AM,803.49,758.58,17.33,738.03,141.43,-16.53
10*7*2018 3:10:13 AM,801.33,758.2,17.32,737.99,141.39,-16.57
10*7*2018 3:20:14 AM,798.45,757.9,17.31,737.94,141.34,-16.62
10*7*2018 3:30:18 AM,796.42,757.46,17.31,737.9,141.3,-16.66
10*7*2018 3:40:18 AM,792.94,757,17.31,737.87,141.27,-16.69
10*7*2018 3:50:18 AM,791.08,756.66,17.31,737.83,141.23,-16.73
10*7*2018 4:00:22 AM,789.45,756.38,17.31,737.79,141.19,-16.77
10*7*2018 4:10:28 AM,787.83,756.21,17.3,737.74,141.14,-16.82
10*7*2018 4:20:28 AM,784.57,756.2,17.29,737.71,141.11,-16.85
10*7*2018 4:30:30 AM,782.98,756.03,17.28,737.67,141.07,-16.89
10*7*2018 4:40:33 AM,781.51,755.77,17.27,737.62,141.02,-16.94
10*7*2018 4:50:35 AM,780.21,755.53,17.28,737.58,140.98,-16.98
10*7*2018 5:00:36 AM,778.9,755.27,17.28,737.55,140.95,-17.01
10*7*2018 5:10:41 AM,777.69,755.11,17.28,737.51,140.91,-17.05
10*7*2018 5:20:46 AM,774.66,755.04,17.27,737.47,140.87,-17.09
10*7*2018 5:30:47 AM,773.45,754.88,17.26,737.43,140.83,-17.13
10*7*2018 5:40:48 AM,772.37,754.88,17.25,737.39,140.79,-17.17
10*7*2018 5:50:51 AM,771.31,754.84,17.25,737.35,140.75,-17.21
10*7*2018 6:00:54 AM,770.2,754.74,17.25,737.31,140.71,-17.25
10*7*2018 6:10:58 AM,769.1,754.59,17.26,737.28,140.68,-17.28
10*7*2018 6:21:01 AM,768.02,754.47,17.26,737.24,140.64,-17.32
10*7*2018 6:31:03 AM,767.05,754.36,17.25,737.21,140.61,-17.35
10*7*2018 6:41:06 AM,766.06,754.28,17.25,737.17,140.57,-17.39
10*7*2018 6:51:06 AM,765.26,754.37,17.24,737.13,140.53,-17.43
10*7*2018 7:01:09 AM,764.52,754.42,17.24,737.09,140.49,-17.47
10*7*2018 7:11:13 AM,763.77,754.46,17.23,737.05,140.45,-17.51
10*7*2018 7:21:14 AM,762.95,754.42,17.23,737.02,140.42,-17.54
10*7*2018 7:31:17 AM,762.3,754.5,17.23,736.97,140.37,-17.59
10*7*2018 7:41:18 AM,761.71,754.63,17.22,736.94,140.34,-17.62
10*7*2018 7:51:18 AM,761.07,754.75,17.21,736.9,140.3,-17.66
10*7*2018 8:01:19 AM,760.43,754.85,17.2,736.86,140.26,-17.7
10*7*2018 8:11:22 AM,759.85,754.97,17.19,736.82,140.22,-17.74
10*7*2018 8:21:23 AM,759.16,754.87,17.19,736.78,140.18,-17.78
10*7*2018 8:31:26 AM,758.49,754.71,17.19,736.74,140.14,-17.82
10*7*2018 8:41:30 AM,757.82,754.57,17.2,736.71,140.11,-17.85
10*7*2018 8:51:35 AM,757.21,754.46,17.21,736.67,140.07,-17.89
10*7*2018 9:01:37 AM,756.47,754.23,17.23,736.64,140.04,-17.92
10*7*2018 9:11:37 AM,755.85,754.09,17.25,736.61,140.01,-17.95
10*7*2018 9:21:41 AM,755.13,753.86,17.28,736.57,139.97,-17.99
10*7*2018 9:31:41 AM,754.32,753.56,17.32,736.54,139.94,-18.02
10*7*2018 9:41:47 AM,753.69,753.39,17.38,736.5,139.9,-18.06
10*7*2018 9:51:48 AM,753.01,753.15,17.42,736.46,139.86,-18.1
10*7*2018 10:01:50 AM,752.31,752.9,17.48,736.43,139.83,-18.13
10*7*2018 10:11:54 AM,751.63,752.67,17.54,736.38,139.78,-18.18
10*7*2018 10:21:56 AM,751.09,752.47,17.59,736.34,139.74,-18.22
10*7*2018 10:31:58 AM,750.62,752.31,17.64,736.3,139.7,-18.26
10*7*2018 10:41:59 AM,750.01,751.99,17.68,736.26,139.66,-18.3
10*7*2018 10:52:03 AM,749.34,751.54,17.72,736.22,139.62,-18.34
10*7*2018 11:02:04 AM,748.8,751.18,17.75,736.18,139.58,-18.38
10*7*2018 11:12:07 AM,748.23,750.72,17.78,736.14,139.54,-18.42
10*7*2018 11:22:11 AM,747.61,750.15,17.82,736.11,139.51,-18.45
10*7*2018 11:32:11 AM,746.87,749.43,17.89,736.07,139.47,-18.49
10*7*2018 11:42:15 AM,746,748.56,17.99,736.04,139.44,-18.52
10*7*2018 11:52:17 AM,745.04,747.75,18.13,736,139.4,-18.56
10*7*2018 12:02:20 PM,744.07,746.93,18.27,735.96,139.36,-18.6
10*7*2018 12:12:22 PM,743.08,746.19,18.41,735.91,139.31,-18.65
10*7*2018 12:22:25 PM,742.14,745.48,18.52,735.87,139.27,-18.69
10*7*2018 12:32:27 PM,741.22,744.7,18.64,735.83,139.23,-18.73
10*7*2018 12:42:31 PM,740.33,743.98,18.74,735.8,139.2,-18.76
10*7*2018 12:52:33 PM,739.44,743.3,18.84,735.76,139.16,-18.8
10*7*2018 1:02:37 PM,738.45,742.74,18.93,735.71,139.11,-18.85
10*7*2018 1:12:42 PM,733.43,742.09,19,735.68,139.08,-18.88
10*7*2018 1:22:46 PM,731.37,741.47,19.08,735.64,139.04,-18.92
10*7*2018 1:32:47 PM,730.64,740.79,19.14,735.6,139,-18.96
10*7*2018 1:42:50 PM,729.97,740.16,19.2,735.56,138.96,-19
10*7*2018 1:52:55 PM,729.17,739.36,19.27,735.53,138.93,-19.03
10*7*2018 2:02:58 PM,728.46,738.64,19.35,735.49,138.89,-19.07
10*7*2018 2:13:01 PM,727.73,737.85,19.44,735.45,138.85,-19.11
10*7*2018 2:23:05 PM,727.01,737.18,19.53,735.41,138.81,-19.15
10*7*2018 2:33:09 PM,726.35,736.6,19.62,735.37,138.77,-19.19
10*7*2018 2:43:14 PM,725.78,736.01,19.69,735.33,138.73,-19.23
10*7*2018 2:53:19 PM,725.43,735.63,19.73,735.29,138.69,-19.27
10*7*2018 3:03:19 PM,725.15,735.36,19.73,735.24,138.64,-19.32
10*7*2018 3:13:21 PM,724.97,735.31,19.7,735.2,138.6,-19.36
10*7*2018 3:23:23 PM,724.85,734.99,19.65,735.16,138.56,-19.4
10*7*2018 3:33:28 PM,724.85,734.74,19.6,735.12,138.52,-19.44
10*7*2018 3:43:31 PM,724.84,734.48,19.55,735.09,138.49,-19.47
10*7*2018 3:53:34 PM,724.75,734.18,19.5,735.06,138.46,-19.5
10*7*2018 4:03:38 PM,724.74,733.98,19.46,735.02,138.42,-19.54
10*7*2018 4:13:38 PM,724.65,733.71,19.42,734.98,138.38,-19.58
10*7*2018 4:23:39 PM,724.65,733.62,19.38,734.94,138.34,-19.62
10*7*2018 4:33:40 PM,724.61,733.32,19.33,734.9,138.3,-19.66
10*7*2018 4:43:40 PM,724.63,733,19.28,734.87,138.27,-19.69
10*7*2018 4:53:41 PM,724.59,732.67,19.25,734.83,138.23,-19.73
10*7*2018 5:03:47 PM,724.45,732.29,19.22,734.8,138.2,-19.76
10*7*2018 5:13:50 PM,724.44,732.04,19.18,734.76,138.16,-19.8
10*7*2018 5:23:52 PM,724.42,731.79,19.13,734.72,138.12,-19.84
10*7*2018 5:33:54 PM,724.45,731.71,19.09,734.68,138.08,-19.88
10*7*2018 5:43:56 PM,724.45,731.5,19.04,734.64,138.04,-19.92
10*7*2018 5:53:59 PM,724.49,731.33,18.98,734.6,138,-19.96
10*7*2018 6:04:04 PM,724.47,730.01,18.93,734.55,137.95,-20.01
10*7*2018 6:14:07 PM,724.55,728.06,18.88,734.51,137.91,-20.05
10*9*2018 12:09:58 PM,-1.43,-0.9,18.01,726.78,130.18,-27.78
