Parameter Name,Value
General Information,
Sample name:,
Start of measurement:,10*28*2018 10:38:20 AM
Stop of measurement:,10*31*2018 11:59:11 AM
Duration of Measurements:,3 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5.1
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,375
Empty soil sampling ring weight [g]:,208
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.15
Scale [g]:,0.05
Sensor Unit Information,
Busnumber:,1
Subaddress:,1
Serial number:,1640
Sensor unit name:,MY-HYPROP---
Firmware Version:,1.4
Scale Information,
Serial number:,144226084
Scale name:,HYPROP Balance
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,10*28*2018 10:38:20 AM
Stop,10*31*2018 11:59:11 AM
,
Calculation of water contents,
Calculation of water contents,Estimation of initial water content
Initial water content [Vol%]:,0.542999992370605
Dry soil weight [g]:,120
Additional Soil Paramters,
Density [g/cm3]:,1.21
Porosity [-]:,0.54
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,traditional constrained van Genuchten-Mualem model
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C],Gross weight [g],Net weight [g],Weight change [g]
10*28*2018 11:04:34 AM,-0.64,1.8,20.39,756.41,173.41,-0.32
10*28*2018 11:05:46 AM,-0.68,1.81,20.39,756.4,173.4,-0.33
10*28*2018 11:07:00 AM,-0.67,1.81,20.39,756.39,173.39,-0.34
10*28*2018 11:08:14 AM,-0.59,1.91,20.39,756.38,173.38,-0.35
10*28*2018 11:09:27 AM,-0.44,1.93,20.39,756.37,173.37,-0.36
10*28*2018 11:10:39 AM,-0.52,1.99,20.39,756.35,173.35,-0.38
10*28*2018 11:11:53 AM,-0.36,2,20.39,756.34,173.34,-0.39
10*28*2018 11:13:07 AM,-0.27,2.2,20.38,756.32,173.32,-0.41
10*28*2018 11:14:22 AM,-0.24,2.26,20.38,756.31,173.31,-0.42
10*28*2018 11:15:39 AM,0.02,2.42,20.38,756.3,173.3,-0.43
10*28*2018 11:16:55 AM,0.06,2.5,20.38,756.29,173.29,-0.44
10*28*2018 11:18:12 AM,-0.09,2.46,20.37,756.27,173.27,-0.46
10*28*2018 11:19:29 AM,0.07,2.5,20.37,756.26,173.26,-0.47
10*28*2018 11:20:46 AM,0.2,2.69,20.36,756.23,173.23,-0.5
10*28*2018 11:22:03 AM,0.02,2.59,20.36,756.23,173.23,-0.5
10*28*2018 11:23:19 AM,0.19,2.66,20.36,756.2,173.2,-0.53
10*28*2018 11:24:37 AM,0.39,2.82,20.35,756.18,173.18,-0.55
10*28*2018 11:25:55 AM,0.48,2.87,20.35,756.18,173.18,-0.55
10*28*2018 11:27:12 AM,0.47,2.96,20.34,756.18,173.18,-0.55
10*28*2018 11:28:29 AM,0.64,3.06,20.34,756.17,173.17,-0.56
10*28*2018 11:29:46 AM,0.65,3.17,20.33,756.15,173.15,-0.58
10*28*2018 11:31:03 AM,0.76,3.27,20.33,756.14,173.14,-0.59
10*28*2018 11:32:20 AM,0.85,3.22,20.32,756.11,173.11,-0.62
10*28*2018 11:33:37 AM,1.03,3.43,20.32,756.11,173.11,-0.62
10*28*2018 11:34:54 AM,1.13,3.5,20.31,756.09,173.09,-0.64
10*28*2018 11:36:10 AM,1.12,3.55,20.31,756.08,173.08,-0.65
10*28*2018 11:37:27 AM,1.3,3.69,20.31,756.06,173.06,-0.67
10*28*2018 11:38:44 AM,1.37,3.78,20.3,756.04,173.04,-0.69
10*28*2018 11:40:01 AM,1.51,3.94,20.3,756.03,173.03,-0.7
10*28*2018 11:41:18 AM,1.63,4.04,20.3,756.01,173.01,-0.72
10*28*2018 11:42:34 AM,1.75,4.2,20.29,756,173,-0.73
10*28*2018 11:43:51 AM,1.77,4.17,20.29,755.99,172.99,-0.74
10*28*2018 11:45:08 AM,1.64,4.09,20.29,755.95,172.95,-0.78
10*28*2018 11:46:25 AM,1.95,4.4,20.29,755.95,172.95,-0.78
10*28*2018 11:47:42 AM,2.11,4.39,20.29,755.93,172.93,-0.8
10*28*2018 11:48:58 AM,2.13,4.46,20.28,755.92,172.92,-0.81
10*28*2018 11:50:15 AM,2.19,4.61,20.28,755.92,172.92,-0.81
10*28*2018 11:51:32 AM,2.34,4.75,20.28,755.9,172.9,-0.83
10*28*2018 11:52:49 AM,2.45,4.95,20.28,755.9,172.9,-0.83
10*28*2018 12:03:04 PM,-1.06,5.14,20.27,755.74,172.74,-0.99
10*28*2018 12:13:19 PM,3.49,5.79,20.28,755.7,172.7,-1.03
10*28*2018 12:23:34 PM,4.1,6.48,20.3,755.61,172.61,-1.12
10*28*2018 12:33:50 PM,4.58,7.09,20.34,755.52,172.52,-1.21
10*28*2018 12:44:05 PM,4.79,7.36,20.37,755.41,172.41,-1.32
10*28*2018 12:54:19 PM,5.61,8.05,20.38,755.34,172.34,-1.39
10*28*2018 1:04:33 PM,5.36,8.27,20.38,755.22,172.22,-1.51
10*28*2018 1:14:47 PM,6.03,8.47,20.38,755.17,172.17,-1.56
10*28*2018 1:25:03 PM,6.89,9.27,20.38,755.07,172.07,-1.66
10*28*2018 1:35:17 PM,7.62,10.07,20.38,754.97,171.97,-1.76
10*28*2018 1:45:32 PM,8.21,10.71,20.38,754.88,171.88,-1.85
10*28*2018 1:55:46 PM,8.97,11.42,20.37,754.79,171.79,-1.94
10*28*2018 2:06:00 PM,9.36,11.88,20.37,754.69,171.69,-2.04
10*28*2018 2:16:14 PM,9.56,12.05,20.38,754.6,171.6,-2.13
10*28*2018 2:26:28 PM,10.03,12.51,20.4,754.54,171.54,-2.19
10*28*2018 2:36:42 PM,10.75,13.23,20.42,754.45,171.45,-2.28
10*28*2018 2:46:58 PM,11.45,13.88,20.44,754.39,171.39,-2.34
10*28*2018 2:57:12 PM,11.97,14.49,20.47,754.3,171.3,-2.43
10*28*2018 3:07:26 PM,12.38,14.89,20.49,754.22,171.22,-2.51
10*28*2018 3:17:41 PM,13.33,15.74,20.51,754.15,171.15,-2.58
10*28*2018 3:27:55 PM,13.92,16.28,20.52,754.08,171.08,-2.65
10*28*2018 3:38:09 PM,14.02,16.55,20.52,754.01,171.01,-2.72
10*28*2018 3:48:24 PM,14.71,17.18,20.52,753.95,170.95,-2.78
10*28*2018 3:58:38 PM,15.31,17.8,20.52,753.87,170.87,-2.86
10*28*2018 4:08:52 PM,15.85,18.27,20.52,753.81,170.81,-2.92
10*28*2018 4:19:07 PM,16.49,18.95,20.51,753.73,170.73,-3
10*28*2018 4:29:21 PM,17.16,19.55,20.5,753.66,170.66,-3.07
10*28*2018 4:39:36 PM,17.74,20.2,20.51,753.57,170.57,-3.16
10*28*2018 4:49:50 PM,16.59,19.03,20.52,753.51,170.51,-3.22
10*28*2018 5:00:05 PM,14.24,20.32,20.54,753.43,170.43,-3.3
10*28*2018 5:10:19 PM,18.5,20.95,20.54,753.34,170.34,-3.39
10*28*2018 5:20:34 PM,19.23,21.72,20.53,753.28,170.28,-3.45
10*28*2018 5:30:49 PM,19.95,22.36,20.52,753.18,170.18,-3.55
10*28*2018 5:41:05 PM,20.62,23.04,20.52,753.12,170.12,-3.61
10*28*2018 5:51:22 PM,21.2,23.62,20.53,753.08,170.08,-3.65
10*28*2018 6:01:36 PM,12.41,18.52,20.53,753.01,170.01,-3.72
10*28*2018 6:11:50 PM,16.32,18.79,20.51,752.94,169.94,-3.79
10*28*2018 6:22:04 PM,18.09,20.43,20.5,752.86,169.86,-3.87
10*28*2018 6:32:19 PM,19.62,22.03,20.49,752.8,169.8,-3.93
10*28*2018 6:42:33 PM,21.01,23.48,20.49,752.72,169.72,-4.01
10*28*2018 6:52:46 PM,22.11,24.5,20.49,752.65,169.65,-4.08
10*28*2018 7:03:01 PM,19.48,25.15,20.49,752.57,169.57,-4.16
10*28*2018 7:13:18 PM,23.41,25.79,20.48,752.51,169.51,-4.22
10*28*2018 7:23:32 PM,23.51,25.97,20.48,752.44,169.44,-4.29
10*28*2018 7:33:46 PM,24.1,26.45,20.48,752.39,169.39,-4.34
10*28*2018 7:44:00 PM,24.68,27.19,20.47,752.32,169.32,-4.41
10*28*2018 7:54:14 PM,25.14,27.57,20.47,752.25,169.25,-4.48
10*28*2018 8:04:29 PM,25.57,28.11,20.47,752.18,169.18,-4.55
10*28*2018 8:14:44 PM,26.33,28.8,20.47,752.12,169.12,-4.61
10*28*2018 8:25:00 PM,26.98,29.34,20.48,752.04,169.04,-4.69
10*28*2018 8:35:14 PM,27.5,29.99,20.48,751.96,168.96,-4.77
10*28*2018 8:45:29 PM,27.45,29.92,20.47,751.89,168.89,-4.84
10*28*2018 8:55:43 PM,28.11,30.53,20.47,751.84,168.84,-4.89
10*28*2018 9:05:57 PM,28.67,31.15,20.47,751.77,168.77,-4.96
10*28*2018 9:16:12 PM,29.36,31.78,20.47,751.69,168.69,-5.04
10*28*2018 9:26:28 PM,29.89,32.27,20.47,751.61,168.61,-5.12
10*28*2018 9:36:44 PM,30.25,32.71,20.47,751.55,168.55,-5.18
10*28*2018 9:46:58 PM,30.96,33.38,20.47,751.49,168.49,-5.24
10*28*2018 9:57:13 PM,31.6,34.03,20.48,751.43,168.43,-5.3
10*28*2018 10:07:27 PM,32.06,34.48,20.48,751.35,168.35,-5.38
10*28*2018 10:17:42 PM,32.6,35.11,20.48,751.28,168.28,-5.45
10*28*2018 10:27:56 PM,31.71,35.06,20.47,751.21,168.21,-5.52
10*28*2018 10:38:11 PM,32.99,35.4,20.46,751.14,168.14,-5.59
10*28*2018 10:48:26 PM,33.81,36.25,20.46,751.09,168.09,-5.64
10*28*2018 10:58:40 PM,34.5,36.9,20.47,751.04,168.04,-5.69
10*28*2018 11:08:55 PM,34.65,37.12,20.46,750.96,167.96,-5.77
10*28*2018 11:19:10 PM,35.4,37.81,20.45,750.91,167.91,-5.82
10*28*2018 11:29:24 PM,36,38.42,20.44,750.83,167.83,-5.9
10*28*2018 11:39:38 PM,36.47,38.95,20.45,750.78,167.78,-5.95
10*28*2018 11:49:54 PM,37.16,39.67,20.46,750.7,167.7,-6.03
10*29*2018 12:00:08 AM,38.99,40.14,20.46,750.64,167.64,-6.09
10*29*2018 12:10:22 AM,38.45,40.86,20.45,750.56,167.56,-6.17
10*29*2018 12:20:37 AM,39.13,41.53,20.44,750.51,167.51,-6.22
10*29*2018 12:30:52 AM,39.72,42.13,20.44,750.43,167.43,-6.3
10*29*2018 12:41:07 AM,40.3,42.73,20.44,750.36,167.36,-6.37
10*29*2018 12:51:22 AM,41.29,43.5,20.44,750.3,167.3,-6.43
10*29*2018 1:01:36 AM,37.53,44.02,20.45,750.24,167.24,-6.49
10*29*2018 1:11:51 AM,42.16,44.61,20.44,750.18,167.18,-6.55
10*29*2018 1:22:06 AM,42.88,45.29,20.44,750.09,167.09,-6.64
10*29*2018 1:32:21 AM,43.57,45.97,20.44,750.04,167.04,-6.69
10*29*2018 1:42:35 AM,44.31,46.64,20.43,749.97,166.97,-6.76
10*29*2018 1:52:50 AM,44.81,47.31,20.42,749.91,166.91,-6.82
10*29*2018 2:03:05 AM,42.28,47.78,20.42,749.85,166.85,-6.88
10*29*2018 2:13:19 AM,46.04,48.47,20.42,749.78,166.78,-6.95
10*29*2018 2:23:34 AM,46.79,49.28,20.41,749.71,166.71,-7.02
10*29*2018 2:33:48 AM,47.69,50.11,20.4,749.65,166.65,-7.08
10*29*2018 2:44:03 AM,48.28,50.75,20.38,749.58,166.58,-7.15
10*29*2018 2:54:18 AM,48.97,51.35,20.37,749.53,166.53,-7.2
10*29*2018 3:04:32 AM,49.59,51.99,20.36,749.46,166.46,-7.27
10*29*2018 3:14:46 AM,50.35,52.83,20.37,749.39,166.39,-7.34
10*29*2018 3:24:59 AM,51.11,53.57,20.37,749.32,166.32,-7.41
10*29*2018 3:35:13 AM,51.7,54.17,20.37,749.26,166.26,-7.47
10*29*2018 3:45:28 AM,52.4,54.93,20.37,749.2,166.2,-7.53
10*29*2018 3:55:42 AM,53.22,55.56,20.36,749.14,166.14,-7.59
10*29*2018 4:05:58 AM,53.82,56.36,20.35,749.07,166.07,-7.66
10*29*2018 4:16:14 AM,54.63,57.16,20.35,749,166,-7.73
10*29*2018 4:26:29 AM,55.49,57.93,20.35,748.94,165.94,-7.79
10*29*2018 4:36:44 AM,56.24,58.77,20.34,748.89,165.89,-7.84
10*29*2018 4:47:00 AM,56.96,59.58,20.34,748.82,165.82,-7.91
10*29*2018 4:57:14 AM,58.17,60.47,20.33,748.75,165.75,-7.98
10*29*2018 5:07:28 AM,58.5,61.09,20.33,748.69,165.69,-8.04
10*29*2018 5:17:42 AM,59.22,61.85,20.33,748.62,165.62,-8.11
10*29*2018 5:27:57 AM,60.12,62.71,20.33,748.56,165.56,-8.17
10*29*2018 5:38:12 AM,61.06,63.61,20.33,748.48,165.48,-8.25
10*29*2018 5:48:26 AM,61.96,64.52,20.32,748.41,165.41,-8.32
10*29*2018 5:58:41 AM,62.75,65.35,20.31,748.35,165.35,-8.38
10*29*2018 6:08:55 AM,63.5,66.17,20.29,748.29,165.29,-8.44
10*29*2018 6:19:10 AM,64.42,67.06,20.28,748.22,165.22,-8.51
10*29*2018 6:29:24 AM,65.4,68,20.28,748.12,165.12,-8.61
10*29*2018 6:39:39 AM,66.32,69.02,20.28,748.08,165.08,-8.65
10*29*2018 6:49:53 AM,67.28,69.9,20.27,748.02,165.02,-8.71
10*29*2018 7:00:07 AM,70.09,70.61,20.27,747.93,164.93,-8.8
10*29*2018 7:10:22 AM,68.98,71.64,20.27,747.89,164.89,-8.84
10*29*2018 7:20:37 AM,69.89,72.47,20.27,747.83,164.83,-8.9
10*29*2018 7:30:52 AM,70.81,73.49,20.27,747.75,164.75,-8.98
10*29*2018 7:41:06 AM,71.75,74.48,20.28,747.66,164.66,-9.07
10*29*2018 7:51:21 AM,72.76,75.46,20.28,747.61,164.61,-9.12
10*29*2018 8:01:37 AM,70.36,76.57,20.29,747.54,164.54,-9.19
10*29*2018 8:11:51 AM,74.82,77.64,20.28,747.45,164.45,-9.28
10*29*2018 8:22:05 AM,75.77,78.44,20.27,747.4,164.4,-9.33
10*29*2018 8:32:21 AM,76.63,79.43,20.27,747.35,164.35,-9.38
10*29*2018 8:42:36 AM,77.5,80.32,20.28,747.28,164.28,-9.45
10*29*2018 8:52:50 AM,78.37,81.23,20.29,747.22,164.22,-9.51
10*29*2018 9:03:04 AM,76.27,82.21,20.3,747.16,164.16,-9.57
10*29*2018 9:13:18 AM,80.34,83.12,20.31,747.09,164.09,-9.64
10*29*2018 9:23:32 AM,81.21,84.08,20.33,747.03,164.03,-9.7
10*29*2018 9:33:46 AM,82.22,85.06,20.35,746.97,163.97,-9.76
10*29*2018 9:44:02 AM,83.19,86.07,20.39,746.89,163.89,-9.84
10*29*2018 9:54:16 AM,84.24,87.22,20.42,746.83,163.83,-9.9
10*29*2018 10:04:28 AM,85.08,87.97,20.43,746.76,163.76,-9.97
10*29*2018 10:14:43 AM,86.02,89.24,20.44,746.7,163.7,-10.03
10*29*2018 10:24:57 AM,87.03,90.03,20.45,746.62,163.62,-10.11
10*29*2018 10:35:12 AM,88.25,91.22,20.47,746.54,163.54,-10.19
10*29*2018 10:45:26 AM,89.51,92.5,20.43,746.48,163.48,-10.25
10*29*2018 10:55:40 AM,90.51,93.49,20.35,746.43,163.43,-10.3
10*29*2018 11:05:53 AM,91.52,94.62,20.27,746.37,163.37,-10.36
10*29*2018 11:16:08 AM,92.67,95.71,20.2,746.29,163.29,-10.44
10*29*2018 11:26:22 AM,93.71,96.68,20.12,746.22,163.22,-10.51
10*29*2018 11:36:37 AM,94.69,97.76,20.03,746.17,163.17,-10.56
10*29*2018 11:46:52 AM,95.64,98.68,19.93,746.12,163.12,-10.61
10*29*2018 11:57:05 AM,96.88,100.25,19.83,746.09,163.09,-10.64
10*29*2018 12:07:18 PM,98.04,101.41,19.85,746.03,163.03,-10.7
10*29*2018 12:17:34 PM,99.11,102.62,19.98,746.09,163.09,-10.64
10*29*2018 12:27:48 PM,100.31,103.96,20.16,746,163,-10.73
10*29*2018 12:37:52 PM,101.39,104.99,20.34,745.94,162.94,-10.79
10*29*2018 12:48:01 PM,102.69,106.22,20.5,745.86,162.86,-10.87
10*29*2018 12:58:16 PM,103.73,107.41,20.68,745.78,162.78,-10.95
10*29*2018 1:08:31 PM,104.59,108.28,20.85,745.7,162.7,-11.03
10*29*2018 1:18:46 PM,105.55,109.34,21.04,745.63,162.63,-11.1
10*29*2018 1:29:01 PM,106.57,110.42,21.27,745.52,162.52,-11.21
10*29*2018 1:39:16 PM,107.67,111.5,21.48,745.44,162.44,-11.29
10*29*2018 1:49:31 PM,108.66,112.63,21.67,745.37,162.37,-11.36
10*29*2018 1:59:34 PM,109.85,113.88,21.84,745.31,162.31,-11.42
10*29*2018 2:09:38 PM,110.95,115.1,22,745.22,162.22,-11.51
10*29*2018 2:19:43 PM,112.17,116.41,22.16,745.12,162.12,-11.61
10*29*2018 2:48:59 PM,115.8,119.69,22.62,744.87,161.87,-11.86
10*29*2018 2:59:00 PM,116.88,120.9,22.71,744.8,161.8,-11.93
10*29*2018 3:09:03 PM,118.11,122.15,22.73,744.74,161.74,-11.99
10*29*2018 3:19:05 PM,119.3,123.38,22.71,744.74,161.74,-11.99
10*29*2018 3:29:10 PM,120.53,124.71,22.65,744.68,161.68,-12.05
10*29*2018 3:39:15 PM,121.88,126,22.58,744.62,161.62,-12.11
10*29*2018 3:49:20 PM,123.12,127.34,22.49,744.56,161.56,-12.17
10*29*2018 3:59:23 PM,124.44,128.74,22.41,744.53,161.53,-12.2
10*29*2018 4:09:24 PM,125.73,130.15,22.31,744.47,161.47,-12.26
10*29*2018 4:19:28 PM,127.11,131.77,22.2,744.41,161.41,-12.32
10*29*2018 4:29:31 PM,128.6,133.64,22.05,744.35,161.35,-12.38
10*29*2018 4:39:32 PM,130.47,135.78,21.88,744.28,161.28,-12.45
10*29*2018 4:49:33 PM,132.34,137.98,21.69,744.19,161.19,-12.54
10*29*2018 4:59:37 PM,134.28,140.09,21.5,744.13,161.13,-12.6
10*29*2018 5:09:40 PM,136.13,142.06,21.32,744.07,161.07,-12.66
10*29*2018 5:19:41 PM,137.92,144.08,21.15,744.01,161.01,-12.72
10*29*2018 5:29:46 PM,139.76,146.04,20.97,743.94,160.94,-12.79
10*29*2018 5:39:48 PM,141.5,147.98,20.82,743.87,160.87,-12.86
10*29*2018 5:49:50 PM,143.14,149.63,20.71,743.79,160.79,-12.94
10*29*2018 5:59:52 PM,144.76,151.26,20.62,743.72,160.72,-13.01
10*29*2018 6:09:53 PM,146.29,153.06,20.53,743.65,160.65,-13.08
10*29*2018 6:19:55 PM,147.99,154.9,20.43,743.59,160.59,-13.14
10*29*2018 6:29:55 PM,149.58,156.84,20.31,743.52,160.52,-13.21
10*29*2018 6:39:57 PM,151.2,158.64,20.19,743.46,160.46,-13.27
10*29*2018 6:49:58 PM,152.92,160.58,20.08,743.41,160.41,-13.32
10*29*2018 7:00:00 PM,154.62,162.46,19.96,743.35,160.35,-13.38
10*29*2018 7:10:04 PM,156.22,164.4,19.85,743.27,160.27,-13.46
10*29*2018 7:20:07 PM,157.91,166.21,19.76,743.21,160.21,-13.52
10*29*2018 7:30:10 PM,159.53,168,19.67,743.14,160.14,-13.59
10*29*2018 7:40:14 PM,161.18,169.91,19.59,743.08,160.08,-13.65
10*29*2018 7:50:15 PM,162.75,171.68,19.51,743.02,160.02,-13.71
10*29*2018 8:00:15 PM,164.39,173.54,19.43,742.97,159.97,-13.76
10*29*2018 8:10:21 PM,166.03,175.57,19.36,742.9,159.9,-13.83
10*29*2018 8:20:25 PM,167.7,177.47,19.28,742.81,159.81,-13.92
10*29*2018 8:30:30 PM,169.38,179.32,19.21,742.76,159.76,-13.97
10*29*2018 8:40:31 PM,170.89,181.15,19.16,742.71,159.71,-14.02
10*29*2018 8:50:34 PM,172.52,183.07,19.1,742.63,159.63,-14.1
10*29*2018 9:00:37 PM,174.21,185.01,19.05,742.59,159.59,-14.14
10*29*2018 9:10:41 PM,175.85,187,18.99,742.53,159.53,-14.2
10*29*2018 9:20:41 PM,177.44,189.06,18.93,742.43,159.43,-14.3
10*29*2018 9:30:45 PM,179.12,191,18.88,742.37,159.37,-14.36
10*29*2018 9:40:50 PM,180.76,192.96,18.83,742.33,159.33,-14.4
10*29*2018 9:50:55 PM,182.4,194.87,18.79,742.29,159.29,-14.44
10*29*2018 10:00:56 PM,184.06,196.8,18.74,742.19,159.19,-14.54
10*29*2018 10:10:57 PM,185.7,198.75,18.7,742.14,159.14,-14.59
10*29*2018 10:21:01 PM,187.23,200.76,18.66,742.11,159.11,-14.62
10*29*2018 10:31:04 PM,188.94,202.77,18.62,742.05,159.05,-14.68
10*29*2018 10:41:07 PM,190.64,204.8,18.58,741.94,158.94,-14.79
10*29*2018 10:51:11 PM,192.25,206.71,18.54,741.92,158.92,-14.81
10*29*2018 11:01:16 PM,193.91,208.73,18.51,741.88,158.88,-14.85
10*29*2018 11:11:18 PM,195.56,210.78,18.48,741.79,158.79,-14.94
10*29*2018 11:21:18 PM,197.18,212.82,18.44,741.76,158.76,-14.97
10*29*2018 11:31:19 PM,198.89,214.81,18.41,741.72,158.72,-15.01
10*29*2018 11:41:23 PM,200.53,216.92,18.38,741.63,158.63,-15.1
10*29*2018 11:51:25 PM,202.18,219.06,18.34,741.56,158.56,-15.17
10*30*2018 12:01:26 AM,203.87,221.08,18.31,741.52,158.52,-15.21
10*30*2018 12:11:31 AM,205.56,223.19,18.28,741.45,158.45,-15.28
10*30*2018 12:21:36 AM,207.19,225.28,18.25,741.42,158.42,-15.31
10*30*2018 12:31:37 AM,208.83,227.33,18.23,741.37,158.37,-15.36
10*30*2018 12:41:41 AM,210.48,229.34,18.2,741.34,158.34,-15.39
10*30*2018 12:51:45 AM,212.15,231.39,18.18,741.34,158.34,-15.39
10*30*2018 1:01:45 AM,213.81,233.54,18.16,741.26,158.26,-15.47
10*30*2018 1:11:46 AM,215.45,235.65,18.14,741.17,158.17,-15.56
10*30*2018 1:21:51 AM,217.16,237.7,18.12,741.05,158.05,-15.68
10*30*2018 1:31:51 AM,218.75,239.73,18.11,741.05,158.05,-15.68
10*30*2018 1:41:53 AM,220.38,241.8,18.09,741.01,158.01,-15.72
10*30*2018 1:51:54 AM,222.06,243.92,18.07,740.95,157.95,-15.78
10*30*2018 2:01:56 AM,223.75,246.06,18.05,740.91,157.91,-15.82
10*30*2018 2:11:59 AM,225.4,248.28,18.03,740.84,157.84,-15.89
10*30*2018 2:22:00 AM,227.06,250.34,18,740.81,157.81,-15.92
10*30*2018 2:32:04 AM,228.74,252.46,17.99,740.75,157.75,-15.98
10*30*2018 2:42:04 AM,230.47,254.61,17.97,740.75,157.75,-15.98
10*30*2018 2:52:08 AM,232.09,256.84,17.94,740.75,157.75,-15.98
10*30*2018 3:02:10 AM,233.75,259.13,17.92,740.7,157.7,-16.03
10*30*2018 3:12:10 AM,235.52,261.31,17.91,740.66,157.66,-16.07
10*30*2018 3:22:13 AM,237.11,263.49,17.89,740.48,157.48,-16.25
10*30*2018 3:32:14 AM,238.71,265.57,17.88,740.37,157.37,-16.36
10*30*2018 3:42:15 AM,240.43,267.71,17.87,740.36,157.36,-16.37
10*30*2018 3:52:17 AM,242.08,269.96,17.86,740.31,157.31,-16.42
10*30*2018 4:02:22 AM,243.8,272.16,17.84,740.33,157.33,-16.4
10*30*2018 4:12:23 AM,245.48,274.48,17.82,740.32,157.32,-16.41
10*30*2018 4:22:24 AM,247.22,276.73,17.81,740.27,157.27,-16.46
