Parameter Name,Value
General Information,
Sample name:,
Start of measurement:,10*28*2018 10:38:20 AM
Stop of measurement:,10*31*2018 11:59:11 AM
Duration of Measurements:,3 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5.1
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,375
Empty soil sampling ring weight [g]:,208
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.15
Scale [g]:,0.05
Sensor Unit Information,
Busnumber:,1
Subaddress:,1
Serial number:,1640
Sensor unit name:,MY-HYPROP---
Firmware Version:,1.4
Scale Information,
Serial number:,144226084
Scale name:,HYPROP Balance
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,10*28*2018 10:38:20 AM
Stop,10*31*2018 11:59:11 AM
,
Calculation of water contents,
Calculation of water contents,Estimation of initial water content
Initial water content [Vol%]:,0.542999992370605
Dry soil weight [g]:,120
Additional Soil Paramters,
Density [g/cm3]:,1.21
Porosity [-]:,0.54
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,traditional constrained van Genuchten-Mualem model
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C],Gross weight [g],Net weight [g],Weight change [g]
10*28*2018 10:38:20 AM,-1.65,1.43,19.72,756.73,173.73,0
10*28*2018 10:39:37 AM,-1.66,1.76,19.8,756.7,173.7,-0.03
10*28*2018 10:40:54 AM,-1.87,1.57,19.86,756.68,173.68,-0.05
10*28*2018 10:42:10 AM,-1.81,1.48,19.96,756.67,173.67,-0.06
10*28*2018 10:43:27 AM,-1.77,1.39,20.02,756.63,173.63,-0.1
10*28*2018 10:44:44 AM,-1.82,1.36,20.1,756.62,173.62,-0.11
10*28*2018 10:46:02 AM,-1.63,1.34,20.14,756.61,173.61,-0.12
10*28*2018 10:47:19 AM,-1.6,1.38,20.2,756.6,173.6,-0.13
10*28*2018 10:48:35 AM,-1.49,1.31,20.25,756.58,173.58,-0.15
10*28*2018 10:49:52 AM,-1.54,1.34,20.27,756.56,173.56,-0.17
10*28*2018 10:51:07 AM,-1.4,1.35,20.31,756.55,173.55,-0.18
10*28*2018 10:52:22 AM,-1.31,1.41,20.33,756.53,173.53,-0.2
10*28*2018 10:53:34 AM,-1.25,1.52,20.34,756.51,173.51,-0.22
10*28*2018 10:54:47 AM,-1.12,1.51,20.36,756.51,173.51,-0.22
10*28*2018 10:56:00 AM,-1.14,1.51,20.37,756.49,173.49,-0.24
10*28*2018 10:57:14 AM,-1.18,1.56,20.38,756.49,173.49,-0.24
10*28*2018 10:58:27 AM,-0.92,1.69,20.38,756.48,173.48,-0.25
10*28*2018 10:59:40 AM,-5.02,1.57,20.39,756.47,173.47,-0.26
10*28*2018 11:00:53 AM,-3.61,1.77,20.39,756.45,173.45,-0.28
10*28*2018 11:02:07 AM,-1.64,2.16,20.39,756.85,173.85,0.12
10*28*2018 11:03:20 AM,-2.94,1.92,20.39,756.43,173.43,-0.3
