Parameter Name,Value
General Information,
Sample name:,
Start of measurement:,9*21*2018 4:34:11 PM
Stop of measurement:,9*27*2018 2:20:26 PM
Duration of Measurements:,5 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5.1
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,388
Empty soil sampling ring weight [g]:,207
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.15
Scale [g]:,0.05
Sensor Unit Information,
Busnumber:,29
Subaddress:,3
Serial number:,2082
Sensor unit name:,MY-HYPROP---
Firmware Version:,1.4
Scale Information,
Serial number:,144226084
Scale name:,HYPROP Balance
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,9*21*2018 4:34:11 PM
Stop,9*24*2018 11:01:53 PM
,
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.477980103155579
Dry soil weight [g]:,96.21
Additional Soil Paramters,
Density [g/cm3]:,0.97
Porosity [-]:,0.63
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,traditional constrained van Genuchten-Mualem model
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C],Gross weight [g],Net weight [g],Weight change [g]
9*21*2018 4:34:11 PM,-0.83,1.63,19.04,738.53,143.53,0
9*21*2018 4:35:18 PM,-0.81,1.57,19.1,738.51,143.51,-0.02
9*21*2018 4:36:24 PM,-0.7,1.6,19.15,738.5,143.5,-0.03
9*21*2018 4:37:31 PM,-0.7,1.55,19.2,738.49,143.49,-0.04
9*21*2018 4:38:37 PM,-0.7,1.58,19.25,738.47,143.47,-0.06
9*21*2018 4:39:44 PM,-0.68,1.52,19.29,738.46,143.46,-0.07
9*21*2018 4:40:50 PM,-0.68,1.54,19.34,738.45,143.45,-0.08
9*21*2018 4:41:57 PM,-0.69,1.52,19.37,738.44,143.44,-0.09
9*21*2018 4:43:03 PM,-0.69,1.52,19.39,738.42,143.42,-0.11
9*21*2018 4:44:10 PM,-0.68,1.52,19.41,738.42,143.42,-0.11
9*21*2018 4:45:17 PM,-0.64,1.54,19.43,738.4,143.4,-0.13
9*21*2018 4:46:24 PM,-0.66,1.55,19.44,738.39,143.39,-0.14
9*21*2018 4:47:30 PM,-0.67,1.51,19.45,738.39,143.39,-0.14
9*21*2018 4:48:37 PM,-0.62,1.51,19.45,738.38,143.38,-0.15
9*21*2018 4:49:43 PM,-0.59,1.54,19.46,738.37,143.37,-0.16
9*21*2018 4:50:50 PM,-0.62,1.54,19.47,738.36,143.36,-0.17
9*21*2018 4:51:56 PM,-0.63,1.55,19.47,738.34,143.34,-0.19
9*21*2018 4:53:03 PM,-0.6,1.54,19.47,738.33,143.33,-0.2
9*21*2018 4:54:09 PM,-0.6,1.59,19.47,738.33,143.33,-0.2
9*21*2018 4:55:16 PM,-0.59,1.58,19.47,738.31,143.31,-0.22
9*21*2018 4:56:22 PM,-0.55,1.56,19.47,738.3,143.3,-0.23
9*21*2018 4:57:29 PM,-0.54,1.58,19.47,738.3,143.3,-0.23
9*21*2018 4:58:35 PM,-0.57,1.59,19.46,738.29,143.29,-0.24
9*21*2018 4:59:42 PM,-0.55,1.6,19.46,738.28,143.28,-0.25
9*21*2018 5:00:49 PM,-0.54,1.61,19.46,738.27,143.27,-0.26
9*21*2018 5:01:55 PM,-0.55,1.63,19.45,738.26,143.26,-0.27
9*21*2018 5:03:02 PM,-0.47,1.65,19.45,738.25,143.25,-0.28
9*21*2018 5:04:08 PM,-0.48,1.7,19.44,738.24,143.24,-0.29
9*21*2018 5:05:15 PM,-0.48,1.72,19.44,738.23,143.23,-0.3
9*21*2018 5:06:21 PM,-0.44,1.73,19.43,738.21,143.21,-0.32
