Parameter Name,Value
General Information,
Sample name:,
Start of measurement:,10*18*2018 3:53:12 PM
Stop of measurement:,10*23*2018 2:08:04 PM
Duration of Measurements:,4 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,388
Empty soil sampling ring weight [g]:,208
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.15
Scale [g]:,0.05
Sensor Unit Information,
Busnumber:,29
Subaddress:,3
Serial number:,2082
Sensor unit name:,MY-HYPROP---
Firmware Version:,1.4
Scale Information,
Serial number:,184226046
Scale name:,HYPROP Balance
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,10*18*2018 3:53:12 PM
Stop,10*23*2018 2:08:04 PM
,
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.193293192300452
Dry soil weight [g]:,118
Additional Soil Paramters,
Density [g/cm3]:,0.47
Porosity [-]:,0.82
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,traditional constrained van Genuchten-Mualem model
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C],Gross weight [g],Net weight [g],Weight change [g]
10*18*2018 4:52:07 PM,0.42,6.02,17.72,761.55,165.55,-0.58
10*18*2018 4:53:23 PM,0.47,6.08,17.72,761.55,165.55,-0.58
10*18*2018 4:54:38 PM,0.49,6.1,17.73,761.54,165.54,-0.59
10*18*2018 4:55:55 PM,0.53,6.15,17.74,761.53,165.53,-0.6
10*18*2018 4:57:10 PM,0.56,6.18,17.75,761.52,165.52,-0.61
10*18*2018 4:58:25 PM,0.57,6.2,17.76,761.52,165.52,-0.61
10*18*2018 4:59:38 PM,0.58,6.24,17.77,761.51,165.51,-0.62
10*18*2018 5:00:54 PM,0.62,6.24,17.78,761.5,165.5,-0.63
10*18*2018 5:02:09 PM,0.64,6.3,17.78,761.49,165.49,-0.64
10*18*2018 5:03:24 PM,0.68,6.37,17.8,761.49,165.49,-0.64
10*18*2018 5:04:40 PM,0.69,6.36,17.8,761.48,165.48,-0.65
10*18*2018 5:05:56 PM,0.72,6.41,17.82,761.47,165.47,-0.66
10*18*2018 5:07:12 PM,0.73,6.45,17.82,761.47,165.47,-0.66
10*18*2018 5:17:14 PM,0.9,6.65,17.9,761.41,165.41,-0.72
10*18*2018 5:27:30 PM,1.14,6.88,17.98,761.35,165.35,-0.78
10*18*2018 5:37:32 PM,1.39,7.15,18.04,761.28,165.28,-0.85
10*18*2018 5:47:47 PM,1.85,7.62,18.1,761.23,165.23,-0.9
10*18*2018 5:58:04 PM,1.4,7.21,18.15,761.15,165.15,-0.98
10*18*2018 6:08:21 PM,2.49,8.31,18.17,761.09,165.09,-1.04
10*18*2018 6:18:21 PM,3.53,9.35,18.17,761.02,165.02,-1.11
10*18*2018 6:28:39 PM,4.78,10.63,18.14,760.95,164.95,-1.18
10*18*2018 6:38:54 PM,6.13,11.95,18.09,760.89,164.89,-1.24
10*18*2018 6:49:12 PM,6.43,12.26,18.02,760.82,164.82,-1.31
10*18*2018 6:59:26 PM,7.41,13.27,17.95,760.75,164.75,-1.38
10*18*2018 7:09:28 PM,6.4,12.48,17.89,760.7,164.7,-1.43
10*18*2018 7:19:46 PM,6.6,12.47,17.83,760.64,164.64,-1.49
10*18*2018 7:29:58 PM,8.32,14.24,17.78,760.58,164.58,-1.55
10*18*2018 7:40:01 PM,9.45,15.34,17.74,760.51,164.51,-1.62
10*18*2018 7:50:04 PM,10.69,16.62,17.68,760.45,164.45,-1.68
10*18*2018 8:00:05 PM,11.42,17.41,17.63,760.39,164.39,-1.74
10*18*2018 8:10:19 PM,12.61,18.5,17.56,760.33,164.33,-1.8
10*18*2018 8:20:35 PM,13.49,19.43,17.5,760.28,164.28,-1.85
10*18*2018 8:30:53 PM,14.69,20.57,17.45,760.22,164.22,-1.91
10*18*2018 8:41:08 PM,15.25,21.14,17.41,760.17,164.17,-1.96
10*18*2018 8:51:26 PM,15.23,21.14,17.38,760.11,164.11,-2.02
10*18*2018 9:01:42 PM,11.93,18.44,17.35,760.05,164.05,-2.08
10*18*2018 9:11:42 PM,14.62,20.5,17.32,760,164,-2.13
10*18*2018 9:21:43 PM,16.87,22.78,17.27,759.94,163.94,-2.19
10*18*2018 9:31:44 PM,10.1,16,17.22,759.88,163.88,-2.25
10*18*2018 9:41:56 PM,13.11,19.02,17.17,759.82,163.82,-2.31
10*18*2018 9:51:57 PM,15.78,21.7,17.12,759.77,163.77,-2.36
10*18*2018 10:01:57 PM,17.65,23.55,17.08,759.71,163.71,-2.42
10*18*2018 10:11:58 PM,18.85,24.76,17.04,759.66,163.66,-2.47
10*18*2018 10:21:59 PM,19.85,25.72,17.01,759.6,163.6,-2.53
10*18*2018 10:32:03 PM,20.57,26.44,16.98,759.55,163.55,-2.58
10*18*2018 10:42:19 PM,21.2,27.09,16.96,759.49,163.49,-2.64
10*18*2018 10:52:20 PM,22.07,27.95,16.94,759.44,163.44,-2.69
10*18*2018 11:02:38 PM,23.1,29.01,16.93,759.38,163.38,-2.75
10*18*2018 11:12:39 PM,18.82,24.69,16.91,759.33,163.33,-2.8
10*18*2018 11:22:41 PM,21.85,27.71,16.9,759.28,163.28,-2.85
10*18*2018 11:32:59 PM,23.48,29.34,16.88,759.22,163.22,-2.91
10*18*2018 11:43:17 PM,24.48,30.32,16.87,759.16,163.16,-2.97
10*18*2018 11:53:19 PM,25.25,31.07,16.86,759.11,163.11,-3.02
10*19*2018 12:03:37 AM,22.28,28.14,16.85,759.05,163.05,-3.08
10*19*2018 12:13:38 AM,24.66,30.46,16.83,759.01,163.01,-3.12
10*19*2018 12:23:54 AM,26.16,31.98,16.82,758.95,162.95,-3.18
10*19*2018 12:34:09 AM,26.64,32.45,16.81,758.91,162.91,-3.22
10*19*2018 12:44:26 AM,27.47,33.25,16.8,758.85,162.85,-3.28
10*19*2018 12:54:43 AM,28.23,34.04,16.79,758.8,162.8,-3.33
10*19*2018 1:05:00 AM,28.83,34.6,16.78,758.75,162.75,-3.38
10*19*2018 1:15:18 AM,29.77,35.54,16.76,758.68,162.68,-3.45
10*19*2018 1:25:19 AM,30.09,35.87,16.74,758.64,162.64,-3.49
10*19*2018 1:35:34 AM,31.07,36.79,16.72,758.58,162.58,-3.55
10*19*2018 1:45:36 AM,31.52,37.24,16.7,758.53,162.53,-3.6
10*19*2018 1:55:53 AM,32.16,37.92,16.7,758.47,162.47,-3.66
10*19*2018 2:05:54 AM,32.8,38.5,16.68,758.43,162.43,-3.7
10*19*2018 2:15:57 AM,33.35,39.08,16.68,758.37,162.37,-3.76
10*19*2018 2:26:02 AM,34.15,39.84,16.67,758.33,162.33,-3.8
10*19*2018 2:36:09 AM,34.85,40.51,16.66,758.28,162.28,-3.85
10*19*2018 2:46:22 AM,29.57,35.26,16.65,758.22,162.22,-3.91
10*19*2018 2:56:24 AM,32.1,37.82,16.64,758.18,162.18,-3.95
10*19*2018 3:06:27 AM,34.04,39.73,16.63,758.13,162.13,-4
10*19*2018 3:16:45 AM,35.17,40.81,16.62,758.07,162.07,-4.06
10*19*2018 3:26:48 AM,35.97,41.62,16.61,758.02,162.02,-4.11
10*19*2018 3:36:53 AM,36.56,42.22,16.6,757.98,161.98,-4.15
10*19*2018 3:47:10 AM,37.41,43.01,16.59,757.93,161.93,-4.2
10*19*2018 3:57:17 AM,37.84,43.47,16.58,757.87,161.87,-4.26
10*19*2018 4:07:21 AM,38.59,44.14,16.56,757.82,161.82,-4.31
10*19*2018 4:17:30 AM,39.12,44.68,16.55,757.78,161.78,-4.35
10*19*2018 4:27:39 AM,39.19,44.71,16.54,757.73,161.73,-4.4
10*19*2018 4:37:47 AM,39.86,45.41,16.52,757.68,161.68,-4.45
10*19*2018 4:47:49 AM,40.5,46.05,16.51,757.63,161.63,-4.5
10*19*2018 4:57:56 AM,41.01,46.58,16.49,757.58,161.58,-4.55
10*19*2018 5:08:00 AM,41.51,47.04,16.48,757.53,161.53,-4.6
10*19*2018 5:18:06 AM,41.77,47.28,16.46,757.48,161.48,-4.65
10*19*2018 5:28:13 AM,42.53,48.08,16.43,757.42,161.42,-4.71
10*19*2018 5:38:13 AM,43.12,48.57,16.41,757.37,161.37,-4.76
10*19*2018 5:48:25 AM,43.7,49.22,16.38,757.32,161.32,-4.81
10*19*2018 5:58:43 AM,44.37,49.8,16.35,757.26,161.26,-4.87
10*19*2018 6:08:58 AM,44.49,49.95,16.32,757.2,161.2,-4.93
10*19*2018 6:19:15 AM,45.38,50.85,16.29,757.15,161.15,-4.98
10*19*2018 6:29:30 AM,45.95,51.4,16.26,757.09,161.09,-5.04
10*19*2018 6:39:44 AM,46.6,52.1,16.23,757.04,161.04,-5.09
10*19*2018 6:50:03 AM,47.18,52.61,16.21,756.99,160.99,-5.14
10*19*2018 7:00:21 AM,47.71,53.15,16.18,756.93,160.93,-5.2
10*19*2018 7:10:37 AM,48.18,53.59,16.16,756.87,160.87,-5.26
10*19*2018 7:20:53 AM,48.94,54.36,16.13,756.81,160.81,-5.32
10*19*2018 7:31:10 AM,49.56,54.93,16.11,756.77,160.77,-5.36
10*19*2018 7:41:26 AM,50.15,55.52,16.09,756.7,160.7,-5.43
10*19*2018 7:51:44 AM,50.71,56.08,16.08,756.66,160.66,-5.47
10*19*2018 8:01:57 AM,51.42,56.78,16.07,756.61,160.61,-5.52
10*19*2018 8:12:16 AM,52.06,57.38,16.05,756.55,160.55,-5.58
10*19*2018 8:22:33 AM,52.78,58.11,16.04,756.51,160.51,-5.62
10*19*2018 8:32:44 AM,53.39,58.78,16.03,756.44,160.44,-5.69
10*19*2018 8:43:01 AM,54.07,59.38,16.03,756.39,160.39,-5.74
10*19*2018 8:53:19 AM,54.5,59.79,16.03,756.34,160.34,-5.79
10*19*2018 9:03:37 AM,55.11,60.38,16.05,756.28,160.28,-5.85
10*19*2018 9:13:40 AM,55.59,60.86,16.06,756.24,160.24,-5.89
10*19*2018 9:23:56 AM,55.95,61.23,16.08,756.19,160.19,-5.94
10*19*2018 9:33:56 AM,56.45,61.71,16.1,756.14,160.14,-5.99
10*19*2018 9:44:10 AM,57.05,62.31,16.13,756.09,160.09,-6.04
10*19*2018 9:54:27 AM,57.63,62.9,16.15,756.04,160.04,-6.09
10*19*2018 10:04:42 AM,58.15,63.43,16.17,756,160,-6.13
10*19*2018 10:15:00 AM,58.64,63.91,16.19,755.96,159.96,-6.17
10*19*2018 10:25:16 AM,58.97,64.24,16.23,755.91,159.91,-6.22
10*19*2018 10:35:17 AM,59.51,64.79,16.27,755.86,159.86,-6.27
10*19*2018 10:45:34 AM,60.1,65.36,16.31,755.82,159.82,-6.31
10*19*2018 10:55:34 AM,60.6,65.84,16.34,755.76,159.76,-6.37
10*19*2018 11:05:50 AM,60.82,66.05,16.37,755.72,159.72,-6.41
10*19*2018 11:16:04 AM,61.44,66.66,16.4,755.68,159.68,-6.45
10*19*2018 11:26:23 AM,62.44,67.66,16.43,755.62,159.62,-6.51
10*19*2018 11:36:42 AM,63.4,68.64,16.46,755.56,159.56,-6.57
10*19*2018 11:46:56 AM,63.94,69.11,16.48,755.51,159.51,-6.62
10*19*2018 11:57:06 AM,64.1,69.36,16.52,755.47,159.47,-6.66
10*19*2018 12:07:23 PM,64.92,70.12,16.57,755.43,159.43,-6.7
10*19*2018 12:17:37 PM,65.59,70.85,16.66,755.38,159.38,-6.75
10*19*2018 12:27:51 PM,66.08,71.28,16.77,755.32,159.32,-6.81
10*19*2018 12:38:05 PM,66.69,71.97,16.9,755.27,159.27,-6.86
10*19*2018 12:48:06 PM,67.65,72.81,17.04,755.2,159.2,-6.93
10*19*2018 12:58:21 PM,68.25,73.48,17.18,755.13,159.13,-7
10*19*2018 1:08:36 PM,68.6,73.8,17.31,755.07,159.07,-7.06
10*19*2018 1:18:54 PM,69.29,74.53,17.43,755.01,159.01,-7.12
10*19*2018 1:29:07 PM,69.93,75.12,17.53,754.95,158.95,-7.18
10*19*2018 1:39:07 PM,70.55,75.82,17.63,754.89,158.89,-7.24
10*19*2018 1:49:22 PM,71.25,76.42,17.71,754.83,158.83,-7.3
10*19*2018 1:59:36 PM,71.93,77.24,17.79,754.77,158.77,-7.36
10*19*2018 2:09:50 PM,72.22,77.4,17.87,754.72,158.72,-7.41
10*19*2018 2:20:08 PM,72.78,77.95,17.98,754.66,158.66,-7.47
10*19*2018 2:30:25 PM,73.1,78.17,18.12,754.61,158.61,-7.52
10*19*2018 2:40:36 PM,73.94,79.03,18.25,754.56,158.56,-7.57
10*19*2018 2:50:49 PM,74.31,79.44,18.36,754.51,158.51,-7.62
10*19*2018 3:00:57 PM,74.83,79.91,18.45,754.46,158.46,-7.67
10*19*2018 3:11:11 PM,75.25,80.33,18.53,754.41,158.41,-7.72
10*19*2018 3:34:06 PM,76.46,81.57,18.71,754.3,158.3,-7.83
10*19*2018 3:44:09 PM,76.57,81.6,18.78,754.26,158.26,-7.87
10*19*2018 3:54:09 PM,77.14,82.18,18.83,754.21,158.21,-7.92
10*19*2018 4:04:13 PM,77.8,82.92,18.87,754.16,158.16,-7.97
10*19*2018 4:14:14 PM,78.36,83.41,18.9,754.11,158.11,-8.02
10*19*2018 4:24:17 PM,79,84.04,18.91,754.07,158.07,-8.06
10*19*2018 4:34:18 PM,79.44,84.45,18.92,754.02,158.02,-8.11
10*19*2018 4:44:20 PM,80.54,85.68,18.93,753.96,157.96,-8.17
10*19*2018 4:54:23 PM,81.07,86.1,18.92,753.92,157.92,-8.21
10*19*2018 5:04:26 PM,81.61,86.63,18.92,753.87,157.87,-8.26
10*19*2018 5:14:29 PM,82.14,87.17,18.92,753.83,157.83,-8.3
10*19*2018 5:24:29 PM,82.66,87.72,18.91,753.78,157.78,-8.35
10*19*2018 5:34:30 PM,83.14,88.11,18.91,753.74,157.74,-8.39
10*19*2018 5:44:34 PM,83.62,88.63,18.92,753.69,157.69,-8.44
10*19*2018 5:54:36 PM,84.25,89.24,18.93,753.65,157.65,-8.48
10*19*2018 6:04:38 PM,85.12,90.1,18.95,753.61,157.61,-8.52
10*19*2018 6:14:41 PM,85.37,90.37,18.97,753.57,157.57,-8.56
10*19*2018 6:24:43 PM,85.8,90.72,18.99,753.53,157.53,-8.6
10*19*2018 6:34:45 PM,86.18,91.18,19.02,753.49,157.49,-8.64
10*19*2018 6:44:46 PM,86.91,91.91,19.04,753.44,157.44,-8.69
10*19*2018 6:54:50 PM,87.76,92.73,19.05,753.39,157.39,-8.74
10*19*2018 7:04:55 PM,88.61,93.6,19.05,753.34,157.34,-8.79
10*19*2018 7:14:59 PM,89.61,94.61,19.03,753.29,157.29,-8.84
10*19*2018 7:25:01 PM,90.19,95.3,19.01,753.24,157.24,-8.89
10*19*2018 7:35:02 PM,91.15,96.14,18.98,753.2,157.2,-8.93
10*19*2018 7:45:07 PM,91.98,97.01,18.95,753.14,157.14,-8.99
10*19*2018 7:55:12 PM,92.74,97.79,18.92,753.1,157.1,-9.03
10*19*2018 8:05:16 PM,93.56,98.63,18.87,753.04,157.04,-9.09
10*19*2018 8:15:19 PM,94.26,99.24,18.83,752.99,156.99,-9.14
10*19*2018 8:25:22 PM,95.16,100.16,18.79,752.95,156.95,-9.18
10*19*2018 8:35:25 PM,96.1,101.13,18.74,752.9,156.9,-9.23
10*19*2018 8:45:30 PM,96.76,101.77,18.7,752.85,156.85,-9.28
10*19*2018 8:55:31 PM,97.55,102.55,18.66,752.81,156.81,-9.32
10*19*2018 9:05:33 PM,98.57,103.65,18.62,752.75,156.75,-9.38
10*19*2018 9:15:37 PM,99.29,104.32,18.58,752.71,156.71,-9.42
10*19*2018 9:25:39 PM,100.09,105.12,18.55,752.66,156.66,-9.47
10*19*2018 9:35:42 PM,101.05,106.14,18.51,752.6,156.6,-9.53
10*19*2018 9:45:45 PM,102.14,107.15,18.47,752.55,156.55,-9.58
10*19*2018 9:55:46 PM,102.99,108.05,18.43,752.5,156.5,-9.63
10*19*2018 10:05:50 PM,103.49,108.59,18.39,752.45,156.45,-9.68
10*19*2018 10:15:55 PM,104.5,109.55,18.36,752.39,156.39,-9.74
10*19*2018 10:25:56 PM,105.39,110.46,18.32,752.34,156.34,-9.79
10*19*2018 10:36:00 PM,106.27,111.34,18.28,752.29,156.29,-9.84
10*19*2018 10:46:01 PM,107.15,112.26,18.25,752.24,156.24,-9.89
10*19*2018 10:56:06 PM,108.11,113.2,18.21,752.18,156.18,-9.95
10*19*2018 11:06:09 PM,109.15,114.22,18.18,752.13,156.13,-10
10*19*2018 11:16:10 PM,109.94,115.06,18.16,752.08,156.08,-10.05
10*19*2018 11:26:14 PM,110.87,115.94,18.14,752.03,156.03,-10.1
10*19*2018 11:36:15 PM,111.74,116.88,18.11,751.98,155.98,-10.15
10*19*2018 11:46:20 PM,112.58,117.73,18.08,751.93,155.93,-10.2
10*19*2018 11:56:22 PM,113.56,118.77,18.05,751.88,155.88,-10.25
10*20*2018 12:06:24 AM,114.66,119.85,18.02,751.83,155.83,-10.3
10*20*2018 12:16:26 AM,115.62,120.77,17.99,751.78,155.78,-10.35
10*20*2018 12:26:26 AM,116.64,121.79,17.97,751.72,155.72,-10.41
10*20*2018 12:36:31 AM,117.5,122.73,17.94,751.68,155.68,-10.45
10*20*2018 12:46:33 AM,118.43,123.6,17.92,751.63,155.63,-10.5
10*20*2018 12:56:35 AM,119.39,124.6,17.89,751.58,155.58,-10.55
10*20*2018 1:06:36 AM,120.41,125.63,17.87,751.53,155.53,-10.6
10*20*2018 1:16:41 AM,121.25,126.49,17.85,751.48,155.48,-10.65
10*20*2018 1:26:42 AM,122.2,127.44,17.83,751.43,155.43,-10.7
10*20*2018 1:36:44 AM,123.15,128.42,17.8,751.38,155.38,-10.75
10*20*2018 1:46:48 AM,124.03,129.39,17.78,751.33,155.33,-10.8
10*20*2018 1:56:53 AM,124.89,130.27,17.76,751.29,155.29,-10.84
10*20*2018 2:06:55 AM,126.05,131.36,17.74,751.24,155.24,-10.89
10*20*2018 2:16:56 AM,127,132.33,17.73,751.19,155.19,-10.94
10*20*2018 2:26:59 AM,127.97,133.33,17.71,751.14,155.14,-10.99
10*20*2018 2:37:01 AM,128.86,134.26,17.69,751.08,155.08,-11.05
10*20*2018 2:47:01 AM,129.9,135.37,17.67,751.04,155.04,-11.09
10*20*2018 2:57:02 AM,130.99,136.44,17.65,750.99,154.99,-11.14
10*20*2018 3:07:07 AM,132.09,137.54,17.63,750.95,154.95,-11.18
10*20*2018 3:17:10 AM,133.08,138.58,17.62,750.9,154.9,-11.23
10*20*2018 3:27:13 AM,134.05,139.58,17.61,750.85,154.85,-11.28
10*20*2018 3:37:13 AM,135.09,140.64,17.6,750.8,154.8,-11.33
10*20*2018 3:47:20 AM,136.13,141.63,17.59,750.75,154.75,-11.38
10*20*2018 3:57:24 AM,137.32,142.93,17.58,750.71,154.71,-11.42
10*20*2018 4:07:28 AM,138.81,144.39,17.57,750.65,154.65,-11.48
10*20*2018 4:17:30 AM,139.77,145.51,17.56,750.61,154.61,-11.52
10*20*2018 4:27:34 AM,140.88,146.56,17.56,750.57,154.57,-11.56
10*20*2018 4:37:36 AM,142.07,147.71,17.55,750.51,154.51,-11.62
10*20*2018 4:47:40 AM,143.13,148.89,17.54,750.46,154.46,-11.67
10*20*2018 4:57:41 AM,144.21,149.95,17.53,750.41,154.41,-11.72
10*20*2018 5:07:45 AM,145.64,151.45,17.52,750.35,154.35,-11.78
10*20*2018 5:17:46 AM,147.2,153.18,17.5,750.3,154.3,-11.83
10*20*2018 5:27:47 AM,148.76,154.7,17.47,750.24,154.24,-11.89
10*20*2018 5:37:51 AM,149.88,155.73,17.43,750.18,154.18,-11.95
10*20*2018 5:47:55 AM,151.07,156.98,17.4,750.14,154.14,-11.99
10*20*2018 5:57:58 AM,152.36,158.3,17.37,750.09,154.09,-12.04
10*20*2018 6:08:01 AM,153.75,159.79,17.34,750.04,154.04,-12.09
10*20*2018 6:18:03 AM,155.02,160.99,17.31,749.99,153.99,-12.14
10*20*2018 6:28:07 AM,156.58,162.72,17.27,749.93,153.93,-12.2
10*20*2018 6:38:07 AM,158.08,164.31,17.24,749.88,153.88,-12.25
10*20*2018 6:48:10 AM,159.69,165.95,17.21,749.83,153.83,-12.3
10*20*2018 6:58:11 AM,161.06,167.28,17.18,749.78,153.78,-12.35
10*20*2018 7:08:12 AM,162.59,168.89,17.16,749.71,153.71,-12.42
10*20*2018 7:18:16 AM,163.72,170.12,17.14,749.66,153.66,-12.47
10*20*2018 7:28:18 AM,165.23,171.58,17.12,749.61,153.61,-12.52
10*20*2018 7:38:19 AM,166.84,173.27,17.1,749.55,153.55,-12.58
10*20*2018 7:48:19 AM,168.4,175.02,17.08,749.5,153.5,-12.63
10*20*2018 7:58:25 AM,169.97,176.57,17.05,749.44,153.44,-12.69
10*20*2018 8:08:29 AM,171.71,178.32,17.03,749.39,153.39,-12.74
10*20*2018 8:18:33 AM,173.25,179.95,17.01,749.34,153.34,-12.79
10*20*2018 8:28:36 AM,174.84,181.57,17,749.28,153.28,-12.85
10*20*2018 8:38:39 AM,176.35,183.13,16.99,749.23,153.23,-12.9
10*20*2018 8:48:42 AM,177.89,184.78,16.99,749.17,153.17,-12.96
10*20*2018 8:58:45 AM,179.63,186.58,16.99,749.12,153.12,-13.01
10*20*2018 9:08:49 AM,181.47,188.63,16.99,749.06,153.06,-13.07
10*20*2018 9:18:54 AM,183.05,190.12,17,749.01,153.01,-13.12
