Parameter Name,Value
General Information,
Sample name:,
Start of measurement:,10*18*2018 3:53:12 PM
Stop of measurement:,10*23*2018 2:08:04 PM
Duration of Measurements:,4 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,388
Empty soil sampling ring weight [g]:,208
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.15
Scale [g]:,0.05
Sensor Unit Information,
Busnumber:,29
Subaddress:,3
Serial number:,2082
Sensor unit name:,MY-HYPROP---
Firmware Version:,1.4
Scale Information,
Serial number:,184226046
Scale name:,HYPROP Balance
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,10*18*2018 3:53:12 PM
Stop,10*23*2018 2:08:04 PM
,
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.193293192300452
Dry soil weight [g]:,118
Additional Soil Paramters,
Density [g/cm3]:,0.47
Porosity [-]:,0.82
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,traditional constrained van Genuchten-Mualem model
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C],Gross weight [g],Net weight [g],Weight change [g]
10*18*2018 3:53:12 PM,-1.42,3.2,16.76,762.13,166.13,0
10*18*2018 3:54:29 PM,-1.5,3.33,16.85,762.1,166.1,-0.03
10*18*2018 3:55:45 PM,-1.37,3.54,16.9,762.06,166.06,-0.07
10*18*2018 3:57:00 PM,-1.29,3.67,16.94,762.03,166.03,-0.1
10*18*2018 3:58:17 PM,-1.19,3.8,17,762.02,166.02,-0.11
10*18*2018 3:59:32 PM,-1.11,3.9,17.04,761.99,165.99,-0.14
10*18*2018 4:00:46 PM,-0.99,4.06,17.09,761.97,165.97,-0.16
10*18*2018 4:02:00 PM,-0.95,4.11,17.12,761.95,165.95,-0.18
10*18*2018 4:03:15 PM,-0.89,4.21,17.15,761.95,165.95,-0.18
10*18*2018 4:04:30 PM,-0.89,4.25,17.17,761.93,165.93,-0.2
10*18*2018 4:05:44 PM,-0.83,4.34,17.2,761.92,165.92,-0.21
10*18*2018 4:07:00 PM,-0.81,4.4,17.22,761.91,165.91,-0.22
10*18*2018 4:08:17 PM,-0.74,4.47,17.25,761.89,165.89,-0.24
10*18*2018 4:09:33 PM,-0.7,4.56,17.27,761.88,165.88,-0.25
10*18*2018 4:10:49 PM,-0.65,4.6,17.28,761.87,165.87,-0.26
10*18*2018 4:12:03 PM,-0.6,4.65,17.31,761.86,165.86,-0.27
10*18*2018 4:13:19 PM,-0.57,4.71,17.32,761.85,165.85,-0.28
10*18*2018 4:14:34 PM,-0.54,4.78,17.33,761.83,165.83,-0.3
10*18*2018 4:15:47 PM,-0.5,4.82,17.35,761.82,165.82,-0.31
10*18*2018 4:17:04 PM,-0.47,4.88,17.37,761.81,165.81,-0.32
10*18*2018 4:18:21 PM,-0.46,4.94,17.38,761.8,165.8,-0.33
10*18*2018 4:19:38 PM,-0.39,4.95,17.4,761.79,165.79,-0.34
10*18*2018 4:20:54 PM,-0.4,5,17.42,761.78,165.78,-0.35
10*18*2018 4:22:09 PM,-0.31,5.07,17.43,761.76,165.76,-0.37
10*18*2018 4:23:25 PM,-0.31,5.11,17.45,761.75,165.75,-0.38
10*18*2018 4:24:40 PM,-0.27,5.14,17.46,761.74,165.74,-0.39
10*18*2018 4:25:55 PM,-0.24,5.19,17.48,761.73,165.73,-0.4
10*18*2018 4:27:10 PM,-0.21,5.23,17.49,761.72,165.72,-0.41
10*18*2018 4:28:26 PM,-0.18,5.24,17.5,761.71,165.71,-0.42
10*18*2018 4:29:41 PM,-0.13,5.29,17.52,761.7,165.7,-0.43
10*18*2018 4:30:56 PM,-0.1,5.34,17.53,761.69,165.69,-0.44
10*18*2018 4:32:11 PM,-0.09,5.37,17.54,761.69,165.69,-0.44
10*18*2018 4:33:26 PM,-0.06,5.47,17.56,761.67,165.67,-0.46
10*18*2018 4:34:39 PM,0.02,5.48,17.57,761.67,165.67,-0.46
10*18*2018 4:35:55 PM,0.07,5.55,17.58,761.66,165.66,-0.47
10*18*2018 4:37:10 PM,0.09,5.61,17.6,761.65,165.65,-0.48
10*18*2018 4:38:26 PM,0.13,5.63,17.61,761.64,165.64,-0.49
10*18*2018 4:39:42 PM,0.18,5.68,17.62,761.63,165.63,-0.5
10*18*2018 4:40:56 PM,0.2,5.73,17.63,761.62,165.62,-0.51
10*18*2018 4:42:10 PM,0.23,5.78,17.64,761.61,165.61,-0.52
10*18*2018 4:43:25 PM,0.26,5.79,17.65,761.61,165.61,-0.52
10*18*2018 4:44:39 PM,0.3,5.85,17.66,761.6,165.6,-0.53
10*18*2018 4:45:54 PM,0.32,5.86,17.67,761.59,165.59,-0.54
10*18*2018 4:47:07 PM,0.33,5.92,17.68,761.58,165.58,-0.55
10*18*2018 4:48:21 PM,0.37,5.95,17.69,761.58,165.58,-0.55
10*18*2018 4:49:36 PM,0.38,5.97,17.7,761.57,165.57,-0.56
10*18*2018 4:50:51 PM,0.4,6,17.7,761.56,165.56,-0.57
