Parameter Name,Value
General Information,
Sample name:,
Start of measurement:,10*25*2018 3:43:23 PM
Stop of measurement:,10*28*2018 9:44:45 AM
Duration of Measurements:,2 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5.1
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,388
Empty soil sampling ring weight [g]:,208
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.15
Scale [g]:,0.05
Sensor Unit Information,
Busnumber:,29
Subaddress:,3
Serial number:,2082
Sensor unit name:,MY-HYPROP---
Firmware Version:,1.4
Scale Information,
Serial number:,144226084
Scale name:,HYPROP Balance
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,10*25*2018 3:43:23 PM
Stop,10*28*2018 9:44:45 AM
,
Calculation of water contents,
Calculation of water contents,Estimation of initial water content
Initial water content [Vol%]:,0.489000015258789
Dry soil weight [g]:,134
Additional Soil Paramters,
Density [g/cm3]:,1.35
Porosity [-]:,0.49
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,traditional constrained van Genuchten-Mualem model
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C],Gross weight [g],Net weight [g],Weight change [g]
10*25*2018 9:39:02 PM,10.49,13.45,17.85,775.46,179.46,-2.94
10*25*2018 9:49:10 PM,10.98,13.97,17.85,775.41,179.41,-2.99
10*25*2018 9:59:18 PM,11.6,14.84,17.85,775.35,179.35,-3.05
10*25*2018 10:09:25 PM,11.93,14.84,17.84,775.3,179.3,-3.1
10*25*2018 10:19:33 PM,12.76,15.69,17.83,775.25,179.25,-3.15
10*25*2018 10:29:41 PM,13.64,16.59,17.82,775.2,179.2,-3.2
10*25*2018 10:39:49 PM,14.6,17.59,17.81,775.14,179.14,-3.26
10*25*2018 10:49:56 PM,15.43,18.38,17.79,775.09,179.09,-3.31
10*25*2018 11:00:04 PM,16.04,18.13,17.78,775.02,179.02,-3.38
10*25*2018 11:10:12 PM,14.45,17.43,17.78,774.98,178.98,-3.42
10*25*2018 11:20:20 PM,16.68,19.6,17.78,774.92,178.92,-3.48
10*25*2018 11:30:28 PM,17.68,20.65,17.77,774.87,178.87,-3.53
10*25*2018 11:40:35 PM,18.54,21.49,17.76,774.82,178.82,-3.58
10*25*2018 11:50:43 PM,19.56,22.5,17.75,774.76,178.76,-3.64
10*26*2018 12:00:51 AM,20.54,22.57,17.74,774.71,178.71,-3.69
10*26*2018 12:10:59 AM,21.45,24.36,17.73,774.65,178.65,-3.75
10*26*2018 12:21:07 AM,21.85,24.79,17.73,774.6,178.6,-3.8
10*26*2018 12:31:15 AM,23.03,25.96,17.73,774.54,178.54,-3.86
10*26*2018 12:41:23 AM,23.85,26.84,17.72,774.48,178.48,-3.92
10*26*2018 12:51:30 AM,24.3,27.27,17.72,774.42,178.42,-3.98
10*26*2018 1:01:38 AM,25.51,27.77,17.71,774.37,178.37,-4.03
10*26*2018 1:11:46 AM,25.75,28.78,17.7,774.31,178.31,-4.09
10*26*2018 1:21:54 AM,26.97,29.94,17.69,774.26,178.26,-4.14
10*26*2018 1:32:02 AM,27.7,30.69,17.68,774.2,178.2,-4.2
10*26*2018 1:42:09 AM,28.36,31.37,17.68,774.15,178.15,-4.25
10*26*2018 1:52:17 AM,26.06,30.1,17.68,774.09,178.09,-4.31
10*26*2018 2:02:25 AM,28.87,31.83,17.68,774.04,178.04,-4.36
10*26*2018 2:12:25 AM,29.32,32.24,17.67,773.98,177.98,-4.42
10*26*2018 2:22:43 AM,30.1,33.13,17.68,773.93,177.93,-4.47
10*26*2018 2:33:01 AM,31.02,34,17.68,773.87,177.87,-4.53
10*26*2018 2:43:14 AM,31.79,34.77,17.69,773.82,177.82,-4.58
10*26*2018 2:53:33 AM,32.25,35.23,17.71,773.77,177.77,-4.63
10*26*2018 3:03:39 AM,33.05,35.17,17.73,773.72,177.72,-4.68
10*26*2018 3:13:54 AM,33.74,36.74,17.75,773.66,177.66,-4.74
10*26*2018 3:24:03 AM,34.38,37.42,17.75,773.61,177.61,-4.79
10*26*2018 3:34:10 AM,35.13,38.14,17.75,773.56,177.56,-4.84
10*26*2018 3:44:17 AM,35.77,38.77,17.75,773.5,177.5,-4.9
10*26*2018 3:54:24 AM,36.49,39.55,17.74,773.45,177.45,-4.95
10*26*2018 4:04:32 AM,37.36,40.38,17.73,773.4,177.4,-5
10*26*2018 4:14:40 AM,37.53,40.68,17.72,773.35,177.35,-5.05
10*26*2018 4:24:49 AM,38.47,41.51,17.72,773.3,177.3,-5.1
10*26*2018 4:34:57 AM,38.95,42.02,17.72,773.25,177.25,-5.15
10*26*2018 4:45:04 AM,39.34,42.34,17.72,773.19,177.19,-5.21
10*26*2018 4:55:12 AM,39.95,43.05,17.71,773.14,177.14,-5.26
10*26*2018 5:05:20 AM,40.62,43.65,17.7,773.09,177.09,-5.31
10*26*2018 5:15:28 AM,41.28,44.33,17.69,773.04,177.04,-5.36
10*26*2018 5:25:36 AM,42.31,45.34,17.68,772.97,176.97,-5.43
10*26*2018 5:35:43 AM,43.03,46.06,17.67,772.92,176.92,-5.48
10*26*2018 5:45:51 AM,43.39,46.44,17.66,772.86,176.86,-5.54
10*26*2018 5:55:59 AM,43.89,46.99,17.66,772.81,176.81,-5.59
10*26*2018 6:06:07 AM,44.31,47.35,17.65,772.75,176.75,-5.65
10*26*2018 6:16:15 AM,44.86,47.93,17.65,772.7,176.7,-5.7
10*26*2018 6:26:22 AM,45.35,48.4,17.66,772.65,176.65,-5.75
10*26*2018 6:36:30 AM,45.39,48.51,17.66,772.61,176.61,-5.79
10*26*2018 6:46:38 AM,46.42,49.51,17.66,772.56,176.56,-5.84
10*26*2018 6:56:45 AM,47.11,50.14,17.65,772.5,176.5,-5.9
10*26*2018 7:06:53 AM,47.56,50.6,17.65,772.45,176.45,-5.95
10*26*2018 7:17:01 AM,47.94,50.96,17.65,772.41,176.41,-5.99
10*26*2018 7:27:09 AM,48.6,51.61,17.65,772.35,176.35,-6.05
10*26*2018 7:37:17 AM,48.84,51.86,17.66,772.3,176.3,-6.1
10*26*2018 7:47:25 AM,49.3,52.35,17.65,772.25,176.25,-6.15
10*26*2018 7:57:33 AM,49.56,52.65,17.65,772.21,176.21,-6.19
10*26*2018 8:07:41 AM,50.4,53.44,17.64,772.17,176.17,-6.23
10*26*2018 8:17:49 AM,51.04,54.18,17.66,772.12,176.12,-6.28
10*26*2018 8:27:57 AM,51.29,54.44,17.82,772.05,176.05,-6.35
10*26*2018 8:38:04 AM,51.55,54.8,18.08,771.97,175.97,-6.43
10*26*2018 8:48:12 AM,51.91,55.05,18.38,771.89,175.89,-6.51
10*26*2018 8:58:20 AM,52.35,55.46,18.66,771.83,175.83,-6.57
10*26*2018 9:08:28 AM,52.59,55.76,18.89,771.78,175.78,-6.62
10*26*2018 9:18:36 AM,53.01,56.08,19.08,771.73,175.73,-6.67
10*26*2018 9:28:43 AM,53.53,56.76,19.26,771.67,175.67,-6.73
10*26*2018 9:38:51 AM,54.15,57.31,19.41,771.6,175.6,-6.8
10*26*2018 9:48:59 AM,54.7,57.86,19.54,771.54,175.54,-6.86
10*26*2018 9:59:07 AM,55.21,58.34,19.66,771.48,175.48,-6.92
10*26*2018 10:09:14 AM,55.83,59.04,19.77,771.42,175.42,-6.98
10*26*2018 10:19:22 AM,56.31,59.46,19.87,771.35,175.35,-7.05
10*26*2018 10:29:30 AM,56.91,60.11,19.98,771.29,175.29,-7.11
10*26*2018 10:39:38 AM,57.36,60.51,20.07,771.24,175.24,-7.16
10*26*2018 10:49:46 AM,57.87,61.05,20.15,771.19,175.19,-7.21
10*26*2018 10:59:54 AM,58.38,60.6,20.22,771.15,175.15,-7.25
10*26*2018 11:10:02 AM,59.22,62.48,20.27,771.06,175.06,-7.34
10*26*2018 11:20:10 AM,60.16,63.43,20.31,771.01,175.01,-7.39
10*26*2018 11:30:17 AM,60.99,64.2,20.35,770.95,174.95,-7.45
10*26*2018 11:40:25 AM,61.62,64.81,20.38,770.88,174.88,-7.52
10*26*2018 11:50:33 AM,62.17,65.49,20.42,770.82,174.82,-7.58
10*26*2018 12:00:39 PM,62.61,67.15,20.45,770.69,174.69,-7.71
10*26*2018 12:10:47 PM,62.57,65.88,20.49,770.64,174.64,-7.76
10*26*2018 12:20:54 PM,63.49,66.73,20.54,770.58,174.58,-7.82
10*26*2018 12:31:02 PM,64.22,67.44,20.59,770.53,174.53,-7.87
10*26*2018 12:41:09 PM,64.86,68,20.62,770.48,174.48,-7.92
10*26*2018 12:51:19 PM,65.35,68.6,20.67,770.42,174.42,-7.98
10*26*2018 1:01:24 PM,65.94,69.16,20.73,770.34,174.34,-8.06
10*26*2018 1:11:28 PM,66.61,69.93,20.79,770.3,174.3,-8.1
10*26*2018 1:21:35 PM,67.43,70.77,20.84,770.23,174.23,-8.17
10*26*2018 1:31:44 PM,68.05,71.45,20.89,770.17,174.17,-8.23
10*26*2018 1:41:49 PM,68.89,72.26,20.94,770.1,174.1,-8.3
10*26*2018 1:51:54 PM,69.53,72.91,20.98,770.04,174.04,-8.36
10*26*2018 2:01:59 PM,70.1,73.64,21.02,769.96,173.96,-8.44
10*26*2018 2:12:05 PM,70.61,74,21.07,769.92,173.92,-8.48
10*26*2018 2:22:17 PM,71.16,74.48,21.13,769.86,173.86,-8.54
10*26*2018 2:32:31 PM,71.87,75.3,21.21,769.78,173.78,-8.62
10*26*2018 2:42:43 PM,72.72,76.03,21.28,769.72,173.72,-8.68
10*26*2018 2:52:48 PM,73.16,76.52,21.35,769.66,173.66,-8.74
10*26*2018 3:03:01 PM,73.92,76.71,21.42,769.6,173.6,-8.8
10*26*2018 3:13:15 PM,74.7,78.2,21.49,769.54,173.54,-8.86
10*26*2018 3:23:29 PM,75.61,79.19,21.54,769.47,173.47,-8.93
10*26*2018 3:33:43 PM,76.3,79.71,21.58,769.39,173.39,-9.01
10*26*2018 3:43:57 PM,76.86,80.24,21.64,769.34,173.34,-9.06
10*26*2018 3:54:11 PM,77.39,80.89,21.7,769.28,173.28,-9.12
10*26*2018 4:04:25 PM,78.39,81.62,21.74,769.22,173.22,-9.18
10*26*2018 4:14:41 PM,79.12,82.72,21.76,769.16,173.16,-9.24
10*26*2018 4:24:55 PM,80,83.6,21.77,769.08,173.08,-9.32
10*26*2018 4:35:09 PM,81.12,84.87,21.76,769.03,173.03,-9.37
10*26*2018 4:45:24 PM,82.09,85.73,21.75,768.95,172.95,-9.45
10*26*2018 4:55:38 PM,82.94,86.72,21.72,768.87,172.87,-9.53
10*26*2018 5:05:52 PM,83.89,87.56,21.68,768.81,172.81,-9.59
10*26*2018 5:16:07 PM,84.7,88.33,21.62,768.75,172.75,-9.65
10*26*2018 5:26:21 PM,85.7,89.44,21.56,768.68,172.68,-9.72
10*26*2018 5:36:35 PM,86.49,90.26,21.48,768.63,172.63,-9.77
10*26*2018 5:46:50 PM,87.28,91.11,21.43,768.57,172.57,-9.83
10*26*2018 5:57:05 PM,88.21,92.02,21.38,768.5,172.5,-9.9
10*26*2018 6:07:20 PM,89.06,92.86,21.32,768.43,172.43,-9.97
10*26*2018 6:17:36 PM,90.02,93.89,21.25,768.37,172.37,-10.03
10*26*2018 6:27:50 PM,90.72,94.54,21.18,768.31,172.31,-10.09
10*26*2018 6:38:04 PM,91.41,95.26,21.12,768.26,172.26,-10.14
10*26*2018 6:48:18 PM,92.17,96.09,21.08,768.2,172.2,-10.2
10*26*2018 6:58:33 PM,93.07,97.05,21.04,768.15,172.15,-10.25
10*26*2018 7:08:47 PM,93.82,97.85,21,768.09,172.09,-10.31
10*26*2018 7:19:01 PM,94.65,98.67,20.95,768,172,-10.4
10*26*2018 7:29:15 PM,95.39,99.47,20.92,767.97,171.97,-10.43
10*26*2018 7:39:30 PM,96.34,100.42,20.89,767.88,171.88,-10.52
10*26*2018 7:49:44 PM,97.15,101.27,20.86,767.84,171.84,-10.56
10*26*2018 7:59:58 PM,98.09,103.53,20.82,767.79,171.79,-10.61
10*26*2018 8:10:13 PM,99.15,103.29,20.78,767.7,171.7,-10.7
10*26*2018 8:20:28 PM,99.88,104.14,20.75,767.66,171.66,-10.74
10*26*2018 8:30:42 PM,100.55,104.71,20.73,767.61,171.61,-10.79
10*26*2018 8:40:58 PM,101.44,105.81,20.72,767.52,171.52,-10.88
10*26*2018 8:51:13 PM,102.23,106.5,20.7,767.5,171.5,-10.9
10*26*2018 9:01:27 PM,103.16,108.81,20.68,767.41,171.41,-10.99
10*26*2018 9:11:43 PM,104.12,108.61,20.67,767.37,171.37,-11.03
10*26*2018 9:21:57 PM,104.91,109.39,20.65,767.33,171.33,-11.07
10*26*2018 9:32:12 PM,105.74,110.26,20.65,767.25,171.25,-11.15
10*26*2018 9:42:27 PM,106.69,111.22,20.65,767.19,171.19,-11.21
10*26*2018 9:52:43 PM,107.52,112.21,20.65,767.15,171.15,-11.25
10*26*2018 10:02:58 PM,108.59,112.09,20.65,767.09,171.09,-11.31
10*26*2018 10:13:12 PM,109.51,114.18,20.63,767.02,171.02,-11.38
10*26*2018 10:23:28 PM,110.36,115.19,20.62,766.97,170.97,-11.43
10*26*2018 10:33:43 PM,111.24,115.99,20.62,766.91,170.91,-11.49
10*26*2018 10:43:58 PM,112.14,117.1,20.63,766.85,170.85,-11.55
10*26*2018 10:54:12 PM,112.98,118.07,20.63,766.79,170.79,-11.61
10*26*2018 11:04:26 PM,113.88,119.1,20.63,766.74,170.74,-11.66
10*26*2018 11:14:40 PM,115.01,120.17,20.62,766.68,170.68,-11.72
10*26*2018 11:24:54 PM,115.98,121.13,20.62,766.62,170.62,-11.78
10*26*2018 11:35:08 PM,116.88,122.06,20.63,766.57,170.57,-11.83
10*26*2018 11:45:23 PM,117.89,123.21,20.63,766.5,170.5,-11.9
10*26*2018 11:55:38 PM,118.77,124.3,20.63,766.41,170.41,-11.99
10*27*2018 12:05:54 AM,119.8,125.21,20.62,766.37,170.37,-12.03
10*27*2018 12:16:09 AM,120.68,126.34,20.62,766.34,170.34,-12.06
10*27*2018 12:26:25 AM,121.58,127.45,20.62,766.26,170.26,-12.14
10*27*2018 12:36:40 AM,122.65,128.57,20.63,766.2,170.2,-12.2
10*27*2018 12:46:54 AM,123.74,129.61,20.63,766.15,170.15,-12.25
10*27*2018 12:57:09 AM,124.78,130.9,20.62,766.07,170.07,-12.33
10*27*2018 1:07:24 AM,125.84,132.11,20.6,766.01,170.01,-12.39
10*27*2018 1:17:39 AM,126.95,133.46,20.59,765.96,169.96,-12.44
10*27*2018 1:27:53 AM,128.18,134.81,20.57,765.91,169.91,-12.49
10*27*2018 1:38:08 AM,129.31,136.1,20.54,765.81,169.81,-12.59
10*27*2018 1:48:22 AM,130.49,137.31,20.51,765.79,169.79,-12.61
10*27*2018 1:58:37 AM,131.62,138.37,20.48,765.73,169.73,-12.67
10*27*2018 2:08:53 AM,132.64,139.42,20.46,765.68,169.68,-12.72
10*27*2018 2:19:09 AM,133.81,140.92,20.45,765.59,169.59,-12.81
10*27*2018 2:29:25 AM,134.92,142.4,20.45,765.54,169.54,-12.86
10*27*2018 2:39:40 AM,136.2,143.85,20.44,765.45,169.45,-12.95
10*27*2018 2:49:55 AM,137.39,144.99,20.42,765.41,169.41,-12.99
10*27*2018 3:00:11 AM,138.58,145.47,20.42,765.36,169.36,-13.04
10*27*2018 3:10:24 AM,139.54,147.25,20.43,765.3,169.3,-13.1
10*27*2018 3:20:40 AM,140.65,148.59,20.46,765.24,169.24,-13.16
10*27*2018 3:30:56 AM,141.84,149.97,20.47,765.19,169.19,-13.21
10*27*2018 3:41:10 AM,143.03,151.7,20.48,765.12,169.12,-13.28
10*27*2018 3:51:25 AM,144.26,152.95,20.49,765.06,169.06,-13.34
10*27*2018 4:01:39 AM,145.42,155.23,20.51,764.99,168.99,-13.41
10*27*2018 4:11:54 AM,146.6,155.62,20.53,764.94,168.94,-13.46
10*27*2018 4:22:09 AM,147.85,156.96,20.55,764.87,168.87,-13.53
10*27*2018 4:32:25 AM,149.03,158.49,20.57,764.81,168.81,-13.59
10*27*2018 4:42:39 AM,150.29,159.94,20.57,764.75,168.75,-13.65
10*27*2018 4:52:53 AM,151.5,161.54,20.58,764.69,168.69,-13.71
10*27*2018 5:03:09 AM,152.89,162.02,20.6,764.61,168.61,-13.79
10*27*2018 5:13:24 AM,154.11,164.76,20.61,764.55,168.55,-13.85
10*27*2018 5:23:38 AM,155.43,166.35,20.62,764.49,168.49,-13.91
10*27*2018 5:33:53 AM,156.7,167.68,20.63,764.43,168.43,-13.97
10*27*2018 5:44:08 AM,157.98,169.24,20.64,764.37,168.37,-14.03
10*27*2018 5:54:22 AM,159.27,171.07,20.65,764.3,168.3,-14.1
10*27*2018 6:04:37 AM,160.45,172.77,20.66,764.24,168.24,-14.16
10*27*2018 6:14:50 AM,161.36,174.13,20.67,764.17,168.17,-14.23
10*27*2018 6:25:05 AM,162.42,175.54,20.68,764.12,168.12,-14.28
10*27*2018 6:35:20 AM,163.66,176.99,20.68,764.05,168.05,-14.35
10*27*2018 6:45:36 AM,164.82,178.51,20.69,763.99,167.99,-14.41
10*27*2018 6:55:50 AM,166.35,180.53,20.68,763.92,167.92,-14.48
10*27*2018 7:06:06 AM,167.92,182.55,20.67,763.87,167.87,-14.53
10*27*2018 7:16:20 AM,169.36,183.94,20.66,763.81,167.81,-14.59
10*27*2018 7:26:35 AM,170.8,185.68,20.68,763.75,167.75,-14.65
10*27*2018 7:36:49 AM,172.24,187.66,20.69,763.69,167.69,-14.71
10*27*2018 7:47:04 AM,173.75,189.53,20.69,763.63,167.63,-14.77
10*27*2018 7:57:18 AM,175.17,191.39,20.68,763.56,167.56,-14.84
10*27*2018 8:07:33 AM,176.65,193.2,20.68,763.51,167.51,-14.89
10*27*2018 8:17:49 AM,162.52,195.06,20.68,763.45,167.45,-14.95
10*27*2018 8:28:04 AM,175.49,196.51,20.69,763.38,167.38,-15.02
10*27*2018 8:38:19 AM,178.84,198.28,20.69,763.33,167.33,-15.07
10*27*2018 8:48:32 AM,180.77,200.21,20.7,763.26,167.26,-15.14
10*27*2018 8:58:48 AM,182.49,202.15,20.7,763.2,167.2,-15.2
