Parameter Name,Value
General Information,
Sample name:,
Start of measurement:,10*25*2018 3:43:23 PM
Stop of measurement:,10*28*2018 9:44:45 AM
Duration of Measurements:,2 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5.1
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,388
Empty soil sampling ring weight [g]:,208
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.15
Scale [g]:,0.05
Sensor Unit Information,
Busnumber:,29
Subaddress:,3
Serial number:,2082
Sensor unit name:,MY-HYPROP---
Firmware Version:,1.4
Scale Information,
Serial number:,144226084
Scale name:,HYPROP Balance
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,10*25*2018 3:43:23 PM
Stop,10*28*2018 9:44:45 AM
,
Calculation of water contents,
Calculation of water contents,Estimation of initial water content
Initial water content [Vol%]:,0.489000015258789
Dry soil weight [g]:,134
Additional Soil Paramters,
Density [g/cm3]:,1.35
Porosity [-]:,0.49
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,traditional constrained van Genuchten-Mualem model
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C],Gross weight [g],Net weight [g],Weight change [g]
10*25*2018 3:43:23 PM,-1.93,0.89,18.58,778.4,182.4,0
10*25*2018 3:44:26 PM,-1.89,0.82,18.62,778.35,182.35,-0.05
10*25*2018 3:45:28 PM,-1.82,0.92,18.66,778.31,182.31,-0.09
10*25*2018 3:46:31 PM,-1.86,0.91,18.7,778.27,182.27,-0.13
10*25*2018 3:47:34 PM,-1.95,0.88,18.74,778.24,182.24,-0.16
10*25*2018 3:48:37 PM,-1.93,0.83,18.78,778.21,182.21,-0.19
10*25*2018 3:49:40 PM,-1.9,0.79,18.81,778.18,182.18,-0.22
10*25*2018 3:50:43 PM,-1.99,0.86,18.83,778.16,182.16,-0.24
10*25*2018 3:51:46 PM,-1.92,0.81,18.85,778.14,182.14,-0.26
10*25*2018 3:52:49 PM,-2.03,0.78,18.88,778.12,182.12,-0.28
10*25*2018 3:53:52 PM,-2.08,0.68,18.89,778.09,182.09,-0.31
10*25*2018 3:54:55 PM,-2.1,0.66,18.91,778.08,182.08,-0.32
10*25*2018 3:55:58 PM,-2.18,0.73,18.92,778.06,182.06,-0.34
10*25*2018 3:57:00 PM,-2.17,0.68,18.93,778.04,182.04,-0.36
10*25*2018 3:58:03 PM,-2.17,0.7,18.94,778.03,182.03,-0.37
10*25*2018 3:59:06 PM,-2.2,0.58,18.95,778.01,182.01,-0.39
10*25*2018 4:00:09 PM,-2.15,0.62,18.96,778,182,-0.4
10*25*2018 4:01:12 PM,-2.31,0.8,18.97,777.98,181.98,-0.42
10*25*2018 4:02:15 PM,-2.26,0.07,18.98,777.96,181.96,-0.44
10*25*2018 4:03:18 PM,-2.15,-0.31,18.98,777.95,181.95,-0.45
10*25*2018 4:04:21 PM,-2.42,0.81,18.99,777.93,181.93,-0.47
10*25*2018 4:05:24 PM,-2.33,0.68,18.99,777.91,181.91,-0.49
10*25*2018 4:06:27 PM,-2.24,0.58,19,777.9,181.9,-0.5
10*25*2018 4:07:30 PM,-2.28,0.62,19,777.89,181.89,-0.51
10*25*2018 4:08:33 PM,-2.34,0.67,19,777.87,181.87,-0.53
10*25*2018 4:09:36 PM,-2.39,0.65,19,777.86,181.86,-0.54
10*25*2018 4:10:39 PM,-2.33,0.61,19,777.85,181.85,-0.55
10*25*2018 4:11:42 PM,-2.31,0.7,19.01,777.84,181.84,-0.56
10*25*2018 4:12:45 PM,-2.25,0.59,19.01,777.83,181.83,-0.57
10*25*2018 4:13:48 PM,-2.38,0.73,19.01,777.82,181.82,-0.58
10*25*2018 4:14:51 PM,-2.36,0.7,19.01,777.81,181.81,-0.59
10*25*2018 4:15:54 PM,-2.37,0.65,19.01,777.79,181.79,-0.61
10*25*2018 4:16:57 PM,-2.34,0.69,19.01,777.78,181.78,-0.62
10*25*2018 4:18:00 PM,-2.29,0.64,19,777.77,181.77,-0.63
10*25*2018 4:19:03 PM,-2.32,0.74,19,777.75,181.75,-0.65
10*25*2018 4:20:05 PM,-2.25,0.71,19,777.73,181.73,-0.67
10*25*2018 4:21:08 PM,-2.34,0.74,19,777.73,181.73,-0.67
10*25*2018 4:22:11 PM,-2.3,0.72,19,777.71,181.71,-0.69
10*25*2018 4:23:14 PM,-2.3,0.73,19,777.69,181.69,-0.71
10*25*2018 4:24:17 PM,-2.22,0.79,18.99,777.68,181.68,-0.72
10*25*2018 4:25:20 PM,-2.22,0.63,18.99,777.67,181.67,-0.73
10*25*2018 4:26:23 PM,-2.28,0.85,18.99,777.66,181.66,-0.74
10*25*2018 4:27:26 PM,-2.27,0.76,18.98,777.65,181.65,-0.75
10*25*2018 4:28:29 PM,-2.33,0.82,18.98,777.63,181.63,-0.77
10*25*2018 4:29:32 PM,-2.24,0.85,18.98,777.62,181.62,-0.78
10*25*2018 4:30:35 PM,-2.24,0.86,18.97,777.61,181.61,-0.79
10*25*2018 4:31:38 PM,-2.25,0.84,18.97,777.6,181.6,-0.8
10*25*2018 4:32:41 PM,-2.2,0.77,18.97,777.59,181.59,-0.81
10*25*2018 4:33:44 PM,-2.23,0.84,18.96,777.57,181.57,-0.83
10*25*2018 4:34:47 PM,-2.27,0.9,18.96,777.57,181.57,-0.83
10*25*2018 4:35:50 PM,-2.21,0.96,18.96,777.56,181.56,-0.84
10*25*2018 4:36:53 PM,-2.21,0.93,18.95,777.55,181.55,-0.85
10*25*2018 4:37:56 PM,-2.15,0.88,18.95,777.54,181.54,-0.86
10*25*2018 4:38:58 PM,-2.21,0.98,18.94,777.53,181.53,-0.87
10*25*2018 4:40:01 PM,-2.12,0.87,18.94,777.52,181.52,-0.88
10*25*2018 4:41:04 PM,-2.23,0.9,18.94,777.51,181.51,-0.89
10*25*2018 4:42:07 PM,-2.18,0.93,18.93,777.5,181.5,-0.9
10*25*2018 4:43:10 PM,-2.2,0.92,18.93,777.49,181.49,-0.91
10*25*2018 4:44:13 PM,-2.21,0.92,18.92,777.48,181.48,-0.92
10*25*2018 4:45:16 PM,-2.1,0.88,18.92,777.48,181.48,-0.92
10*25*2018 4:55:24 PM,-2.12,0.84,18.89,777.38,181.38,-1.02
10*25*2018 5:05:31 PM,-2.08,0.84,18.88,777.31,181.31,-1.09
10*25*2018 5:15:39 PM,-2.11,0.98,18.87,777.22,181.22,-1.18
10*25*2018 5:25:47 PM,-2.06,1.02,18.86,777.13,181.13,-1.27
10*25*2018 5:35:54 PM,-1.96,0.95,18.82,777.03,181.03,-1.37
10*25*2018 5:46:02 PM,-1.92,1.17,18.77,776.95,180.95,-1.45
10*25*2018 5:56:10 PM,-1.74,1.25,18.73,776.88,180.88,-1.52
10*25*2018 6:06:19 PM,-1.66,1.32,18.68,776.8,180.8,-1.6
10*25*2018 6:16:26 PM,-1.47,1.44,18.62,776.74,180.74,-1.66
10*25*2018 6:26:35 PM,-1.28,1.68,18.57,776.67,180.67,-1.73
10*25*2018 6:36:42 PM,-1.14,1.88,18.51,776.6,180.6,-1.8
10*25*2018 6:46:50 PM,-0.88,2.09,18.45,776.53,180.53,-1.87
10*25*2018 6:56:58 PM,-0.63,2.26,18.39,776.46,180.46,-1.94
10*25*2018 7:07:06 PM,-0.23,2.66,18.34,776.4,180.4,-2
10*25*2018 7:17:14 PM,0.15,3.14,18.3,776.34,180.34,-2.06
10*25*2018 7:27:22 PM,0.93,3.92,18.25,776.28,180.28,-2.12
10*25*2018 7:37:30 PM,1.88,4.76,18.2,776.22,180.22,-2.18
10*25*2018 7:47:37 PM,1.97,4.83,18.16,776.15,180.15,-2.25
10*25*2018 7:57:45 PM,3.13,6.08,18.11,776.09,180.09,-2.31
10*25*2018 8:07:53 PM,4.25,7.25,18.06,776.02,180.02,-2.38
10*25*2018 8:18:01 PM,5.31,8.25,18.02,775.97,179.97,-2.43
10*25*2018 8:28:08 PM,6.4,9.34,18,775.9,179.9,-2.5
10*25*2018 8:38:16 PM,7.3,10.17,17.97,775.83,179.83,-2.57
10*25*2018 8:48:23 PM,6.98,9.92,17.94,775.77,179.77,-2.63
10*25*2018 8:58:31 PM,8.32,11.27,17.91,775.71,179.71,-2.69
10*25*2018 9:08:39 PM,9.42,12.36,17.89,775.65,179.65,-2.75
10*25*2018 9:18:47 PM,10.38,13.3,17.87,775.58,179.58,-2.82
10*25*2018 9:28:54 PM,10.37,13.38,17.86,775.52,179.52,-2.88
